"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,7.4632344748693e-10,0
1936,7.4632344748693e-10,0
1937,7.4632344748693e-10,0
1938,7.4632344748693e-10,0
1939,7.4632344748693e-10,0
1940,7.4632344748693e-10,0
1941,7.4632344748693e-10,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,4.82755740145129e-10,0
1948,4.82755740145129e-10,0
1949,4.82755740145129e-10,0
1950,9.89572646048487e-10,0
1951,1.99635041830959e-09,1
1952,1.99635041830959e-09,1
1953,1.99635041830959e-09,1
1954,1.51359467816446e-09,0
1955,2.97597981178756e-09,1
1956,2.97597981178756e-09,1
1957,2.4691629058842e-09,1
1958,2.61147408459855e-09,1
1959,2.61147408459855e-09,1
1960,2.61147408459855e-09,1
1961,3.92698889279635e-09,1
1962,3.58112206555461e-09,1
1963,3.58112206555461e-09,1
1964,5.13178756632117e-09,2
1965,5.15671962274057e-09,2
1966,8.15765753360763e-09,3
1967,1.16338620007436e-08,5
1968,1.46617842945927e-08,7
1969,1.59600807490636e-08,7
1970,2.11269749631323e-08,10
1971,2.40016213887933e-08,10
1972,3.23433467944564e-08,13
1973,3.21912871280107e-08,13
1974,3.42953776171535e-08,13
1975,3.61368762532724e-08,14
1976,4.1780367958972e-08,20
1977,4.18639135738427e-08,19
1978,4.06757689118211e-08,19
1979,3.55792861839177e-08,18
1980,3.50368418405062e-08,19
1981,3.12465951525707e-08,18
1982,2.85783363957697e-08,17
1983,2.40560819518367e-08,15
1984,2.36490566494853e-08,16
1985,2.69495041520835e-08,19
1986,3.16986481983607e-08,25
1987,3.9888668534882e-08,34
1988,4.74304734376929e-08,42
1989,4.99617735437243e-08,47
1990,5.22486286141139e-08,54
1991,5.76125710471942e-08,61
1992,5.78223573942184e-08,62
1993,5.4458685592808e-08,61
1994,5.41711049985492e-08,64
1995,5.33403722699103e-08,63
1996,5.74153793635774e-08,72
1997,6.13058938297202e-08,77
1998,6.29510581440229e-08,85
1999,6.70384477691981e-08,101
2000,7.19052692229763e-08,155
2001,7.01732387753395e-08,156
2002,7.32411636299763e-08,177
2003,7.44491714983158e-08,201
2004,7.66989161745827e-08,226
2005,7.72782413417859e-08,215
2006,8.00355459882964e-08,248
2007,8.05624946951879e-08,282
2008,8.30795585858381e-08,344
2009,8.29841314077738e-08,387
2010,8.23080336109783e-08,407
2011,8.11486540156741e-08,501
2012,8.02491840449464e-08,614
2013,7.86193538376437e-08,608
2014,7.68380682424273e-08,699
2015,7.36953734792719e-08,545
2016,6.97657119465884e-08,466
2017,6.89626206429779e-08,558
2018,6.76298434754141e-08,519
2019,6.43556455209859e-08,485
