"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,2.29249198989225e-11,0
1923,2.29249198989225e-11,0
1924,2.29249198989225e-11,0
1925,4.47683299161942e-11,0
1926,4.47683299161942e-11,0
1927,4.47683299161942e-11,0
1928,4.47683299161942e-11,0
1929,2.18434100172717e-11,0
1930,2.18434100172717e-11,0
1931,2.18434100172717e-11,0
1932,0,0
1933,0,0
1934,0,0
1935,2.11144316316795e-11,0
1936,4.10083931098474e-11,0
1937,4.10083931098474e-11,0
1938,4.10083931098474e-11,0
1939,4.10083931098474e-11,0
1940,4.10083931098474e-11,0
1941,4.10083931098474e-11,0
1942,1.98939614781679e-11,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,1.57422844601233e-11,0
1948,1.57422844601233e-11,0
1949,1.57422844601233e-11,0
1950,6.39914193063212e-11,1
1951,1.11200040247323e-10,1
1952,1.11200040247323e-10,1
1953,1.11200040247323e-10,1
1954,1.23063494910409e-10,1
1955,1.78198573952404e-10,2
1956,1.78198573952404e-10,2
1957,1.42072036674839e-10,1
1958,1.28830070619415e-10,1
1959,1.28830070619415e-10,1
1960,1.38902124921117e-10,2
1961,1.54121613289109e-10,2
1962,1.57222085548993e-10,2
1963,2.13775300041328e-10,3
1964,2.8726549908661e-10,4
1965,3.70738346768183e-10,5
1966,5.13046987829898e-10,7
1967,7.38675537403921e-10,12
1968,9.4879624395234e-10,15
1969,1.07858124713335e-09,17
1970,1.32247982307218e-09,21
1971,1.50955390747022e-09,24
1972,1.82261780370555e-09,29
1973,1.92388942178117e-09,31
1974,1.93631556919379e-09,31
1975,1.99952281418733e-09,33
1976,2.26250900554297e-09,39
1977,2.27513662274882e-09,40
1978,2.29739694629361e-09,40
1979,2.19157198638742e-09,39
1980,2.18653896576017e-09,39
1981,2.19968394491296e-09,38
1982,2.18662514979627e-09,38
1983,2.09463849638285e-09,38
1984,2.08920122174439e-09,39
1985,2.28291292021192e-09,44
1986,2.67439641860839e-09,51
1987,3.16751792999091e-09,61
1988,3.67777499526196e-09,72
1989,4.10893871407739e-09,84
1990,4.34543890751434e-09,92
1991,5.01335084259916e-09,103
1992,5.2393273023659e-09,112
1993,5.17920778585796e-09,110
1994,5.46304081684514e-09,118
1995,5.61629310716746e-09,125
1996,5.87840881329159e-09,129
1997,6.83282530060193e-09,149
1998,7.47444539892347e-09,166
1999,8.35507567000951e-09,188
2000,9.39013634804991e-09,231
2001,9.95414634647711e-09,244
2002,1.10292362133105e-08,288
2003,1.20873282955157e-08,330
2004,1.30136695502111e-08,363
2005,1.40945226972746e-08,372
2006,1.58659409593499e-08,436
2007,1.738326275137e-08,488
2008,1.95371193246236e-08,556
2009,2.10263109423625e-08,578
2010,2.2401626236552e-08,591
2011,2.41099365789437e-08,645
2012,2.56698885719204e-08,875
2013,2.63503228165834e-08,911
2014,2.67377864888412e-08,815
2015,2.61504495716444e-08,693
2016,2.58025459748401e-08,682
2017,2.61015589211877e-08,711
2018,2.54634469870618e-08,663
2019,2.43778449475485e-08,551
