"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,2.06621624571872e-11,0
1939,6.79847923988421e-11,0
1940,6.79847923988421e-11,0
1941,9.42073998176442e-11,1
1942,9.42073998176442e-11,1
1943,1.14609684837801e-10,1
1944,1.14609684837801e-10,1
1945,1.11789508205895e-10,1
1946,6.44668782642402e-11,0
1947,1.43178296599774e-10,1
1948,1.16955689180972e-10,1
1949,1.33124669026469e-10,1
1950,1.12722384006312e-10,1
1951,2.54348253768212e-10,2
1952,2.66328517771276e-10,2
1953,2.66328517771276e-10,2
1954,2.01419968997347e-10,2
1955,2.28987508518344e-10,2
1956,2.12818528672847e-10,2
1957,2.12818528672847e-10,2
1958,8.25148778669872e-11,1
1959,5.26926280386419e-11,1
1960,5.26926280386419e-11,1
1961,4.95960653498376e-11,1
1962,2.20285258288401e-11,0
1963,2.20285258288401e-11,0
1964,3.05898054902316e-11,0
1965,4.44331942271527e-11,1
1966,4.44331942271527e-11,1
1967,4.44331942271527e-11,1
1968,3.37268873543525e-11,1
1969,4.22732761494262e-11,1
1970,4.22732761494262e-11,1
1971,9.33622534441244e-11,1
1972,6.81966457511634e-11,1
1973,7.60540732574239e-11,1
1974,7.60540732574239e-11,1
1975,8.37651262836874e-11,1
1976,7.52187374886137e-11,1
1977,1.13399152667266e-10,2
1978,7.70342019340564e-11,1
1979,9.24950805431773e-11,2
1980,8.46376530369167e-11,2
1981,8.46376530369167e-11,1
1982,8.39753063713073e-11,1
1983,1.12133746236833e-10,2
1984,8.79370638806609e-11,2
1985,7.84167973610916e-11,2
1986,8.26667985057547e-11,2
1987,9.53914720031828e-11,2
1988,1.01985735333012e-10,2
1989,1.58235141755376e-10,3
1990,1.49082669324642e-10,3
1991,1.60113143477763e-10,3
1992,1.52404335679313e-10,3
1993,1.44955931682559e-10,3
1994,1.56999594376682e-10,3
1995,1.7474167549444e-10,4
1996,1.59461576879468e-10,4
1997,1.78793267889356e-10,4
1998,1.64780245995707e-10,4
1999,1.79374701600058e-10,4
2000,1.72056971844573e-10,4
2001,1.66609880653772e-10,4
2002,1.83191610690438e-10,5
2003,1.99068466076392e-10,5
2004,1.84772342267817e-10,5
2005,2.06904827596396e-10,5
2006,2.10756932739198e-10,6
2007,2.92664458144211e-10,8
2008,3.28689642963604e-10,9
2009,3.07506084088313e-10,8
2010,3.05970871654943e-10,8
2011,3.30433521814452e-10,9
2012,3.98801150832842e-10,14
2013,4.45568363950853e-10,15
2014,5.01958906979587e-10,15
2015,5.24100937252367e-10,14
2016,5.34112246494292e-10,14
2017,5.50378020935938e-10,15
2018,5.92547766409268e-10,16
2019,5.63057434010972e-10,13
