"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,1.83297897495192e-09,0
1947,1.83297897495192e-09,0
1948,1.83297897495192e-09,0
1949,1.83297897495192e-09,0
1950,1.83297897495192e-09,1
1951,1.83297897495192e-09,0
1952,1.83297897495192e-09,1
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,2.97428399369843e-10,0
1976,2.97428399369843e-10,0
1977,2.97428399369843e-10,0
1978,2.97428399369843e-10,0
1979,2.97428399369843e-10,0
1980,2.97428399369843e-10,0
1981,2.97428399369843e-10,0
1982,0,0
1983,0,0
1984,3.31571912783245e-10,0
1985,4.9297951435331e-10,0
1986,7.92759873619835e-10,1
1987,9.28715866115632e-10,1
1988,9.28715866115632e-10,1
1989,1.19113933002727e-09,1
1990,1.19113933002727e-09,1
1991,8.59567417244023e-10,1
1992,6.98159815673957e-10,1
1993,3.98379456407432e-10,0
1994,3.74459423786127e-10,0
1995,6.89802667367242e-10,1
1996,7.08413891040546e-10,1
1997,7.08413891040546e-10,1
1998,1.0272600785883e-09,1
1999,1.08586049675706e-09,2
2000,1.24297898957642e-09,3
2001,1.13094302970193e-09,3
2002,1.11988025995404e-09,3
2003,9.75359547096742e-10,3
2004,1.29809960399844e-09,4
2005,1.11572529786536e-09,3
2006,1.38995534130057e-09,4
2007,1.43298595212116e-09,5
2008,1.86787918465825e-09,8
2009,1.74842733941765e-09,8
2010,1.79475472578921e-09,9
2011,1.82959114525261e-09,11
2012,1.9227035677868e-09,15
2013,1.73794010928572e-09,13
2014,1.78242376414062e-09,16
2015,1.49476025208222e-09,11
2016,1.5349353851438e-09,10
2017,1.57744302805204e-09,13
2018,1.39232456675131e-09,11
2019,1.3386331765286e-09,10
