"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,1.59387225640018e-11,0
1916,1.59387225640018e-11,0
1917,1.59387225640018e-11,0
1918,1.59387225640018e-11,0
1919,1.59387225640018e-11,0
1920,1.59387225640018e-11,0
1921,1.59387225640018e-11,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,9.16918604535307e-11,1
1927,9.16918604535307e-11,1
1928,9.16918604535307e-11,1
1929,9.16918604535307e-11,1
1930,9.16918604535307e-11,1
1931,9.16918604535307e-11,1
1932,9.16918604535307e-11,1
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,4.97880506663709e-11,0
1940,4.97880506663709e-11,0
1941,7.73666210461345e-11,1
1942,7.73666210461345e-11,0
1943,1.6317992988592e-10,1
1944,2.5803654451246e-10,1
1945,2.76805965054067e-10,2
1946,3.26306539328541e-10,2
1947,3.26306539328541e-10,2
1948,3.15827968936208e-10,2
1949,5.02895774626541e-10,4
1950,4.50922412504567e-10,4
1951,4.22262190491463e-10,3
1952,4.03492769949855e-10,3
1953,3.19893381625239e-10,3
1954,3.34409336531584e-10,3
1955,3.31803587581638e-10,3
1956,1.44735781891305e-10,1
1957,1.2363955989977e-10,1
1958,8.12467831108015e-11,1
1959,1.15128600105699e-10,1
1960,1.73554387131577e-10,2
1961,2.71594119218209e-10,3
1962,2.77503380393832e-10,3
1963,3.17118806412799e-10,4
1964,3.40348321946151e-10,4
1965,3.25359787722856e-10,4
1966,3.00271042157669e-10,4
1967,3.49981523920359e-10,5
1968,2.55138919911881e-10,4
1969,2.88596719934451e-10,5
1970,2.57750802844038e-10,4
1971,2.57581160765876e-10,4
1972,2.48766079164702e-10,4
1973,2.72989395969489e-10,4
1974,1.65458897575085e-10,3
1975,1.88293312489548e-10,3
1976,1.3443200025387e-10,2
1977,1.73820956636142e-10,3
1978,1.78816999897778e-10,3
1979,2.27583205257366e-10,4
1980,2.1024047086593e-10,4
1981,2.47354052914809e-10,4
1982,2.06806555015847e-10,4
1983,2.21611567390629e-10,4
1984,2.39608442214363e-10,4
1985,3.07319925955753e-10,6
1986,3.89816269045852e-10,7
1987,4.67767159827754e-10,9
1988,5.04466888401334e-10,10
1989,6.44159130302231e-10,13
1990,8.22420506200818e-10,17
1991,1.04531296763307e-09,21
1992,1.07041110895624e-09,23
1993,1.13883068649948e-09,24
1994,1.22079064119556e-09,26
1995,1.29674773894996e-09,29
1996,1.28939833363944e-09,28
1997,1.30917537079024e-09,28
1998,1.24546128222166e-09,28
1999,1.28539581409348e-09,29
2000,1.28821841041682e-09,32
2001,1.29010946915499e-09,31
2002,1.31731198617963e-09,34
2003,1.44287602005244e-09,39
2004,1.50254608061173e-09,42
2005,1.66476265907521e-09,44
2006,1.92867750936632e-09,53
2007,2.1340770133192e-09,60
2008,2.43808971127159e-09,69
2009,2.65554104301418e-09,73
2010,2.76608485917849e-09,73
2011,2.8231815674922e-09,75
2012,2.79340172620086e-09,95
2013,2.71981262115314e-09,94
2014,2.57689162270441e-09,78
2015,2.361506252451e-09,62
2016,2.23241881676978e-09,59
2017,2.174629485166e-09,59
2018,2.14810111018315e-09,56
2019,2.0590280999308e-09,46
