"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,2.48494019012518e-10,1
1857,2.96628241810585e-10,1
1858,2.96628241810585e-10,1
1859,2.96628241810585e-10,1
1860,2.96628241810585e-10,1
1861,2.96628241810585e-10,1
1862,2.96628241810585e-10,1
1863,4.8134222798067e-11,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,1.85767552134714e-11,0
1898,1.85767552134714e-11,0
1899,1.85767552134714e-11,0
1900,1.85767552134714e-11,0
1901,1.85767552134714e-11,0
1902,1.85767552134714e-11,0
1903,1.85767552134714e-11,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,9.20207005832602e-11,1
1926,1.14943665696643e-10,1
1927,1.14943665696643e-10,1
1928,1.14943665696643e-10,1
1929,1.14943665696643e-10,1
1930,1.14943665696643e-10,1
1931,1.41176675508678e-10,1
1932,4.91559749254173e-11,0
1933,2.62330098120346e-11,0
1934,1.16104501013403e-10,1
1935,1.16104501013403e-10,1
1936,1.16104501013403e-10,1
1937,1.16104501013403e-10,1
1938,8.98714912013686e-11,1
1939,8.98714912013686e-11,1
1940,8.98714912013686e-11,1
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,3.31139520565975e-11,0
1948,3.31139520565975e-11,0
1949,3.31139520565975e-11,0
1950,1.34633792210031e-10,1
1951,1.34633792210031e-10,1
1952,1.34633792210031e-10,1
1953,1.34633792210031e-10,1
1954,1.01519840153433e-10,1
1955,1.01519840153433e-10,1
1956,1.01519840153433e-10,1
1957,0,0
1958,0,0
1959,1.12939389982993e-11,0
1960,2.18817999434303e-11,0
1961,3.31373688409821e-11,0
1962,3.31373688409821e-11,0
1963,3.31373688409821e-11,0
1964,3.31373688409821e-11,0
1965,3.31373688409821e-11,0
1966,2.18434298426828e-11,0
1967,1.12555688975518e-11,0
1968,0,0
1969,0,0
1970,0,0
1971,1.79017990907328e-11,0
1972,1.79017990907328e-11,0
1973,1.79017990907328e-11,0
1974,1.79017990907328e-11,0
1975,2.60112987696523e-11,0
1976,2.60112987696523e-11,0
1977,2.60112987696523e-11,0
1978,8.10949967891946e-12,0
1979,8.10949967891946e-12,0
1980,8.10949967891946e-12,0
1981,8.10949967891946e-12,0
1982,1.48229900576169e-11,0
1983,1.48229900576169e-11,0
1984,1.48229900576169e-11,0
1985,1.48229900576169e-11,0
1986,1.48229900576169e-11,0
1987,2.15104576016336e-11,0
1988,2.15104576016336e-11,0
1989,6.68746754401666e-12,0
1990,6.68746754401666e-12,0
1991,6.68746754401666e-12,0
1992,1.3049813709801e-11,0
1993,1.3049813709801e-11,0
1994,6.36234616578437e-12,0
1995,1.27494775649582e-11,0
1996,1.27494775649582e-11,0
1997,1.27494775649582e-11,0
1998,1.85272650396077e-11,0
1999,2.30114062725408e-11,1
2000,2.30114062725408e-11,1
2001,2.30114062725408e-11,1
2002,2.19928286891515e-11,1
2003,2.19928286891515e-11,1
2004,2.70393747075255e-11,1
2005,2.6230180725863e-11,1
2006,2.56768376402253e-11,1
2007,2.56768376402253e-11,1
2008,3.09679172186669e-11,1
2009,2.97480428187605e-11,1
2010,3.38419391716321e-11,1
2011,3.34377902350929e-11,1
2012,3.38090542665156e-11,1
2013,3.42179553541084e-11,1
2014,4.98052041077367e-11,2
2015,4.45141245292951e-11,1
2016,4.03654451134169e-11,1
2017,4.23168068873029e-11,1
2018,4.42808123501948e-11,1
2019,4.60062647700266e-11,1
