"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,3.3699382332283e-09,0
1829,1.8862401926104e-08,1
1830,2.12287490443584e-08,1
1831,2.60859592974124e-08,1
1832,2.60859592974124e-08,1
1833,2.60859592974124e-08,2
1834,2.60859592974124e-08,2
1835,2.27160210641841e-08,1
1836,9.12731820282683e-09,1
1837,6.76097108457238e-09,0
1838,3.49182460723796e-09,0
1839,7.88746071630645e-09,1
1840,7.88746071630645e-09,1
1841,7.88746071630645e-09,1
1842,9.2362672430925e-09,1
1843,1.22173892590029e-08,1
1844,1.22173892590029e-08,1
1845,2.22145136571531e-08,2
1846,1.78188775480846e-08,2
1847,2.22504803153762e-08,2
1848,2.41975913592033e-08,2
1849,2.43096958436289e-08,2
1850,2.42830251145116e-08,2
1851,2.42830251145116e-08,2
1852,2.36820815656204e-08,2
1853,2.88021144712047e-08,3
1854,2.57327665207997e-08,2
1855,2.70518356921506e-08,2
1856,3.26965286591628e-08,4
1857,3.042897210394e-08,3
1858,3.40825326056964e-08,3
1859,2.30982879807178e-08,2
1860,2.81674612523375e-08,3
1861,2.81979387141616e-08,2
1862,2.49317584989837e-08,2
1863,1.78261545207598e-08,1
1864,1.52354989576712e-08,2
1865,1.2475762645181e-08,1
1866,1.35731778832288e-08,2
1867,3.38397170602483e-09,0
1868,7.61044992105196e-09,1
1869,9.92716918192725e-09,1
1870,1.44834848876079e-08,2
1871,1.57020991764512e-08,2
1872,1.58458909485911e-08,2
1873,2.11213233569651e-08,3
1874,2.2230765799642e-08,3
1875,1.78690867816808e-08,2
1876,1.99005586612852e-08,3
1877,1.91239704707056e-08,2
1878,2.03839236283849e-08,2
1879,1.93463076669786e-08,3
1880,1.49952563382223e-08,2
1881,1.47485747424371e-08,3
1882,1.66783499392206e-08,2
1883,1.40366313493092e-08,3
1884,1.48223946767294e-08,2
1885,1.59748795144513e-08,3
1886,1.66779352867812e-08,3
1887,1.59344458263076e-08,3
1888,1.757787858127e-08,3
1889,1.81951826304174e-08,4
1890,1.80402599525564e-08,4
1891,2.38481489794091e-08,5
1892,2.35754244063254e-08,6
1893,2.97220599877944e-08,8
1894,3.0628117819731e-08,8
1895,3.07301839847745e-08,10
1896,3.1464390331288e-08,10
1897,3.55707455871165e-08,12
1898,2.74993802967011e-08,9
1899,2.41410525855404e-08,14
1900,1.80901805916075e-08,9
1901,1.63184325100271e-08,7
1902,1.46321957090428e-08,5
1903,1.46859614627967e-08,5
1904,1.11941227715866e-08,4
1905,9.32012533816362e-09,3
1906,1.01130914753611e-08,4
1907,1.10779353626863e-08,4
