"Year","Freq","Count"
1800,9.92116278020205e-10,0
1801,1.44376963717718e-09,0
1802,1.20314136431432e-09,0
1803,1.38226398581155e-09,0
1804,1.42549549941862e-09,0
1805,1.42549549941862e-09,0
1806,1.68404560138161e-09,1
1807,1.8932668448863e-09,1
1808,1.42892640577129e-09,1
1809,1.42892640577129e-09,1
1810,1.07792644651486e-09,1
1811,7.02155302155307e-10,0
1812,9.40863561663515e-10,1
1813,6.82313459700522e-10,0
1814,4.73092216195831e-10,0
1815,1.24565502357399e-09,1
1816,1.62600049297928e-09,1
1817,1.62600049297928e-09,1
1818,1.39161653629165e-09,1
1819,1.45350319082281e-09,1
1820,1.60090012674934e-09,1
1821,1.72945438129243e-09,1
1822,1.45596718015284e-09,1
1823,1.49701003180981e-09,1
1824,1.89937008184974e-09,2
1825,2.65907095548761e-09,3
1826,5.67642690788414e-09,6
1827,6.15645360881244e-09,7
1828,7.68283903163081e-09,9
1829,9.22171754831019e-09,11
1830,9.27685193742787e-09,13
1831,9.98922787344623e-09,13
1832,9.91072267110736e-09,20
1833,7.08764137856223e-09,11
1834,7.12469929085659e-09,11
1835,5.80489321690335e-09,10
1836,4.29236736630502e-09,7
1837,5.28723147803183e-09,9
1838,4.63044992825092e-09,8
1839,4.47972430579163e-09,8
1840,4.43837052824644e-09,8
1841,4.26373231959027e-09,8
1842,4.11104502820844e-09,8
1843,4.83153276117524e-09,9
1844,3.76084308933195e-09,8
1845,4.90461898079125e-09,11
1846,5.02635392434542e-09,11
1847,6.39100200539033e-09,14
1848,6.11990936499091e-09,13
1849,6.6360770965636e-09,14
1850,5.95980000667977e-09,14
1851,6.25553177908371e-09,16
1852,6.17064857544314e-09,16
1853,6.67666782971921e-09,20
1854,6.17155232474076e-09,19
1855,8.00036966040553e-09,23
1856,9.68729823739142e-09,29
1857,1.11874309340264e-08,32
1858,1.18734864876632e-08,32
1859,1.43170496172803e-08,41
1860,1.48666912867603e-08,44
1861,1.47963499785853e-08,37
1862,1.41974570274809e-08,33
1863,1.25279825640463e-08,29
1864,1.08820670450895e-08,27
1865,1.14455507809514e-08,29
1866,9.65288181529824e-09,29
1867,9.28460190079734e-09,28
1868,8.71407021540982e-09,28
1869,8.69048704824468e-09,28
1870,9.41045854336536e-09,31
1871,9.8386997636281e-09,31
1872,8.58891066601863e-09,31
1873,7.2403531860475e-09,24
1874,8.80183943587274e-09,31
1875,1.03359906070529e-08,36
1876,1.07891659693683e-08,39
1877,1.02968214550041e-08,37
1878,1.02792874252205e-08,36
1879,1.01068155114855e-08,38
1880,1.17870197015511e-08,48
1881,9.58039055627096e-09,38
1882,8.60562798402472e-09,35
1883,7.33769065548134e-09,32
1884,7.03472454296631e-09,32
1885,6.98378972311239e-09,31
1886,7.81192471623258e-09,35
1887,6.16918976221419e-09,29
1888,6.12281485829718e-09,30
1889,5.99042851831147e-09,31
1890,5.93660374629109e-09,31
1891,6.85778281582307e-09,36
1892,7.46739246033317e-09,41
1893,7.66068222547909e-09,43
1894,7.53305770143494e-09,42
1895,7.64715295848666e-09,48
1896,8.29221358245036e-09,51
1897,8.64596938091441e-09,56
1898,7.94989336662587e-09,53
1899,7.59484790137575e-09,56
1900,7.20623464868707e-09,55
1901,7.77959432191848e-09,61
1902,7.70616247401458e-09,60
1903,6.95015117283379e-09,55
1904,6.94355336422481e-09,58
1905,6.74858322101996e-09,56
1906,6.8429845331841e-09,61
1907,6.33107349581489e-09,57
1908,5.4815923159717e-09,51
1909,5.20629094696856e-09,48
1910,4.90675846878278e-09,48
1911,4.40845533490806e-09,46
1912,4.35740001620515e-09,45
1913,3.72523323696353e-09,38
1914,3.59220272079717e-09,37
1915,3.47400888116102e-09,34
1916,3.5271863911755e-09,35
1917,3.3552240787303e-09,33
1918,3.38127120746989e-09,30
1919,3.3154887139302e-09,31
1920,4.2303624541876e-09,43
1921,4.22479425055133e-09,42
1922,4.46971216189989e-09,45
1923,4.5187267538882e-09,28
1924,4.51484667806407e-09,23
1925,4.79659994560646e-09,28
1926,5.13657142811993e-09,30
1927,4.10782294489400e-09,24
1928,4.3773364675045e-09,27
1929,4.30342132762274e-09,27
1930,4.08730030773289e-09,26
1931,3.99417638646022e-09,25
1932,3.87209710723495e-09,22
1933,3.27927457014329e-09,17
1934,3.47688682606722e-09,19
1935,3.14581103230286e-09,19
1936,2.91228170943926e-09,18
1937,3.218725647125e-09,20
1938,3.21229023936276e-09,21
1939,2.87014933645199e-09,20
1940,2.95587521324604e-09,19
1941,2.56476051309549e-09,17
1942,2.3943023357604e-09,14
1943,2.80862218403146e-09,15
