"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,1.65502684572922e-09,0
1846,1.65502684572922e-09,0
1847,1.65502684572922e-09,0
1848,3.60213788955629e-09,0
1849,3.60213788955629e-09,0
1850,3.60213788955629e-09,0
1851,3.60213788955629e-09,0
1852,1.94711104382707e-09,0
1853,1.94711104382707e-09,0
1854,1.94711104382707e-09,0
1855,0,0
1856,0,0
1857,0,0
1858,1.8267802508782e-09,0
1859,1.8267802508782e-09,0
1860,1.8267802508782e-09,0
1861,3.21951252958895e-09,0
1862,3.21951252958895e-09,0
1863,3.21951252958895e-09,0
1864,1.21142296194421e-08,1
1865,1.02874493685639e-08,1
1866,1.02874493685639e-08,1
1867,1.02874493685639e-08,1
1868,8.89471708985314e-09,1
1869,8.89471708985314e-09,1
1870,8.89471708985314e-09,1
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,6.26548400463532e-10,0
1889,6.26548400463532e-10,0
1890,1.14373168079242e-09,0
1891,1.14373168079242e-09,0
1892,1.14373168079242e-09,0
1893,1.14373168079242e-09,0
1894,1.14373168079242e-09,0
1895,9.51893262625601e-10,0
1896,9.51893262625601e-10,0
1897,1.5662910333804e-09,1
1898,1.5662910333804e-09,1
1899,1.5662910333804e-09,1
1900,1.5662910333804e-09,1
1901,1.5662910333804e-09,1
1902,1.13158105108369e-09,0
1903,1.13158105108369e-09,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,4.20003492302661e-10,0
1910,4.20003492302661e-10,0
1911,4.20003492302661e-10,0
1912,4.20003492302661e-10,0
1913,4.20003492302661e-10,0
1914,4.20003492302661e-10,0
1915,4.20003492302661e-10,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,2.91342782280221e-08,9
1921,2.91342782280221e-08,8
1922,2.91342782280221e-08,10
1923,3.30530442381262e-08,8
1924,3.30530442381262e-08,6
1925,3.30530442381262e-08,8
1926,3.30530442381262e-08,7
1927,3.91876601010413e-09,1
1928,3.91876601010413e-09,1
1929,3.91876601010413e-09,1
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,3.28237069270797e-09,1
1937,3.28237069270797e-09,1
1938,3.28237069270797e-09,1
1939,4.24790907211608e-09,1
1940,4.24790907211608e-09,1
1941,4.24790907211608e-09,1
1942,4.24790907211608e-09,1
1943,1.58767691057652e-09,0
1944,1.58767691057652e-09,0
1945,1.58767691057652e-09,0
1946,6.22138531168405e-10,0
1947,6.22138531168405e-10,0
1948,6.22138531168405e-10,0
1949,6.22138531168405e-10,0
1950,0,0
1951,5.32514350075936e-10,0
1952,5.32514350075936e-10,0
1953,5.32514350075936e-10,0
1954,5.32514350075936e-10,0
1955,5.32514350075936e-10,0
1956,5.32514350075936e-10,0
1957,5.32514350075936e-10,0
1958,0,0
1959,0,0
1960,8.11097348015924e-10,0
1961,8.11097348015924e-10,0
1962,8.11097348015924e-10,0
1963,1.18982579344618e-09,0
1964,1.84448802263505e-09,1
1965,1.84448802263505e-09,1
1966,2.16152089877702e-09,1
1967,1.35042355076109e-09,1
1968,1.35042355076109e-09,1
1969,1.71439218377145e-09,1
1970,1.3356637383412e-09,1
1971,6.81001509152322e-10,0
1972,6.81001509152322e-10,0
1973,1.87119370791728e-09,1
1974,2.49267999891905e-09,1
1975,2.49267999891905e-09,1
1976,2.12871136590869e-09,1
1977,2.12871136590869e-09,1
1978,1.07073242018783e-08,5
1979,1.07073242018783e-08,5
1980,1.1423288124947e-08,6
1981,1.10126575319265e-08,6
1982,1.10126575319265e-08,7
1983,1.10126575319265e-08,7
1984,1.11784434883181e-08,8
1985,2.76123825391851e-09,2
1986,2.76123825391851e-09,2
1987,8.09961240934496e-10,1
1988,5.99105542953282e-10,1
1989,5.99105542953282e-10,1
1990,5.99105542953282e-10,1
1991,4.3331958656166e-10,0
1992,2.71911984991594e-10,0
1993,4.96286202609854e-10,1
1994,2.2437421761826e-10,0
1995,4.34603036098784e-10,1
1996,4.34603036098784e-10,1
1997,5.00089259685461e-10,1
1998,5.63858495608979e-10,1
1999,5.63858495608979e-10,1
2000,3.918571102522e-10,1
2001,4.87791164603481e-10,1
2002,2.77562346122957e-10,1
2003,4.14076320850601e-10,1
2004,7.52015168391042e-10,2
2005,7.90599843528536e-10,2
2006,8.51114472550612e-10,3
2007,8.55927099038415e-10,3
2008,7.59993044687133e-10,3
2009,1.05571883774707e-09,5
2010,1.06547795189879e-09,5
2011,7.08693294525022e-10,4
2012,6.25471408793083e-10,5
2013,6.49566495829796e-10,5
2014,1.23891047024546e-09,11
2015,1.34933276060448e-09,10
2016,1.5223647937506e-09,10
2017,1.60544032234977e-09,13
2018,1.86123180756503e-09,14
2019,2.29305871513041e-09,17
