"Year","Freq","Count"
1800,3.15335191292121e-09,1
1801,6.42314121890308e-09,2
1802,5.35261768241924e-09,1
1803,4.5879580135022e-09,2
1804,4.93626707763285e-09,2
1805,4.93626707763285e-09,2
1806,5.19481717959585e-09,2
1807,4.16904663172854e-09,2
1808,2.08909359652612e-09,1
1809,2.08909359652612e-09,1
1810,2.08909359652612e-09,1
1811,3.98646848864814e-09,2
1812,3.98646848864814e-09,3
1813,5.86169192549692e-09,4
1814,5.65247068199223e-09,3
1815,4.94638108250456e-09,3
1816,5.1365538172072e-09,4
1817,5.1365538172072e-09,3
1818,2.32394627351441e-09,2
1819,2.77483864457346e-09,2
1820,6.41065105761689e-10,1
1821,8.98173614847865e-10,1
1822,1.3972492290166e-09,1
1823,1.90939032045685e-09,2
1824,2.04351033713682e-09,2
1825,2.04351033713682e-09,2
1826,1.59261796607778e-09,2
1827,1.59261796607778e-09,2
1828,1.3355094569916e-09,2
1829,8.36433842822869e-10,1
1830,2.29424558715964e-10,0
1831,4.66883182908313e-10,1
1832,4.66883182908313e-10,1
1833,4.66883182908313e-10,1
1834,4.66883182908313e-10,1
1835,5.50666583760367e-10,1
1836,7.00788942748736e-10,1
1837,8.37808631994262e-10,1
1838,6.18881469881062e-10,1
1839,6.94662906562473e-10,1
1840,7.70248872620069e-10,1
1841,8.4022649155762e-10,2
1842,8.78073970676598e-10,2
1843,7.93526137656185e-10,1
1844,6.27984763396887e-10,1
1845,7.42288337938847e-10,2
1846,9.92609399436921e-10,2
1847,9.77628894505145e-10,2
1848,9.62338950590994e-10,2
1849,1.00192669240583e-09,2
1850,1.07876190123614e-09,3
1851,1.05840763930942e-09,3
1852,7.91452586008339e-10,2
1853,7.06646792668155e-10,2
1854,7.47045052802114e-10,2
1855,6.92357377778714e-10,2
1856,5.3113875599285e-10,2
1857,5.33131689588779e-10,2
1858,6.01910128881857e-10,2
1859,6.62839517400522e-10,2
1860,6.04528451107557e-10,2
1861,5.60011414225363e-10,1
1862,6.1572968549203e-10,1
1863,6.63467562635388e-10,2
1864,1.17839659458901e-09,3
1865,1.19586921317908e-09,3
1866,1.26765868437216e-09,4
1867,1.3007353170748e-09,4
1868,1.37868371481125e-09,4
1869,1.6396525248652e-09,5
1870,1.67638756844367e-09,6
1871,1.09820799279855e-09,3
1872,1.334093767997e-09,5
1873,1.24038366086257e-09,4
1874,1.0243213896136e-09,4
1875,9.7011636025966e-10,3
1876,7.30093247763059e-10,3
1877,7.50475344567038e-10,3
1878,8.50750022017367e-10,3
1879,7.96408915006351e-10,3
1880,9.21833579708193e-10,4
1881,1.11122714799691e-09,4
1882,1.09581625321439e-09,4
1883,1.4688690620966e-09,6
1884,1.6386122062403e-09,7
1885,1.54425523162567e-09,7
1886,1.5610943093769e-09,7
1887,1.5624647012721e-09,7
1888,1.6430995572073e-09,8
1889,1.97084384526544e-09,10
1890,1.57171844785063e-09,8
1891,1.37393543566043e-09,7
1892,1.37675193864365e-09,7
1893,1.11487355458628e-09,6
1894,1.19207924682246e-09,7
1895,9.43222030242679e-10,6
1896,6.86321565056071e-10,4
1897,8.77228006504868e-10,6
1898,8.90603697932337e-10,6
1899,8.91786900277961e-10,7
1900,1.22015519315217e-09,9
1901,1.01141906556317e-09,8
1902,1.55845143734457e-09,12
1903,1.77344964705625e-09,14
1904,2.21366264802863e-09,18
1905,2.5046433617591e-09,21
1906,2.98762831537783e-09,27
1907,3.24933283850954e-09,29
1908,3.35230401771192e-09,31
1909,2.92191051909363e-09,27
1910,2.73653600771758e-09,27
1911,2.13869277446551e-09,22
1912,1.82959175884908e-09,19
1913,1.36992062435956e-09,14
1914,7.69128751758925e-10,8
1915,6.95639088991015e-10,7
1916,6.9329577892122e-10,7
1917,6.11803508648074e-10,6
1918,6.86118552845854e-10,6
1919,8.69751448441734e-10,8
1920,2.14746732598739e-09,22
1921,2.17333619256006e-09,22
1922,2.27864037063589e-09,23
1923,2.36415460125317e-09,14
1924,2.37804630550834e-09,12
1925,2.58794646625292e-09,15
1926,2.42393489208974e-09,14
1927,1.10005079450343e-09,6
1928,1.24381081426491e-09,8
1929,1.17589493499524e-09,7
1930,1.03659611053583e-09,6
1931,1.07007504841177e-09,7
1932,9.85711207102113e-10,6
1933,1.10252377465742e-09,6
1934,1.14664801066842e-09,6
1935,1.00744249648914e-09,6
1936,1.03192390347015e-09,6
1937,1.28687797719605e-09,8
1938,1.22096967853607e-09,8
1939,1.21108500212535e-09,8
1940,1.31209973640102e-09,8
1941,1.22733893881399e-09,8
1942,1.26298983969621e-09,7
1943,1.41625849341726e-09,8
1944,1.19345017796884e-09,6
1945,1.39096530920353e-09,8
1946,1.96108436830869e-09,13
1947,1.93303379850526e-09,14
1948,2.00805522805008e-09,15
1949,1.95153965210082e-09,17
1950,1.80800618920784e-09,16
1951,1.94241472906143e-09,16
1952,1.96195392670224e-09,16
1953,1.25920372046062e-09,11
1954,1.26805422610645e-09,11
1955,1.28140823448174e-09,12
1956,1.44233968915212e-09,13
1957,1.53636694735385e-09,15
1958,1.407148548476e-09,14
1959,1.39589199921186e-09,15
1960,1.52997326018684e-09,17
1961,1.38597655673684e-09,17
1962,1.36183835339595e-09,17
1963,1.23192081040248e-09,17
1964,1.21837321481744e-09,15
1965,1.63707510444525e-09,23
1966,1.62981271335992e-09,23
1967,1.42528575449877e-09,23
1968,1.54465961053697e-09,25
1969,1.74010415402278e-09,28
1970,1.86907281913522e-09,30
1971,1.70693876691949e-09,27
1972,1.29095503731413e-09,20
1973,1.17573663800861e-09,19
1974,1.30866679001354e-09,21
1975,1.61063551384899e-09,26
1976,1.54035882561037e-09,27
1977,1.5451175111195e-09,27
1978,2.05444717686433e-09,36
1979,2.33909599328674e-09,41
1980,2.36293244940915e-09,42
1981,2.66281156598753e-09,46
1982,2.27302246419822e-09,40
1983,2.22629644927586e-09,40
1984,2.26550249344101e-09,42
1985,1.95566005701095e-09,38
1986,2.04669095609947e-09,39
1987,2.3223410848142e-09,45
1988,2.13761921011302e-09,42
1989,2.43203613349365e-09,50
1990,2.78106052224923e-09,59
1991,2.94922955898106e-09,61
1992,2.91871904125765e-09,62
1993,2.64675065495387e-09,57
1994,2.43280300071813e-09,53
1995,2.38860482980132e-09,53
1996,2.38266296276324e-09,53
1997,1.94966880388241e-09,43
1998,2.4397515922219e-09,54
1999,2.29299489514937e-09,52
2000,2.27524449082837e-09,56
2001,2.19832444708119e-09,54
2002,2.34242499504354e-09,61
2003,2.06176701108721e-09,56
2004,2.1874340652309e-09,61
2005,1.54042010347807e-09,41
2006,1.56227956315694e-09,43
2007,1.42972265722891e-09,40
2008,1.35718730202651e-09,39
2009,1.12513068306619e-09,31
2010,1.06225462999178e-09,28
2011,1.12420113198722e-09,30
2012,1.01720660317503e-09,35
2013,1.05319730169172e-09,37
2014,2.95244186192454e-09,90
2015,3.50317313996659e-09,93
2016,3.6419237848687e-09,97
2017,4.10562470826159e-09,112
2018,4.54328764609713e-09,119
2019,5.3707327890562e-09,122
