"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,3.95858861563474e-11,0
1870,3.95858861563474e-11,0
1871,3.95858861563474e-11,0
1872,3.95858861563474e-11,0
1873,3.95858861563474e-11,0
1874,3.95858861563474e-11,0
1875,3.95858861563474e-11,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,6.9604964649171e-11,1
1921,6.9604964649171e-11,1
1922,6.9604964649171e-11,1
1923,6.9604964649171e-11,0
1924,6.9604964649171e-11,0
1925,6.9604964649171e-11,0
1926,6.9604964649171e-11,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,1.65569760282988e-11,0
1948,3.36569760157295e-11,0
1949,3.36569760157295e-11,0
1950,3.36569760157295e-11,0
1951,3.36569760157295e-11,0
1952,3.36569760157295e-11,0
1953,3.36569760157295e-11,0
1954,1.70999999874307e-11,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,1.02017561065537e-11,0
1963,1.02017561065537e-11,0
1964,1.02017561065537e-11,0
1965,2.78319193089008e-11,0
1966,2.78319193089008e-11,0
1967,2.78319193089008e-11,0
1968,2.78319193089008e-11,0
1969,1.76301632023471e-11,0
1970,5.27081989165623e-11,1
1971,1.3326629482486e-10,2
1972,1.24331576780077e-10,2
1973,2.89413510022398e-10,5
1974,3.30151027548377e-10,5
1975,3.70698525447339e-10,6
1976,3.94807820364956e-10,7
1977,3.99861839076429e-10,7
1978,3.51943457512137e-10,6
1979,3.83886516820896e-10,7
1980,2.18804583578575e-10,4
1981,1.85696864631245e-10,3
1982,1.52560861761091e-10,3
1983,1.43256579218257e-10,3
1984,1.17825711489137e-10,2
1985,9.96541470375613e-11,2
1986,5.90156425712378e-11,1
1987,2.26202327702207e-10,4
1988,4.05720580148079e-10,8
1989,4.18265118968491e-10,9
1990,4.36747415019248e-10,9
1991,7.30801848599797e-10,15
1992,7.73594815190697e-10,17
1993,8.1224296881653e-10,17
1994,7.0358445409099e-10,15
1995,1.03379405185154e-09,23
1996,1.03274413673637e-09,23
1997,1.41939115371906e-09,31
1998,1.15685783323914e-09,26
1999,1.12671293574824e-09,25
2000,1.11921935509145e-09,28
2001,1.09111556595431e-09,27
2002,5.73757917169245e-10,15
2003,8.23074943518647e-10,23
2004,4.2837334820229e-10,12
2005,4.11962609363016e-10,11
2006,3.95139534683667e-10,11
2007,1.05098159391573e-09,30
2008,1.04701261053965e-09,30
2009,1.05116128995553e-09,29
2010,7.8293814487207e-10,21
2011,7.94844591434878e-10,21
2012,7.81052603050186e-10,27
2013,8.24269686731739e-10,29
2014,1.63251802453341e-10,5
2015,3.37731244756271e-10,9
2016,3.96167418810687e-10,11
2017,4.62195321945802e-10,13
2018,5.02639539018412e-10,13
2019,6.00265171769865e-10,14
