"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,4.83510628360559e-10,0
1957,4.83510628360559e-10,0
1958,4.83510628360559e-10,0
1959,4.83510628360559e-10,0
1960,8.89059302368521e-10,0
1961,8.89059302368521e-10,0
1962,8.89059302368521e-10,0
1963,7.84277119438213e-10,0
1964,7.84277119438213e-10,0
1965,7.84277119438213e-10,0
1966,7.84277119438213e-10,0
1967,3.78728445430251e-10,0
1968,3.78728445430251e-10,0
1969,3.78728445430251e-10,0
1970,0,0
1971,0,0
1972,0,0
1973,3.01445027669648e-10,0
1974,3.01445027669648e-10,0
1975,4.16801431463958e-09,2
1976,4.452343922117e-09,2
1977,5.24721437728764e-09,2
1978,5.73742082415103e-09,3
1979,6.20596314020767e-09,3
1980,6.79379374979305e-09,4
1981,7.63721654171791e-09,4
1982,3.77064725474798e-09,2
1983,4.37980350400023e-09,3
1984,4.57964878717933e-09,3
1985,4.57366516088647e-09,3
1986,4.10512284482983e-09,3
1987,3.35180320007059e-09,3
1988,3.04442945456681e-09,3
1989,3.56927638239008e-09,3
1990,3.4339079674999e-09,4
1991,2.67764767501534e-09,3
1992,2.31298955385587e-09,3
1993,3.21048642432891e-09,4
1994,4.0828540786337e-09,5
1995,4.17749151937485e-09,5
1996,4.12103575867359e-09,5
1997,3.6248632111808e-09,5
1998,4.21540780853087e-09,6
1999,4.56464645446987e-09,7
2000,4.29562355527427e-09,9
2001,3.71900315305445e-09,8
2002,3.5447373449214e-09,9
2003,3.30386944786503e-09,9
2004,3.52603463887086e-09,11
2005,3.03821431505266e-09,9
2006,3.44687307267983e-09,11
2007,3.13291913047107e-09,11
2008,3.1361091184274e-09,13
2009,2.99389709848949e-09,14
2010,2.98578346174289e-09,15
2011,2.78151584305013e-09,17
2012,2.74644852891827e-09,21
2013,2.24973014820559e-09,18
2014,2.38952809919876e-09,22
2015,2.26749803060906e-09,17
2016,2.30954531689674e-09,16
2017,2.43849163084064e-09,20
2018,2.53441050368508e-09,20
2019,2.6323164203923e-09,20
