"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,1.12446433117189e-10,1
1922,3.05656801456524e-10,3
1923,3.05656801456524e-10,2
1924,3.05656801456524e-10,2
1925,3.05656801456524e-10,2
1926,3.05656801456524e-10,2
1927,3.05656801456524e-10,2
1928,1.93210368339334e-10,1
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,6.74036184010264e-11,0
1935,6.74036184010264e-11,0
1936,8.83410507444639e-11,1
1937,8.83410507444639e-11,1
1938,8.83410507444639e-11,1
1939,8.83410507444639e-11,1
1940,8.83410507444639e-11,1
1941,4.85160027232011e-11,0
1942,4.85160027232011e-11,0
1943,2.75785703797636e-11,0
1944,2.75785703797636e-11,0
1945,2.75785703797636e-11,0
1946,2.75785703797636e-11,0
1947,2.75785703797636e-11,0
1948,0,0
1949,0,0
1950,1.35359786871244e-10,1
1951,1.35359786871244e-10,1
1952,2.13779529792798e-10,2
1953,2.7653647724898e-10,2
1954,3.49116250789435e-10,3
1955,4.94058761164278e-10,4
1956,6.5567484675804e-10,6
1957,6.09521129005649e-10,6
1958,7.9995005560139e-10,8
1959,8.79645457664756e-10,9
1960,1.049821452984e-09,12
1961,1.05603066271768e-09,13
1962,9.82500445088709e-10,12
1963,1.07838463456586e-09,14
1964,1.4298507467322e-09,18
1965,2.1032998091213e-09,29
1966,2.73656108884524e-09,39
1967,2.80434723062431e-09,44
1968,3.06210682207312e-09,49
1969,3.41260814448344e-09,55
1970,3.60235282476878e-09,58
1971,3.47496213550156e-09,56
1972,2.98498827243167e-09,47
1973,2.68885764249343e-09,44
1974,2.73033369623572e-09,43
1975,3.06687358296785e-09,50
1976,3.64147746331756e-09,63
1977,4.58280159307267e-09,80
1978,4.93047430809500e-09,87
1979,6.22274886926439e-09,110
1980,7.00490584139092e-09,124
1981,8.97453971703187e-09,156
1982,9.39094101390766e-09,164
1983,1.29247572773296e-08,235
1984,1.35723025804224e-08,253
1985,1.51973160425082e-08,292
1986,1.51753734836272e-08,292
1987,1.59175858902413e-08,308
1988,1.64268404652588e-08,323
1989,2.30736399510688e-08,475
1990,2.44285023638063e-08,520
1991,2.81076516347615e-08,577
1992,3.28393518092948e-08,702
1993,3.94142896415721e-08,842
1994,4.51268959819221e-08,977
1995,4.62722209120565e-08,1035
1996,4.11386741339115e-08,909
1997,4.08104171884765e-08,893
1998,3.78107136394285e-08,842
1999,3.3515514110048e-08,757
2000,2.8204100293345e-08,697
2001,2.36258728771231e-08,582
2002,2.19035198153631e-08,575
2003,2.19675343550639e-08,602
2004,1.84342600232209e-08,517
2005,1.78502264953322e-08,473
2006,1.71194816061299e-08,472
2007,1.66645140900875e-08,470
2008,1.47697969608642e-08,423
2009,1.33347339935958e-08,368
2010,1.20476200999547e-08,319
2011,1.19737619967895e-08,322
2012,1.09849649327206e-08,376
2013,1.04326665961916e-08,362
2014,1.00997398078712e-08,309
2015,1.07629204918509e-08,287
2016,1.30205857866439e-08,346
2017,1.35810997870199e-08,372
2018,1.35675902367127e-08,355
2019,1.49597111391217e-08,340
