"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,7.74623184643783e-09,0
1830,7.74623184643783e-09,0
1831,7.74623184643783e-09,0
1832,7.74623184643783e-09,0
1833,7.74623184643783e-09,0
1834,7.74623184643783e-09,0
1835,1.02295233870921e-08,1
1836,2.48329154065427e-09,0
1837,2.48329154065427e-09,0
1838,2.48329154065427e-09,0
1839,2.48329154065427e-09,0
1840,4.42374873240884e-09,0
1841,4.42374873240884e-09,0
1842,1.94045719175457e-09,0
1843,1.94045719175457e-09,0
1844,1.94045719175457e-09,0
1845,3.59548403748379e-09,0
1846,7.07831761457913e-09,1
1847,5.13786042282456e-09,0
1848,5.13786042282456e-09,0
1849,5.13786042282456e-09,0
1850,5.13786042282456e-09,0
1851,5.13786042282456e-09,0
1852,5.05201138066371e-09,0
1853,1.56917780356837e-09,0
1854,2.20030003106331e-08,2
1855,2.20030003106331e-08,2
1856,2.6266362291543e-08,3
1857,3.0152345636176e-08,3
1858,3.0152345636176e-08,3
1859,2.85831678326076e-08,3
1860,3.02813689044358e-08,3
1861,1.12402786760819e-08,1
1862,1.12402786760819e-08,1
1863,8.01577477409816e-09,1
1864,7.09469695690603e-09,1
1865,1.33514662817699e-08,2
1866,1.33514662817699e-08,2
1867,1.16532652099417e-08,2
1868,1.02605329312309e-08,2
1869,1.02605329312309e-08,1
1870,1.49170697381708e-08,2
1871,1.56080070772597e-08,2
1872,1.03888537138021e-08,1
1873,1.56995597474666e-08,2
1874,1.90278870754972e-08,2
1875,1.90278870754972e-08,3
1876,1.90278870754972e-08,3
1877,2.40116147917239e-07,31
1878,2.3728649419955e-07,27
1879,2.36248878238143e-07,31
1880,2.30938172204479e-07,35
1881,2.29335366570232e-07,39
1882,2.29335366570232e-07,31
1883,2.29335366570232e-07,48
1884,6.35628654472547e-09,1
1885,6.98251830958238e-09,1
1886,6.98251830958238e-09,1
1887,7.62167173817829e-09,1
1888,5.89615004439484e-09,1
1889,6.43966587990771e-09,1
1890,6.43966587990771e-09,1
1891,3.21138905943842e-09,1
1892,1.75896814574068e-09,0
1893,4.7557080178657e-09,1
1894,4.11655458926979e-09,1
1895,5.85539451845664e-09,2
1896,5.81619171872002e-09,2
1897,8.36224917882029e-09,3
1898,1.33765571318025e-08,4
1899,1.66891346456818e-08,9
1900,1.72870818929535e-08,9
1901,2.55394140439133e-08,11
1902,2.51836085635964e-08,9
1903,2.58274412015932e-08,9
1904,2.37145970162698e-08,8
1905,1.85520073271915e-08,6
1906,1.72218451880265e-08,6
1907,1.8212682473262e-08,6
