"Year","Freq","Count"
1800,1.73306102801973e-09,0
1801,3.98675528145986e-09,1
1802,3.32229606788322e-09,1
1803,7.76168171004851e-09,3
1804,8.0667592605721e-09,2
1805,7.74778008416632e-09,3
1806,8.00633018612932e-09,3
1807,8.01310876382847e-09,4
1808,7.09719981197208e-09,4
1809,7.09719981197208e-09,4
1810,2.18320044582348e-09,1
1811,2.34689080867513e-09,1
1812,2.56462982596771e-09,2
1813,2.30607972400471e-09,2
1814,1.88763723699533e-09,1
1815,2.29816936909393e-09,1
1816,2.29816936909393e-09,2
1817,2.4695169242861e-09,2
1818,2.00074901091085e-09,1
1819,1.52333249189443e-09,1
1820,1.52333249189443e-09,1
1821,1.52333249189443e-09,1
1822,2.96116456751808e-10,0
1823,4.36579225152453e-10,0
1824,2.65231669960286e-10,0
1825,5.18465294506245e-10,1
1826,5.18465294506245e-10,1
1827,6.23035900648716e-10,1
1828,8.43694519010134e-10,1
1829,1.00002273129007e-09,1
1830,1.90790990942499e-09,3
1831,2.46527785487314e-09,3
1832,2.46749260706431e-09,5
1833,2.54997086937944e-09,4
1834,2.44540026323697e-09,4
1835,3.39770928852496e-09,6
1836,3.11661217468538e-09,5
1837,2.37802786985851e-09,4
1838,2.35494010006728e-09,4
1839,2.32683602544422e-09,4
1840,2.54670162735948e-09,5
1841,2.82661210310969e-09,5
1842,1.83609077941682e-09,3
1843,2.03281435335561e-09,4
1844,2.25731156782467e-09,5
1845,2.19020274139226e-09,5
1846,2.54984293996634e-09,6
1847,2.61113184249088e-09,6
1848,2.71403509983464e-09,6
1849,2.63906786106866e-09,6
1850,2.63222393088418e-09,6
1851,1.07801085597841e-08,28
1852,1.09702376468615e-08,29
1853,1.14932179963643e-08,34
1854,1.38566856798329e-08,42
1855,1.38413841658088e-08,39
1856,1.44296883251651e-08,43
1857,1.50099562461798e-08,42
1858,7.82550019229333e-09,21
1859,7.71656425265935e-09,22
1860,6.78958504497982e-09,20
1861,7.39519907612594e-09,18
1862,8.92210811184338e-09,21
1863,8.79917939701689e-09,21
1864,9.30060014321071e-09,23
1865,8.46630700070326e-09,22
1866,8.49305756278618e-09,25
1867,8.61255909050713e-09,26
1868,6.31051360373241e-09,20
1869,4.89112296696094e-09,16
1870,4.95181533079401e-09,16
1871,4.28888795113634e-09,14
1872,4.56737910191153e-09,16
1873,4.69442158955248e-09,16
1874,5.74311869489768e-09,20
1875,5.79555543238947e-09,20
1876,6.96880014012485e-09,25
1877,2.12246655885627e-08,76
1878,2.44985582098511e-08,87
1879,2.44295141140137e-08,91
1880,2.42206568055815e-08,99
1881,2.44477523225761e-08,96
1882,2.42072956323027e-08,99
1883,2.33620859958959e-08,101
1884,9.81515362636592e-09,44
1885,6.54210888240137e-09,29
1886,6.30380172268146e-09,28
1887,6.39081483170109e-09,30
1888,5.94665443276465e-09,29
1889,6.59574649461029e-09,34
1890,7.08276103838263e-09,36
1891,6.89250833590156e-09,36
1892,7.15941120079032e-09,39
1893,8.18531331008605e-09,46
1894,8.46657908861102e-09,47
1895,8.36984886953829e-09,53
1896,8.11845496384578e-09,50
1897,8.70462697160385e-09,56
1898,9.03152954011079e-09,61
1899,9.12047491498567e-09,67
