"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,6.67387653078119e-11,0
1846,6.67387653078119e-11,0
1847,6.67387653078119e-11,0
1848,6.67387653078119e-11,0
1849,6.67387653078119e-11,0
1850,6.67387653078119e-11,0
1851,6.67387653078119e-11,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,1.54642409988526e-10,1
1895,1.54642409988526e-10,1
1896,1.54642409988526e-10,1
1897,4.14716975046961e-10,3
1898,4.14716975046961e-10,3
1899,4.14716975046961e-10,3
1900,4.14716975046961e-10,3
1901,3.11484625790749e-10,2
1902,3.28702916076372e-10,3
1903,3.44642060921631e-10,3
1904,1.76506390852411e-09,15
1905,4.08258703431054e-09,34
1906,4.11361700655303e-09,37
1907,4.12826718048415e-09,37
1908,4.07685711975184e-09,38
1909,4.10098185370839e-09,38
1910,4.08504270886313e-09,40
1911,2.40454629620222e-09,25
1912,1.30265493828282e-10,1
1913,2.13618873582241e-10,2
1914,1.98968699651113e-10,2
1915,1.98968699651113e-10,2
1916,1.57625675408938e-10,2
1917,1.99522879369101e-10,2
1918,3.28945034901361e-10,3
1919,8.68138335029047e-10,8
1920,8.00158292798717e-10,8
1921,1.39050206666396e-09,14
1922,1.97013317168196e-09,20
1923,2.11745384123433e-09,13
1924,6.9354407514607e-09,35
1925,7.12809104003969e-09,42
1926,6.61442431183966e-09,38
1927,7.84137017420924e-09,46
1928,7.75283505846261e-09,48
1929,7.72949149328651e-09,48
1930,8.09949127608281e-09,51
1931,8.56490840948711e-09,53
1932,8.36105219583137e-09,47
1933,8.43128625249711e-09,44
1934,7.53989091796724e-09,41
1935,8.10475422488973e-09,49
1936,8.53252599527668e-09,52
1937,8.75580529112265e-09,55
1938,3.58276979909152e-09,23
1939,3.86285797594952e-09,26
1940,3.93020112288145e-09,25
1941,3.5758258556554e-09,23
1942,4.17799300513254e-09,24
1943,3.25829367653352e-09,18
1944,2.74534979868449e-09,14
1945,2.76200882205162e-09,16
1946,3.85303383643176e-09,26
1947,3.79570051976609e-09,28
1948,3.88782194929834e-09,29
1949,2.96725405754142e-09,26
1950,1.15151604045722e-08,99
1951,1.18005265876369e-08,98
1952,1.28078979485683e-08,107
1953,1.215009807943e-08,102
1954,1.2828494739706e-08,110
1955,1.78107710811979e-08,162
1956,1.9527144949627e-08,177
1957,1.16285272036554e-08,114
1958,1.39005281719697e-08,136
1959,1.43392653772659e-08,151
1960,1.46618126905291e-08,164
1961,1.52188381966067e-08,182
1962,1.1290063835212e-08,142
1963,1.18064796025037e-08,159
1964,1.3637937748358e-08,172
1965,1.34709939641645e-08,188
1966,1.36849194446691e-08,197
1967,1.73511926582611e-08,274
1968,1.79683361186043e-08,290
1969,1.82852971157356e-08,296
1970,1.79789365597641e-08,289
1971,2.24065807198042e-08,360
1972,2.27971254869651e-08,361
1973,2.43936168149915e-08,396
1974,2.49832091026818e-08,397
1975,2.6322744592157e-08,431
1976,2.9863387802325e-08,515
1977,3.49341738077007e-08,610
1978,3.28410602303978e-08,576
1979,3.41970115617731e-08,605
1980,3.7479885115131e-08,664
1981,3.90435785914213e-08,681
1982,4.195776642592e-08,735
1983,4.27083176393617e-08,775
1984,4.47464709124997e-08,834
1985,4.80919769374874e-08,923
1986,4.72853073333573e-08,909
1987,4.55792094939638e-08,882
1988,4.34090402353807e-08,854
1989,4.40385701199515e-08,907
1990,4.70517196910729e-08,1001
1991,4.45599683540632e-08,915
1992,4.62600853774158e-08,990
1993,4.99358254468785e-08,1067
1994,5.42720938051522e-08,1176
1995,6.68224632393339e-08,1495
1996,7.34555073612324e-08,1623
1997,7.67873230774128e-08,1680
1998,8.4442570862296e-08,1881
1999,8.39646007860795e-08,1896
2000,8.56152008355775e-08,2117
2001,9.16511605735566e-08,2257
2002,8.89910560876649e-08,2334
2003,8.35198746908437e-08,2288
2004,9.53242723287863e-08,2674
2005,9.43637268998757e-08,2500
2006,9.69130959966551e-08,2672
2007,9.7206695526264e-08,2739
2008,9.31710246335601e-08,2666
2009,9.96645993115283e-08,2753
2010,1.05467556680125e-07,2794
2011,8.85190014383268e-08,2378
2012,8.79568125238579e-08,3014
2013,9.28907884738856e-08,3226
2014,9.84065226052243e-08,3013
2015,9.84504262557806e-08,2621
2016,9.20706964082006e-08,2446
2017,9.12578854798488e-08,2497
2018,9.97344314579429e-08,2610
2019,1.01175336372772e-07,2297
