"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,3.21226279702864e-11,0
1884,3.21226279702864e-11,0
1885,3.21226279702864e-11,0
1886,3.21226279702864e-11,0
1887,3.21226279702864e-11,0
1888,3.21226279702864e-11,0
1889,3.21226279702864e-11,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,1.37244551041376e-11,0
1909,1.37244551041376e-11,0
1910,1.37244551041376e-11,0
1911,1.37244551041376e-11,0
1912,1.37244551041376e-11,0
1913,1.37244551041376e-11,0
1914,1.37244551041376e-11,0
1915,0,0
1916,0,0
1917,5.5862937291857e-11,1
1918,5.5862937291857e-11,0
1919,5.5862937291857e-11,1
1920,5.5862937291857e-11,1
1921,5.5862937291857e-11,1
1922,5.5862937291857e-11,1
1923,8.04163818868275e-11,0
1924,2.45534445949705e-11,0
1925,2.45534445949705e-11,0
1926,2.45534445949705e-11,0
1927,2.45534445949705e-11,0
1928,2.45534445949705e-11,0
1929,2.45534445949705e-11,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,2.22223331006585e-11,0
1936,2.22223331006585e-11,0
1937,2.22223331006585e-11,0
1938,2.22223331006585e-11,0
1939,4.71163584338439e-11,0
1940,4.71163584338439e-11,0
1941,4.71163584338439e-11,0
1942,2.48940253331855e-11,0
1943,2.48940253331855e-11,0
1944,2.48940253331855e-11,0
1945,2.48940253331855e-11,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,1.44942510374843e-11,0
1956,1.44942510374843e-11,0
1957,2.72379757637609e-11,0
1958,2.72379757637609e-11,0
1959,2.72379757637609e-11,0
1960,3.78258367088919e-11,0
1961,3.78258367088919e-11,0
1962,2.33315856714076e-11,0
1963,2.33315856714076e-11,0
1964,1.05878609451311e-11,0
1965,1.05878609451311e-11,0
1966,1.05878609451311e-11,0
1967,0,0
1968,0,0
1969,5.38613122356781e-11,1
1970,7.14003300927857e-11,1
1971,8.03512296381521e-11,1
1972,8.03512296381521e-11,1
1973,8.86053264489587e-11,1
1974,8.86053264489587e-11,1
1975,1.53481323880314e-10,3
1976,1.31765738201458e-10,2
1977,1.30279542114626e-10,2
1978,1.2132864256926e-10,2
1979,1.29456343462524e-10,2
1980,1.21202246651718e-10,2
1981,1.21202246651718e-10,2
1982,1.00795217410672e-10,2
1983,9.08570084247527e-11,2
1984,1.04206560047615e-10,2
1985,1.33142859832474e-10,3
1986,1.87192152651632e-10,4
1987,2.00567087739665e-10,4
1988,2.42155543633033e-10,5
1989,2.44250653432968e-10,5
1990,2.75302830135945e-10,6
1991,3.57578020268986e-10,7
1992,3.98627529299026e-10,9
1993,4.00864123145661e-10,9
1994,4.65526744633119e-10,10
1995,4.23938288739751e-10,9
1996,5.3492520036518e-10,12
1997,5.33438229104772e-10,12
1998,4.27538453053243e-10,10
1999,3.57552644238344e-10,8
2000,3.29486058476507e-10,8
2001,2.97085072316548e-10,7
2002,6.08461199579675e-10,16
2003,4.81859032833551e-10,13
2004,4.50272493893574e-10,13
2005,5.09086423314661e-10,13
2006,5.96578147497663e-10,16
2007,5.92434112184348e-10,17
2008,5.57379700925699e-10,16
2009,2.62598291326085e-10,7
2010,2.64400639279508e-10,7
2011,2.62784043533352e-10,7
2012,2.03532184162025e-10,7
2013,1.37444550780368e-10,5
2014,1.31220332219176e-10,4
2015,1.58652871098556e-10,4
2016,1.60833608831806e-10,4
2017,1.49429511010305e-10,4
2018,1.53317989554091e-10,4
2019,1.82302736274897e-10,4
