"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,8.62760846891726e-10,0
1882,8.62760846891726e-10,0
1883,8.62760846891726e-10,0
1884,8.62760846891726e-10,0
1885,8.62760846891726e-10,0
1886,8.62760846891726e-10,0
1887,8.62760846891726e-10,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,3.99409679932968e-10,0
1901,3.99409679932968e-10,0
1902,3.99409679932968e-10,0
1903,3.99409679932968e-10,0
1904,3.99409679932968e-10,0
1905,2.53949537589092e-09,1
1906,2.53949537589092e-09,1
1907,2.14008569595795e-09,1
1908,2.14008569595795e-09,1
1909,2.14008569595795e-09,1
1910,2.62435041951749e-09,1
1911,2.62435041951749e-09,1
1912,9.43246147855348e-10,0
1913,9.43246147855348e-10,0
1914,9.43246147855348e-10,0
1915,9.43246147855348e-10,0
1916,1.64199500028518e-08,4
1917,1.68391274892242e-08,6
1918,1.68391274892242e-08,4
1919,1.71735698677773e-08,5
1920,1.71735698677773e-08,5
1921,1.71735698677773e-08,5
1922,1.71735698677773e-08,6
1923,1.69686601278077e-09,0
1924,7.9342380284889e-10,0
1925,1.41489144210384e-09,0
1926,6.21467639254953e-10,0
1927,1.80189520447373e-09,0
1928,1.80189520447373e-09,0
1929,1.80189520447373e-09,0
1930,1.80189520447373e-09,0
1931,3.26348884424224e-09,1
1932,2.64202120498729e-09,1
1933,3.38035992848112e-09,1
1934,2.19993236326234e-09,0
1935,2.98884276058889e-09,1
1936,6.27121345329686e-09,1
1937,9.49549524723433e-09,2
1938,1.46898650069513e-08,3
1939,1.85520185245837e-08,3
1940,1.99746394662676e-08,4
1941,2.19320752035758e-08,4
1942,2.47334309223999e-08,4
1943,2.64281684790392e-08,3
1944,2.74027155252757e-08,4
1945,2.54699220444568e-08,4
1946,2.83286912658046e-08,6
1947,2.8209312473239e-08,7
1948,2.99932608273577e-08,7
1949,3.09987663474739e-08,7
1950,3.40645303710728e-08,9
1951,3.67883879550033e-08,10
1952,3.82251520595186e-08,19
1953,5.82315795583099e-08,15
1954,6.60330590841949e-08,18
1955,7.93539762788953e-08,24
1956,8.63624597232818e-08,23
1957,9.40511203520852e-08,26
1958,9.76474669376972e-08,27
1959,1.04547676706344e-07,31
1960,8.71479457804319e-08,28
1961,8.51769739185215e-08,30
1962,7.7544274112995e-08,27
1963,8.41189839371838e-08,29
1964,8.73726547937334e-08,27
1965,9.26628921213027e-08,34
1966,8.56263728492885e-08,32
1967,8.30267064623667e-08,36
1968,8.5021728482967e-08,39
1969,8.46913423518154e-08,38
1970,7.63313911126115e-08,35
1971,6.84884648042125e-08,28
1972,7.45817369767516e-08,29
1973,8.24245833490928e-08,32
1974,8.8747842217986e-08,35
1975,9.25624376511637e-08,37
1976,9.71110436509548e-08,46
1977,1.07163790857052e-07,49
1978,1.29600655635847e-07,62
1979,1.39324719983236e-07,70
1980,1.39686659414043e-07,75
1981,1.63535193720143e-07,95
1982,1.73212547876262e-07,105
1983,1.87798880018392e-07,120
1984,2.13684043237627e-07,144
1985,2.12386421196063e-07,154
1986,2.18082468766185e-07,173
1987,2.34580113730612e-07,201
1988,2.36543923305886e-07,208
1989,2.5228595802927e-07,239
1990,2.77246377348003e-07,290
1991,2.70119236565693e-07,286
1992,2.69044102234923e-07,291
1993,2.68182259066663e-07,302
1994,2.77901184477157e-07,331
1995,2.69625922350818e-07,320
1996,2.61626000419568e-07,331
1997,2.44645308265591e-07,310
1998,2.38027681565001e-07,322
1999,2.60206275700828e-07,395
2000,2.63182207328936e-07,571
2001,2.5286052045865e-07,563
2002,2.57619473563255e-07,625
2003,2.5800752201377e-07,700
2004,2.52131205818224e-07,747
2005,2.66246544684228e-07,746
2006,2.45085603748204e-07,765
2007,2.33583956875196e-07,823
2008,2.30973382007806e-07,962
2009,2.22001178710026e-07,1042
2010,2.17627332155246e-07,1082
2011,2.15647137480346e-07,1339
2012,1.97241946712065e-07,1517
2013,1.8644531829537e-07,1450
2014,1.8190759876191e-07,1663
2015,1.72522539460778e-07,1282
2016,1.58916459198315e-07,1068
2017,1.53767931757957e-07,1251
2018,1.44821200409595e-07,1118
2019,1.32512467276857e-07,1004
