"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,7.02742784598951e-11,0
1830,7.02742784598951e-11,0
1831,7.02742784598951e-11,0
1832,7.02742784598951e-11,0
1833,7.02742784598951e-11,0
1834,7.02742784598951e-11,0
1835,7.02742784598951e-11,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,5.05615708032029e-11,0
1853,5.05615708032029e-11,0
1854,5.05615708032029e-11,0
1855,5.05615708032029e-11,0
1856,5.05615708032029e-11,0
1857,5.05615708032029e-11,0
1858,5.05615708032029e-11,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,8.44729207218263e-11,0
1871,1.65625045424532e-10,1
1872,1.65625045424532e-10,1
1873,1.65625045424532e-10,1
1874,1.65625045424532e-10,1
1875,1.65625045424532e-10,1
1876,2.42289014248546e-10,1
1877,2.27719438543923e-10,1
1878,1.46567313841217e-10,1
1879,1.46567313841217e-10,1
1880,1.79453997297051e-10,1
1881,2.42585188048317e-10,1
1882,2.42585188048317e-10,1
1883,3.26534361058276e-10,1
1884,2.56631016041072e-10,1
1885,2.56631016041072e-10,1
1886,2.56631016041072e-10,1
1887,3.06646240146234e-10,1
1888,2.43515049394968e-10,1
1889,6.09907616474662e-10,3
1890,4.49294474640689e-10,2
1891,5.26109624119999e-10,3
1892,5.93524372506847e-10,3
1893,6.16586044126828e-10,3
1894,5.7786768227684e-10,3
1895,6.62552512853409e-10,4
1896,3.15540371609302e-10,2
1897,3.71270637249716e-10,2
1898,3.12493655951762e-10,2
1899,2.45078907564914e-10,2
1900,2.58158445018023e-10,2
1901,2.31111586217787e-10,2
1902,2.66954787640574e-10,2
1903,2.47574361804987e-10,2
1904,1.91844096164573e-10,2
1905,3.11027688723201e-10,3
1906,3.26542674844443e-10,3
1907,3.05051639702482e-10,3
1908,3.01639407895848e-10,3
1909,2.36235408219392e-10,2
1910,2.77557076528672e-10,3
1911,2.77557076528672e-10,3
1912,1.97991747005347e-10,2
1913,2.68264272898896e-10,3
1914,2.68230588534075e-10,3
1915,3.82015913941951e-10,4
1916,8.5370710798235e-10,8
1917,8.96179847593397e-10,9
1918,1.05436247332153e-09,9
1919,1.06773477262115e-09,10
1920,1.16756049174065e-09,12
1921,1.20916721873294e-09,12
1922,1.27486780656026e-09,13
