"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,2.29229651133827e-11,0
1927,2.29229651133827e-11,0
1928,2.29229651133827e-11,0
1929,2.29229651133827e-11,0
1930,2.29229651133827e-11,0
1931,2.29229651133827e-11,0
1932,4.65662112044843e-11,0
1933,2.36432460911016e-11,0
1934,2.36432460911016e-11,0
1935,2.36432460911016e-11,0
1936,2.36432460911016e-11,0
1937,2.36432460911016e-11,0
1938,2.36432460911016e-11,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,3.13784732324558e-11,0
1954,3.13784732324558e-11,0
1955,3.13784732324558e-11,0
1956,3.13784732324558e-11,0
1957,5.68659226850089e-11,1
1958,6.87677305972428e-11,1
1959,6.87677305972428e-11,1
1960,3.7389257364787e-11,0
1961,3.7389257364787e-11,0
1962,3.7389257364787e-11,0
1963,3.7389257364787e-11,1
1964,1.19018079122338e-11,0
1965,3.52603264046942e-11,0
1966,3.52603264046942e-11,1
1967,3.52603264046942e-11,1
1968,3.52603264046942e-11,1
1969,3.52603264046942e-11,1
1970,3.52603264046942e-11,1
1971,3.52603264046942e-11,1
1972,1.73908903151292e-11,0
1973,1.73908903151292e-11,0
1974,1.73908903151292e-11,0
1975,1.73908903151292e-11,0
1976,1.73908903151292e-11,0
1977,1.73908903151292e-11,0
1978,1.73908903151292e-11,0
1979,0,0
1980,0,0
1981,7.62979857864871e-12,0
1982,7.62979857864871e-12,0
1983,7.62979857864871e-12,0
1984,7.62979857864871e-12,0
1985,7.62979857864871e-12,0
1986,7.62979857864871e-12,0
1987,1.43172661226654e-11,0
1988,1.3618876859578e-11,0
1989,1.3618876859578e-11,0
1990,1.3618876859578e-11,0
1991,1.3618876859578e-11,0
1992,1.99812230253623e-11,0
1993,3.28639407354281e-11,1
1994,2.61764731914114e-11,1
1995,2.5632195275024e-11,1
1996,2.5632195275024e-11,1
1997,2.5632195275024e-11,1
1998,2.5632195275024e-11,1
1999,2.46930928085983e-11,1
2000,1.7002803926707e-11,0
2001,1.7002803926707e-11,0
2002,1.59842263433177e-11,0
2003,2.11423636534544e-11,1
2004,3.6282001212941e-11,1
2005,4.1250594705928e-11,1
2006,4.09739231631092e-11,1
2007,5.18829775768876e-11,1
2008,1.94742130655528e-10,6
2009,2.35009048431862e-10,6
2010,2.66695977801934e-10,7
2011,3.35119488706745e-10,9
2012,4.63647331341458e-10,16
2013,4.69202804585591e-10,16
2014,6.50539799608639e-10,20
2015,7.03184814939853e-10,19
2016,7.45168136520987e-10,20
2017,8.26376914814242e-10,22
2018,8.74663889927074e-10,23
2019,8.59711099185367e-10,19
