"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,1.16122121442329e-09,0
1872,1.16122121442329e-09,0
1873,1.16122121442329e-09,0
1874,1.16122121442329e-09,0
1875,2.35822130077525e-09,0
1876,2.35822130077525e-09,0
1877,2.35822130077525e-09,0
1878,1.19700008635196e-09,0
1879,1.19700008635196e-09,0
1880,1.19700008635196e-09,0
1881,1.19700008635196e-09,0
1882,7.59073312143041e-10,0
1883,2.38279136104731e-09,1
1884,3.8296739747677e-09,1
1885,3.8296739747677e-09,1
1886,3.8296739747677e-09,1
1887,3.8296739747677e-09,1
1888,5.61827930210614e-09,1
1889,4.8592059899631e-09,1
1890,3.23548794105883e-09,1
1891,1.78860532733844e-09,0
1892,1.78860532733844e-09,0
1893,2.19636486775698e-09,1
1894,2.19636486775698e-09,1
1895,4.07759540418543e-10,0
1896,4.07759540418543e-10,0
1897,4.07759540418543e-10,0
1898,4.07759540418543e-10,0
1899,4.07759540418543e-10,0
1900,0,0
1901,0,0
1902,4.38283155799825e-10,0
1903,8.01851442387504e-10,0
1904,8.01851442387504e-10,0
1905,1.20839351223724e-09,0
1906,1.9625243017986e-09,1
1907,3.97394035139038e-09,1
1908,4.37373086954145e-09,1
1909,3.93544771374163e-09,1
1910,4.03148064138341e-09,2
1911,4.03148064138341e-09,1
1912,3.62493857153368e-09,1
1913,2.87080778197232e-09,1
1914,8.5939173238054e-10,0
1915,4.59601214229467e-10,0
1916,4.59601214229467e-10,0
1917,0,0
1918,9.81190620815856e-10,0
1919,2.11092134248604e-09,1
1920,2.11092134248604e-09,1
1921,2.11092134248604e-09,1
1922,2.11092134248604e-09,1
1923,2.11092134248604e-09,0
1924,3.20855672189932e-09,1
1925,2.22736610108346e-09,1
1926,1.09763537941327e-09,0
1927,1.09763537941327e-09,0
1928,1.62419062326486e-09,0
1929,1.62419062326486e-09,0
1930,1.62419062326486e-09,0
1931,1.21781733903552e-09,0
1932,1.21781733903552e-09,0
