"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,1.70852538466144e-10,0
1819,1.70852538466144e-10,0
1820,1.70852538466144e-10,0
1821,1.70852538466144e-10,0
1822,2.89915480511382e-10,0
1823,5.58323284430681e-10,1
1824,5.58323284430681e-10,1
1825,3.87470745964537e-10,0
1826,3.87470745964537e-10,0
1827,3.87470745964537e-10,0
1828,3.87470745964537e-10,0
1829,2.68407803919298e-10,0
1830,0,0
1831,0,0
1832,0,0
1833,7.89010761487979e-11,0
1834,7.89010761487979e-11,0
1835,7.89010761487979e-11,0
1836,7.89010761487979e-11,0
1837,7.89010761487979e-11,0
1838,7.89010761487979e-11,0
1839,1.51352303705871e-10,0
1840,7.24512275570735e-11,0
1841,4.73867207378171e-10,1
1842,4.73867207378171e-10,1
1843,5.99228151226023e-10,1
1844,1.36538665294696e-09,3
1845,1.49299589358165e-09,3
1846,1.42054466602458e-09,3
1847,1.42054466602458e-09,3
1848,1.01912868620348e-09,2
1849,1.01912868620348e-09,2
1850,9.84437023962162e-10,2
1851,2.62600786354079e-10,1
1852,2.79893762928601e-10,1
1853,2.79893762928601e-10,1
1854,3.2807169679318e-10,1
1855,3.2807169679318e-10,1
1856,5.17590795620241e-10,2
1857,4.72796496397976e-10,1
1858,4.28474232285124e-10,1
1859,3.41648836205926e-10,1
1860,3.99845565387683e-10,1
1861,3.51667631523104e-10,1
1862,4.04809245648151e-10,1
1863,3.9739287654201e-10,1
1864,1.02492563642491e-09,3
1865,1.2778810390809e-09,3
1866,1.26196562723533e-09,4
1867,1.20376889805358e-09,4
1868,1.41729595123533e-09,5
1869,1.40184187670732e-09,5
1870,1.25998041761959e-09,4
1871,6.63863602978765e-10,2
1872,6.0601720863751e-10,2
1873,7.12486430964887e-10,2
1874,7.5033681648914e-10,3
1875,6.13193361166862e-10,2
1876,5.75505821569828e-10,2
1877,5.35264550936633e-10,2
1878,4.57973623310285e-10,2
1879,4.95400319972766e-10,2
1880,4.09357052223923e-10,2
1881,3.71506666699669e-10,1
1882,4.49339359371541e-10,2
1883,6.0214320831063e-10,3
1884,8.63318258151732e-10,4
1885,1.13934844098955e-09,5
1886,1.1429043584548e-09,5
1887,1.10661413366131e-09,5
1888,1.46604864755976e-09,7
1889,1.41137647600788e-09,7
1890,1.28263203034797e-09,7
1891,1.07015126720495e-09,6
1892,8.36840888251977e-10,5
1893,7.10352552573441e-10,4
1894,7.89011108432674e-10,4
1895,4.49697830560782e-10,3
1896,3.50153711581314e-10,2
1897,3.79037204401023e-10,2
1898,4.67384486272212e-10,3
1899,6.32207363840795e-10,5
1900,5.39767248754406e-10,4
1901,5.16200996630063e-10,4
1902,5.61481666716546e-10,4
1903,7.58157945154484e-10,6
