"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,1.4717859946651e-09,0
1919,1.4717859946651e-09,0
1920,1.4717859946651e-09,0
1921,1.4717859946651e-09,0
1922,1.4717859946651e-09,1
1923,1.4717859946651e-09,0
1924,1.4717859946651e-09,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,1.01363381180672e-09,0
1951,1.01363381180672e-09,0
1952,1.01363381180672e-09,1
1953,1.01363381180672e-09,0
1954,1.01363381180672e-09,0
1955,1.98855725536922e-09,1
1956,2.90318689723433e-09,1
1957,4.01730134872277e-09,1
1958,4.01730134872277e-09,1
1959,4.01730134872277e-09,1
1960,4.01730134872277e-09,1
1961,4.01730134872277e-09,1
1962,3.41455067395405e-09,1
1963,2.49992103208894e-09,1
1964,9.92438956412148e-10,0
1965,1.28594420826086e-09,0
1966,1.58603799934757e-09,1
1967,1.87572170494223e-09,1
1968,1.87572170494223e-09,1
1969,1.50354893614844e-09,1
1970,2.19246814354384e-09,1
1971,1.91261057785092e-09,1
1972,1.61910532600221e-09,1
1973,1.31901153491551e-09,1
1974,1.32302756052281e-09,1
1975,2.1664278307806e-09,1
1976,2.1664278307806e-09,1
1977,2.22757149234302e-09,1
1978,2.11838909905789e-09,1
1979,3.00224183608882e-09,1
1980,4.26029670271991e-09,2
1981,4.961068207037e-09,3
1982,5.22819750984179e-09,3
1983,5.39658094402183e-09,3
1984,4.95899643571107e-09,3
1985,5.63999554995373e-09,4
1986,7.15403401598179e-09,6
1987,6.53600679927686e-09,6
1988,6.42427839497068e-09,6
1989,6.17774556907083e-09,6
1990,7.43538016870612e-09,8
1991,9.47844563154681e-09,10
1992,1.03655272539907e-08,11
1993,9.97290844351184e-09,11
1994,1.20692798374503e-08,14
1995,1.24715900860574e-08,15
1996,1.24878528866874e-08,16
1997,1.22913819083121e-08,16
1998,1.047458905723e-08,14
1999,9.17027253339546e-09,14
2000,8.394442347586e-09,18
2001,9.03976255755319e-09,20
2002,9.46864204899787e-09,23
2003,1.0213203921472e-08,28
2004,1.01951167508219e-08,30
2005,1.18671838942954e-08,33
2006,1.42381676805835e-08,44
2007,1.55806313366964e-08,55
2008,1.42776819137388e-08,59
2009,1.52461183836447e-08,71
2010,1.67047069510318e-08,83
2011,1.71363532015205e-08,106
2012,1.66983694094291e-08,128
2013,1.54762163005552e-08,120
2014,1.43619324528237e-08,131
2015,1.36320493385586e-08,101
2016,1.23245135367053e-08,82
2017,1.07812874738933e-08,87
2018,1.06371963792817e-08,82
2019,1.01940354074737e-08,77
