"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,3.08432565202362e-11,0
1883,3.08432565202362e-11,0
1884,5.98627060620162e-11,0
1885,5.98627060620162e-11,0
1886,1.12327512370923e-10,0
1887,1.12327512370923e-10,1
1888,1.12327512370923e-10,1
1889,8.14842558506866e-11,0
1890,8.14842558506866e-11,0
1891,5.24648063089066e-11,0
1892,1.59264312055945e-10,1
1893,1.06799505747038e-10,1
1894,1.06799505747038e-10,1
1895,1.47041977800149e-10,1
1896,2.57599572625214e-10,2
1897,3.28190098113674e-10,2
1898,4.13841080452012e-10,3
1899,8.6048870410035e-10,6
1900,1.04928358858812e-09,8
1901,1.19578459039411e-09,9
1902,1.40079926626489e-09,11
1903,1.39614428351642e-09,11
1904,1.47607697096954e-09,12
1905,1.44831185933114e-09,12
1906,1.49888943320623e-09,13
1907,1.7552951849956e-09,16
1908,1.9997524965319e-09,19
1909,2.65711382261914e-09,24
1910,2.65583028585021e-09,26
1911,2.73087225848607e-09,28
1912,3.34371660914989e-09,34
1913,3.09267990978539e-09,32
1914,3.6612225731306e-09,37
1915,5.557128119774e-09,55
1916,5.25531444948792e-09,52
1917,6.76989816785132e-09,66
1918,7.20006226663715e-09,64
1919,7.15025841511809e-09,67
1920,8.36100831228378e-09,85
1921,8.89489780838851e-09,88
1922,7.70843014320193e-09,77
1923,8.43702816539465e-09,52
1924,7.5599586313313e-09,38
1925,7.16635026321022e-09,42
1926,7.43764486507307e-09,43
1927,6.39207417155571e-09,37
1928,5.51544797135404e-09,34
1929,5.23154181879854e-09,32
1930,4.65211580369385e-09,29
1931,4.23396154644199e-09,26
1932,4.89291173847281e-09,27
1933,4.52887477520036e-09,24
1934,4.99238395068602e-09,27
1935,4.93369585661897e-09,30
1936,5.01243410270088e-09,31
1937,6.52181361296808e-09,41
1938,7.16895623023969e-09,46
1939,6.72111142138324e-09,45
1940,6.90400514932346e-09,44
1941,6.76145218782485e-09,44
1942,7.23922264395898e-09,41
1943,7.0784766104115e-09,39
1944,5.7577675088056e-09,30
1945,6.5886864614966e-09,37
1946,7.02802966418797e-09,46
1947,7.3559426942506e-09,55
1948,7.31317488610645e-09,55
1949,7.30640755139797e-09,63
1950,7.35999452554172e-09,63
1951,7.31831111385909e-09,61
1952,6.63460488135671e-09,55
1953,6.21424858396732e-09,52
1954,6.15526152666515e-09,53
1955,6.08944573634743e-09,55
1956,5.69812828171701e-09,51
1957,5.75864085880903e-09,56
1958,5.64291015303642e-09,55
1959,5.15870920782456e-09,54
1960,5.40175598299061e-09,60
1961,4.83929824189401e-09,58
1962,4.66199617501653e-09,58
1963,4.49782202058665e-09,60
1964,3.91463988605853e-09,49
1965,3.54444505095459e-09,49
1966,3.19492893252615e-09,46
1967,2.8889807738535e-09,46
1968,2.6990861440709e-09,43
1969,2.31677615782276e-09,37
1970,2.05601441625815e-09,33
1971,2.08886602955292e-09,33
1972,1.86824272669203e-09,29
1973,2.05507111476964e-09,33
1974,1.7730845586404e-09,28
1975,1.92327480380164e-09,31
1976,2.01224922389514e-09,35
1977,2.69205528058028e-09,47
1978,2.72756005232197e-09,48
1979,2.86182353112904e-09,50
1980,2.74819874099671e-09,49
1981,2.84037256958628e-09,49
1982,2.74447923266443e-09,48
1983,2.64648807085258e-09,48
1984,2.04920707040051e-09,38
1985,2.00451685805625e-09,38
1986,2.38943003875011e-09,46
1987,2.41971169638787e-09,47
1988,2.3846347599927e-09,47
1989,2.38752802895045e-09,49
1990,2.47902988464602e-09,53
1991,2.61721359168243e-09,54
1992,2.61279064108539e-09,56
1993,2.35077936828833e-09,50
1994,2.34039397534588e-09,50
1995,2.56185784540595e-09,57
1996,2.72118296596299e-09,60
1997,2.87853070794169e-09,63
1998,2.82530048364585e-09,63
1999,3.16017822327153e-09,71
2000,3.23674093479934e-09,80
2001,3.75263138866726e-09,92
2002,3.85868031773016e-09,101
2003,3.98956750770539e-09,109
2004,4.18465353886423e-09,117
2005,4.44591377552325e-09,117
2006,4.86531159358499e-09,134
2007,5.43448528985453e-09,152
2008,6.01510535775237e-09,171
2009,6.76591395261185e-09,186
2010,7.50431038490373e-09,198
2011,8.08902094513136e-09,216
2012,8.39807670924683e-09,286
2013,8.19912612803897e-09,283
2014,8.05417559233769e-09,245
2015,7.30317359167097e-09,193
2016,6.85926224946216e-09,181
2017,6.47011398971498e-09,176
2018,6.09735668344324e-09,159
2019,5.86318593329138e-09,132
