"Year","Freq","Count"
1800,7.81251015880002e-07,9
1801,6.72111612232129e-07,3
1802,5.88711459433474e-07,2
1803,5.8452492420916e-07,4
1804,3.60815433404176e-07,2
1805,5.09006973459236e-07,3
1806,6.13714443074644e-07,7
1807,6.39310950337598e-07,5
1808,8.35421981751746e-07,7
1809,8.9306968220626e-07,12
1810,9.67279402987385e-07,21
1811,9.0405125316043e-07,10
1812,8.17270936132835e-07,27
1813,8.83123992220395e-07,16
1814,7.91101642099485e-07,9
1815,5.87321828504628e-07,10
1816,5.97003756906491e-07,8
1817,5.44841354001489e-07,8
1818,6.57188381174884e-07,14
1819,7.49652312797317e-07,16
1820,6.68530186637944e-07,20
1821,8.04002682843117e-07,22
1822,9.94852555383626e-07,41
1823,1.06525860285192e-06,33
1824,1.20400542919746e-06,60
1825,1.10912895781975e-06,43
1826,1.13604905546286e-06,40
1827,1.16111165431627e-06,41
1828,1.17819672646695e-06,44
1829,1.08530477861889e-06,44
1830,9.89296723525562e-07,46
1831,9.08875408711651e-07,38
1832,1.0962556071803e-06,60
1833,1.12545712305234e-06,68
1834,1.04896120691121e-06,61
1835,9.93809069577927e-07,65
1836,1.02026646293345e-06,73
1837,1.09402814020752e-06,78
1838,1.02425984290936e-06,59
1839,9.58274792723606e-07,72
1840,8.76348197184232e-07,73
1841,9.28292303724122e-07,83
1842,9.47807060011233e-07,92
1843,9.47213018750607e-07,69
1844,9.24198208248786e-07,81
1845,9.52840511508108e-07,101
1846,9.16052196003087e-07,80
1847,9.03203701798004e-07,80
1848,9.502326543398e-07,82
1849,1.04336622478282e-06,85
1850,1.00368263376639e-06,97
1851,1.27250903312971e-06,93
1852,1.39186212917102e-06,136
1853,1.38741106007042e-06,122
1854,1.39206780249067e-06,130
1855,1.43566187408136e-06,130
1856,1.43367815244996e-06,159
1857,1.5023139090837e-06,157
1858,1.29916095456143e-06,113
1859,1.21352837315466e-06,121
1860,1.21626360119872e-06,133
1861,1.28440404102901e-06,100
1862,1.24945665255386e-06,95
1863,1.1716728971172e-06,98
1864,1.12139691158372e-06,115
1865,1.10586400278326e-06,127
1866,1.18782841061561e-06,163
1867,1.30731665721433e-06,188
1868,1.32252591773201e-06,211
1869,1.31355154829395e-06,170
1870,1.36443387965812e-06,196
1871,1.40899785883164e-06,214
1872,1.43277407056124e-06,176
1873,1.42947400481676e-06,178
1874,1.42597310099595e-06,166
1875,1.49185671511581e-06,204
1876,1.57131358870442e-06,210
1877,1.64014128729255e-06,210
1878,1.66125251129959e-06,188
1879,1.70340551518068e-06,223
1880,1.75895378110421e-06,265
1881,1.71072190851313e-06,294
1882,1.62727079379619e-06,222
1883,1.53586973526489e-06,324
1884,1.48875136662951e-06,245
1885,1.50592415375834e-06,269
1886,1.4922032149605e-06,249
1887,1.42242032000591e-06,266
1888,1.51767235458321e-06,297
1889,1.62659731772763e-06,329
1890,1.73463323508268e-06,386
1891,1.70608243424805e-06,387
1892,1.69751422715184e-06,444
1893,1.77869105089101e-06,489
1894,1.78855280836514e-06,441
1895,1.70443595818145e-06,577
1896,1.66679786782277e-06,553
1897,1.63427452761132e-06,532
1898,1.64749056260785e-06,538
