"Year","Freq","Count"
1800,8.53751921714441e-07,214
1801,8.01315480192244e-07,197
1802,7.64500819760983e-07,181
1803,7.49354408175711e-07,259
1804,7.14172211210443e-07,219
1805,7.10701469230912e-07,233
1806,6.99048091031987e-07,283
1807,6.79485340882025e-07,317
1808,6.62759984163383e-07,363
1809,6.37194933959608e-07,350
1810,6.31391688837064e-07,429
1811,5.6549373494974e-07,342
1812,5.58401253046372e-07,439
1813,5.51447934109867e-07,360
1814,4.91542780890951e-07,298
1815,4.92323131532199e-07,293
1816,5.27203740599954e-07,387
1817,5.34379584519026e-07,364
1818,5.63732079937397e-07,415
1819,5.62750532395739e-07,421
1820,5.74954097030757e-07,477
1821,6.21186665153825e-07,493
1822,6.77390617122496e-07,641
1823,7.06095286684416e-07,681
1824,7.1634126776386e-07,792
1825,7.17708853681387e-07,818
1826,7.36910246093966e-07,746
1827,7.50298908716981e-07,796
1828,7.51106455888971e-07,844
1829,8.66043112652497e-07,1040
1830,8.34786239055165e-07,1136
1831,8.45032206938815e-07,1090
1832,8.67433116637427e-07,1756
1833,8.59556610650308e-07,1283
1834,8.57205625212235e-07,1313
1835,8.64753813318535e-07,1445
1836,7.29233166677342e-07,1258
1837,7.24117615773829e-07,1241
1838,7.33511943375374e-07,1246
1839,7.55880481444799e-07,1433
1840,7.67125146453448e-07,1410
1841,7.73409382315293e-07,1442
1842,7.72309944694984e-07,1451
1843,7.8484768823677e-07,1478
1844,8.05331102185899e-07,1638
1845,7.68633312236184e-07,1799
1846,7.24576532107335e-07,1573
1847,7.22457593685785e-07,1540
1848,7.49239600647148e-07,1598
1849,7.75758466607459e-07,1693
1850,7.84356364620058e-07,1842
1851,8.26485572551811e-07,2151
1852,8.79378331676759e-07,2329
1853,9.35789044095462e-07,2806
1854,9.65215872815252e-07,2959
1855,9.59350706177174e-07,2700
1856,1.02049958096627e-06,3009
1857,1.03731938695871e-06,2923
1858,1.0149675621867e-06,2751
1859,1.00956197928476e-06,2891
1860,9.76047274876229e-07,2886
1861,9.74091294102054e-07,2407
1862,9.76227506071276e-07,2280
1863,9.00743086848113e-07,2102
1864,8.96073379941242e-07,2257
1865,9.12240804927324e-07,2330
1866,9.29857234131605e-07,2772
1867,9.70971744784777e-07,2934
1868,1.00851659100089e-06,3245
1869,1.01476707227631e-06,3264
1870,1.05825866051187e-06,3486
1871,1.08475587230166e-06,3445
1872,1.10228571654452e-06,3963
1873,1.10618740123414e-06,3727
1874,1.09587407339161e-06,3844
1875,1.09197776154701e-06,3795
1876,1.11844008949496e-06,4080
1877,1.126138991836e-06,4033
1878,1.12683408711892e-06,3998
1879,1.13202087094675e-06,4203
1880,1.1605580232705e-06,4726
1881,1.18977056549698e-06,4666
1882,1.19705661028036e-06,4880
1883,1.18391427785168e-06,5123
1884,1.19684656927989e-06,5396
1885,1.2077163771908e-06,5303
1886,1.23384277246024e-06,5467
1887,1.2188084220607e-06,5685
1888,1.23696150922115e-06,6066
1889,1.24762118173091e-06,6436
1890,1.27740337025577e-06,6579
1891,1.27884730779674e-06,6740
1892,1.28077261850125e-06,6964
1893,1.29650709406499e-06,7293
1894,1.32817239860218e-06,7381
1895,1.31954030825808e-06,8356
1896,1.32418631704212e-06,8170
1897,1.33564531396806e-06,8603
1898,1.324798032292e-06,8904
1899,1.34304837321305e-06,9859
1900,1.34187323652668e-06,10276
1901,1.35562708335004e-06,10693
1902,1.37457770930739e-06,10737
1903,1.44810893308391e-06,11402
1904,1.55381661391475e-06,12899
1905,1.61372084609265e-06,13335
1906,1.66709001473261e-06,14880
1907,1.69365340342763e-06,15199
1908,1.72246288749583e-06,16074
1909,1.75104445736857e-06,16058
1910,1.72380775152549e-06,16742
1911,1.65855730114929e-06,17197
1912,1.65010399909095e-06,17037
1913,1.64407672339654e-06,16984
1914,1.66671282083744e-06,16967
1915,1.66804656741095e-06,16467
1916,1.69118641021474e-06,16832
1917,1.68872131871873e-06,16441
1918,1.76513614340885e-06,15760
1919,1.84312965854718e-06,17426
1920,1.87550618641857e-06,19110
1921,1.89223132045819e-06,18727
1922,1.92616983341054e-06,19296
1923,1.95081594256408e-06,11962
1924,1.97741547834442e-06,10007
1925,1.95100254275969e-06,11491
1926,1.9572196089866e-06,11341
1927,2.02116307436638e-06,11773
1928,2.05044443240305e-06,12680
1929,2.02041391058775e-06,12539
1930,2.00193456884839e-06,12525
1931,1.99487534960748e-06,12442
1932,1.99241386817611e-06,11210
1933,1.96455602312946e-06,10265
1934,1.89497993829946e-06,10277
1935,1.9068455705857e-06,11474
1936,1.96546297205811e-06,12070
1937,2.04355894086104e-06,12940
1938,2.2080664083189e-06,14136
1939,2.30181243614831e-06,15641
1940,2.43265608647546e-06,15422
1941,2.62218295990887e-06,17152
1942,2.72212095353552e-06,15558
1943,2.82381304320519e-06,15578
1944,2.88055598320268e-06,14863
1945,2.92241677511486e-06,16696
1946,3.14549461271391e-06,20863
1947,3.2303796239879e-06,24228
1948,3.31967783852503e-06,25166
1949,3.39437584427417e-06,29187
1950,3.51315549705435e-06,30192
1951,3.68431320448995e-06,30658
1952,3.79035414661238e-06,31715
1953,3.74064021002596e-06,31458
1954,3.74135553775951e-06,32169
1955,3.74177844670547e-06,33946
1956,3.79671099689663e-06,34432
1957,3.86148358545922e-06,37848
1958,3.7856359246088e-06,37161
1959,3.75819320095973e-06,39702
1960,3.75271083998184e-06,41896
1961,3.79260427507688e-06,45336
1962,3.78948862841558e-06,47737
1963,3.83209602716761e-06,51493
1964,3.83448577524957e-06,48466
1965,3.96378108393135e-06,55277
1966,4.06247817912637e-06,58357
1967,4.21710541534789e-06,66713
1968,4.29822085225494e-06,69370
1969,4.50614623608609e-06,72907
1970,4.67798651828031e-06,75244
1971,4.83534816250345e-06,77675
1972,4.9884987203898e-06,79056
1973,5.24258961474646e-06,85055
1974,5.56722140946217e-06,88488
1975,6.01287725844811e-06,98379
1976,6.36243539377444e-06,109669
1977,6.85134962655606e-06,119640
1978,7.40595699052652e-06,129933
1979,8.23247670008901e-06,145748
1980,9.05838192417312e-06,160570
1981,9.96942634401421e-06,173836
1982,1.10395666297336e-05,193268
1983,1.19841117509623e-05,217594
1984,1.26874144947513e-05,236610
1985,1.31559842121273e-05,252575
1986,1.33457728484895e-05,256529
1987,1.33773638911602e-05,258951
1988,1.31529674547437e-05,258700
1989,1.27238062646029e-05,262063
1990,1.2348158804798e-05,262729
1991,1.22955336913882e-05,252402
1992,1.24397935183294e-05,266095
1993,1.24491148158411e-05,266086
1994,1.264553467958e-05,273904
1995,1.29143082858718e-05,288836
1996,1.31839861532106e-05,291225
1997,1.33856267154897e-05,292854
1998,1.33781708565753e-05,298003
1999,1.32758975926858e-05,299708
2000,1.32189214078997e-05,326906
2001,1.31729062989702e-05,324343
2002,1.2994803126633e-05,340849
2003,1.25689872772585e-05,344318
2004,1.21615500948532e-05,341136
2005,1.16409983945687e-05,308405
2006,1.11980339454476e-05,308754
2007,1.09138595040089e-05,307556
2008,1.06737617053503e-05,305447
2009,1.05004196119093e-05,290047
2010,1.04133130410641e-05,275833
2011,1.0306128306833e-05,276911
2012,1.02216559574637e-05,350263
2013,1.01867107308148e-05,353774
2014,1.01227394598677e-05,309978
