"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,2.86632914229098e-09,0
1822,2.86632914229098e-09,0
1823,2.86632914229098e-09,0
1824,2.86632914229098e-09,0
1825,2.86632914229098e-09,0
1826,2.86632914229098e-09,0
1827,2.86632914229098e-09,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,1.90376083151835e-09,0
1837,1.90376083151835e-09,0
1838,3.49182460723796e-09,0
1839,3.49182460723796e-09,0
1840,3.49182460723796e-09,0
1841,3.49182460723796e-09,0
1842,3.49182460723796e-09,0
1843,1.58806377571961e-09,0
1844,1.58806377571961e-09,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,4.17819683613223e-09,0
1862,4.17819683613223e-09,0
1863,4.17819683613223e-09,0
1864,4.17819683613223e-09,0
1865,4.17819683613223e-09,0
1866,5.27561207418005e-09,1
1867,6.26531880344926e-09,1
1868,2.08712196731702e-09,0
1869,2.08712196731702e-09,0
1870,2.08712196731702e-09,0
1871,2.08712196731702e-09,0
1872,2.08712196731702e-09,0
1873,9.89706729269204e-10,0
1874,0,0
1875,1.25753147577663e-09,0
1876,1.25753147577663e-09,0
1877,2.20246335455191e-09,0
1878,2.20246335455191e-09,0
1879,2.20246335455191e-09,0
1880,2.20246335455191e-09,0
1881,2.20246335455191e-09,0
1882,9.44931878775281e-10,0
1883,9.44931878775281e-10,0
1884,0,0
1885,0,0
1886,7.03055772329922e-10,0
1887,7.03055772329922e-10,0
1888,1.32960417279345e-09,0
1889,1.32960417279345e-09,0
1890,1.84678745312234e-09,0
1891,1.84678745312234e-09,0
1892,2.26657841701743e-09,1
1893,1.56352264468751e-09,0
1894,1.56352264468751e-09,0
1895,9.36974244223978e-10,0
1896,9.36974244223978e-10,0
1897,4.1979096389509e-10,0
1898,4.1979096389509e-10,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,4.28017145535721e-10,0
1906,4.28017145535721e-10,0
1907,7.8074978228569e-10,0
1908,7.8074978228569e-10,0
1909,2.46076375149633e-09,1
1910,2.46076375149633e-09,1
1911,2.46076375149633e-09,1
1912,2.49172803025642e-09,1
1913,4.72029101520174e-09,1
1914,4.36755837845177e-09,1
1915,4.36755837845177e-09,1
1916,2.68754440924113e-09,1
1917,2.68754440924113e-09,1
1918,2.68754440924113e-09,1
1919,2.62527488636977e-09,1
1920,3.96711901424445e-10,0
1921,1.91822751333908e-09,1
