"Year","Freq","Count"
1800,2.76387490671937e-09,1
1801,2.86117654013651e-09,1
1802,3.39727631211891e-09,1
1803,3.26295108392977e-09,1
1804,3.00110504701325e-09,1
1805,3.52046005046093e-09,1
1806,3.43679066158334e-09,1
1807,3.02512675227311e-09,1
1808,2.7961495182741e-09,2
1809,2.28974555189459e-09,1
1810,2.15668324469017e-09,1
1811,3.49229340684027e-09,2
1812,2.97293840339259e-09,2
1813,2.64981760343476e-09,2
1814,2.85877573994294e-09,2
1815,2.62341253482694e-09,2
1816,2.45173563990469e-09,2
1817,2.23379798785268e-09,2
1818,7.72145141476293e-10,1
1819,1.07274005551566e-09,1
1820,8.78760651547493e-10,1
1821,1.05546527866857e-09,1
1822,1.18023418022822e-09,1
1823,1.55191253498848e-09,1
1824,2.08839260170838e-09,2
1825,1.90935773541107e-09,2
1826,1.96425755026399e-09,2
1827,2.2779693686914e-09,2
1828,2.33362384971514e-09,3
1829,2.84132345429455e-09,3
1830,4.47147686338007e-09,6
1831,4.21368077731442e-09,5
1832,4.29883023622679e-09,9
1833,4.10829203196477e-09,6
1834,3.79458021353735e-09,6
1835,4.61001395787467e-09,8
1836,4.20272899021817e-09,7
1837,2.16560731252408e-09,4
1838,2.9554836831837e-09,5
1839,3.02189709763415e-09,6
1840,3.15928443723428e-09,6
1841,3.43919492091465e-09,6
1842,2.97304462794555e-09,6
1843,3.27245728134632e-09,6
1844,3.25114017453641e-09,7
1845,2.98344497519563e-09,7
1846,2.96232310110461e-09,6
1847,2.96300654250332e-09,6
1848,2.90184675891655e-09,6
1849,2.21872514408591e-09,5
1850,1.93147849698277e-09,5
1851,2.35505592804941e-09,6
1852,1.95868334250195e-09,5
1853,2.35909508594645e-09,7
1854,2.35907895202685e-09,7
1855,2.82285094109293e-09,8
1856,3.31175749918826e-09,10
1857,3.45948173679262e-09,10
1858,2.90233859168154e-09,8
1859,2.55877541377458e-09,7
1860,2.08891788390707e-09,6
1861,2.52023359721092e-09,6
1862,2.00486572185124e-09,5
1863,1.7903830997122e-09,4
1864,2.01754589622207e-09,5
1865,2.28290520217936e-09,6
1866,2.48741353308419e-09,7
1867,3.89564168225474e-09,12
1868,6.1636982184865e-09,20
1869,6.3132304899722e-09,20
1870,6.10027331426899e-09,20
1871,5.77206916390389e-09,18
1872,6.08003386526335e-09,22
1873,6.32170994124032e-09,21
1874,5.36911587412092e-09,19
1875,3.12891797392213e-09,11
1876,3.15721875230958e-09,12
1877,3.33778962802178e-09,12
1878,3.59803758216109e-09,13
1879,3.61824841516827e-09,13
1880,3.47288813579943e-09,14
1881,3.36661159267797e-09,13
1882,3.4146655146307e-09,14
1883,3.77637547819911e-09,16
1884,4.58627323023692e-09,21
1885,4.50636526110643e-09,20
1886,4.96119784540053e-09,22
1887,5.3731954560313e-09,25
1888,5.66491659533977e-09,28
1889,5.32575330463343e-09,27
1890,4.92260375914036e-09,25
1891,4.22408018682255e-09,22
1892,4.00689517874943e-09,22
1893,3.25832947726098e-09,18
1894,2.74967962486463e-09,15
1895,2.34400264079567e-09,15
1896,3.1907954770435e-09,20
1897,3.40739635713254e-09,22
1898,3.50568866793109e-09,24
1899,3.62277939393506e-09,27
1900,3.59403674281873e-09,28
1901,3.68880588574871e-09,29
1902,3.66790162330068e-09,29
1903,2.66881552373517e-09,21
1904,2.29135002142801e-09,19
1905,2.17432582752134e-09,18
1906,2.10483243235598e-09,19
1907,2.14142700893134e-09,19
1908,2.13839242246034e-09,20
1909,2.27633002031213e-09,21
1910,2.1228338055655e-09,21
1911,2.329598441732e-09,24
1912,2.44958962737034e-09,25
1913,2.51225285812546e-09,26
1914,2.54077846064048e-09,26
1915,2.50271708912564e-09,25
1916,2.7064132433157e-09,27
1917,3.29527623442262e-09,32
1918,3.29095367623822e-09,29
1919,3.52432529985133e-09,33
1920,3.93253191221283e-09,40
1921,4.80515181711898e-09,48
1922,4.84864680251012e-09,49
1923,4.72258929581518e-09,29
1924,4.8476146489808e-09,25
1925,5.05461313082822e-09,30
1926,5.06139508677743e-09,29
1927,5.70551995926483e-09,33
1928,5.95652776111003e-09,37
1929,6.02411687795306e-09,37
1930,6.07759585118701e-09,38
1931,6.01164413091152e-09,37
1932,6.19246054037578e-09,35
1933,6.01567004543391e-09,31
1934,5.39226612964302e-09,29
1935,4.17690483391274e-09,25
1936,4.20766977212875e-09,26
1937,3.86510367362496e-09,24
1938,3.96547490875778e-09,25
1939,3.53126257996677e-09,24
1940,3.31844149381588e-09,21
1941,3.0284802007444e-09,20
1942,3.08293109889985e-09,18
1943,3.18009409480283e-09,18
1944,3.49033803446831e-09,18
1945,2.87705422977577e-09,16
1946,3.04167284613323e-09,20
1947,3.45682945363761e-09,26
1948,3.18271520646388e-09,24
1949,3.12190494091068e-09,27
1950,2.85175799244871e-09,25
1951,3.36557638207026e-09,28
1952,3.47304832214774e-09,29
1953,3.38624308652914e-09,28
1954,2.76161764587287e-09,24
1955,2.81470841178339e-09,26
1956,2.83251423605873e-09,26
1957,3.61534760561539e-09,35
1958,3.36292105274083e-09,33
1959,3.33913230498346e-09,35
1960,3.206111427932e-09,36
1961,3.35181070200617e-09,40
1962,3.56610424919904e-09,45
1963,3.845020378479e-09,52
1964,3.45803903071897e-09,44
1965,3.34555261173002e-09,47
1966,3.55069447851733e-09,51
1967,3.80247570434612e-09,60
1968,3.82552781615285e-09,62
1969,3.98217926491005e-09,64
1970,3.94723302555538e-09,63
1971,3.773942718848e-09,61
1972,4.01713791695465e-09,64
1973,3.96451842089267e-09,64
1974,3.98250911712702e-09,63
1975,4.06466634160298e-09,67
1976,4.08535441983763e-09,70
1977,4.13931476991472e-09,72
1978,4.35534713601788e-09,76
1979,4.08498149344548e-09,72
1980,4.31647424103557e-09,77
1981,5.02394931658252e-09,88
1982,5.68154162060495e-09,99
1983,6.08047865183203e-09,110
1984,6.23231326615792e-09,116
1985,6.20055082080549e-09,119
1986,6.48542797640087e-09,125
1987,6.19222913817679e-09,120
1988,5.40120871242841e-09,106
1989,4.814993327662e-09,99
1990,4.35486146796449e-09,93
1991,4.1944537768663e-09,86
1992,3.99624558791722e-09,85
1993,3.74086770340327e-09,80
1994,3.92287363555423e-09,85
1995,4.04880668228302e-09,91
1996,4.43079151691918e-09,98
1997,4.22763925603253e-09,92
1998,7.43217402849169e-09,166
1999,7.67347217364711e-09,173
2000,7.757721976218e-09,192
2001,8.19618352205866e-09,202
2002,8.43504907439642e-09,221
2003,8.17232250572128e-09,224
2004,8.38027781197015e-09,235
2005,5.25653652252592e-09,139
2006,4.82262313516208e-09,133
2007,4.55259073396069e-09,128
2008,3.91234589566406e-09,112
2009,3.57000597734596e-09,99
2010,3.43697584381004e-09,91
2011,3.10024522026664e-09,83
2012,2.8373127666792e-09,97
2013,2.70489774427991e-09,94
2014,2.45583338090042e-09,75
2015,2.33207149325747e-09,62
2016,2.52448941810503e-09,67
2017,2.34821112323388e-09,64
2018,2.43439134683943e-09,64
2019,2.40754613814453e-09,55
