"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,8.06070448484369e-10,0
1938,8.06070448484369e-10,0
1939,8.06070448484369e-10,0
1940,8.06070448484369e-10,0
1941,8.06070448484369e-10,0
1942,8.06070448484369e-10,0
1943,8.06070448484369e-10,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,3.05816039158913e-10,0
1968,3.05816039158913e-10,0
1969,3.05816039158913e-10,0
1970,3.05816039158913e-10,0
1971,3.05816039158913e-10,0
1972,3.05816039158913e-10,0
1973,6.0726106682856e-10,0
1974,3.01445027669648e-10,0
1975,3.01445027669648e-10,0
1976,3.01445027669648e-10,0
1977,3.01445027669648e-10,0
1978,3.01445027669648e-10,0
1979,3.01445027669648e-10,0
1980,4.44637818627517e-10,0
1981,4.44637818627517e-10,0
1982,6.40932449970575e-10,0
1983,6.40932449970575e-10,0
1984,6.40932449970575e-10,0
1985,6.40932449970575e-10,0
1986,1.09060297301003e-09,1
1987,7.81921146878314e-10,1
1988,7.81921146878314e-10,1
1989,7.16838247491073e-10,1
1990,1.09589696841082e-09,1
1991,1.21512469134341e-09,1
1992,1.33468939075446e-09,1
1993,8.85018867715002e-10,1
1994,7.49062875219205e-10,1
1995,7.49062875219205e-10,1
1996,8.05207606940123e-10,1
1997,4.26148886020375e-10,1
1998,4.34459634934825e-10,1
1999,4.32095771861287e-10,1
2000,6.4158710090721e-10,1
2001,7.85488182434132e-10,2
2002,8.36201592096281e-10,2
2003,6.94349784018706e-10,2
2004,6.94349784018706e-10,2
2005,6.0092928252534e-10,2
2006,5.44243075209902e-10,2
2007,3.6334447553862e-10,1
2008,2.65221628389537e-10,1
2009,2.5147394285988e-10,1
2010,2.4253755948056e-10,1
2011,2.73631167327767e-10,2
2012,2.77777247632243e-10,2
2013,2.38415047624864e-10,2
2014,2.44769855178057e-10,2
2015,2.35799050919892e-10,2
2016,2.17583639597737e-10,1
2017,2.11184595274213e-10,2
2018,2.09890463342965e-10,2
2019,1.9540099052695e-10,1
