"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,6.99033450172034e-11,0
1878,6.99033450172034e-11,0
1879,6.99033450172034e-11,0
1880,6.99033450172034e-11,0
1881,6.99033450172034e-11,0
1882,6.99033450172034e-11,0
1883,6.99033450172034e-11,0
1884,0,0
1885,3.48279310153592e-10,2
1886,3.48279310153592e-10,2
1887,3.48279310153592e-10,2
1888,3.48279310153592e-10,2
1889,3.48279310153592e-10,2
1890,3.48279310153592e-10,2
1891,3.48279310153592e-10,2
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,1.93804258355864e-11,0
1897,1.93804258355864e-11,0
1898,1.93804258355864e-11,0
1899,1.93804258355864e-11,0
1900,1.93804258355864e-11,0
1901,1.93804258355864e-11,0
1902,1.93804258355864e-11,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,1.37244551041376e-11,0
1909,5.50674793463126e-11,1
1910,5.50674793463126e-11,1
1911,5.50674793463126e-11,1
1912,5.50674793463126e-11,1
1913,5.50674793463126e-11,1
1914,5.50674793463126e-11,1
1915,4.1343024242175e-11,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,2.24424169724204e-11,0
1938,2.24424169724204e-11,0
1939,4.73364423056058e-11,0
1940,4.73364423056058e-11,0
1941,4.73364423056058e-11,0
1942,4.73364423056058e-11,0
1943,4.73364423056058e-11,0
1944,2.48940253331855e-11,0
1945,2.48940253331855e-11,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,6.27357947337513e-11,1
1953,6.27357947337513e-11,1
1954,6.27357947337513e-11,1
1955,7.72300457712356e-11,1
1956,7.72300457712356e-11,1
1957,7.72300457712356e-11,1
1958,7.72300457712356e-11,1
1959,1.44942510374843e-11,0
1960,2.50821119826153e-11,0
1961,2.50821119826153e-11,0
1962,1.05878609451311e-11,0
1963,7.00110019561225e-11,1
1964,7.00110019561225e-11,1
1965,7.00110019561225e-11,1
1966,9.63902162452536e-11,1
1967,1.56559786960006e-10,2
1968,1.74272869944504e-10,3
1969,2.01203526062343e-10,3
1970,2.11936456479782e-10,3
1971,2.20887356025149e-10,4
1972,3.07841803635713e-10,5
1973,2.89716686157388e-10,5
1974,3.41171812031796e-10,5
1975,4.45101226709266e-10,7
1976,6.9140924037679e-10,12
1977,7.57702148048077e-10,13
1978,9.60909384799852e-10,17
1979,1.49166017732183e-09,26
1980,2.69027739916677e-09,48
1981,3.99483723828983e-09,70
1982,4.8663350675493e-09,85
1983,5.96256009100357e-09,108
1984,7.28887913369257e-09,136
1985,8.14736410331299e-09,156
1986,9.06335809825306e-09,174
1987,9.12710560701286e-09,177
1988,8.71925038321247e-09,171
1989,8.80373590793943e-09,181
1990,9.2184720264034e-09,196
1991,9.62794547758129e-09,198
1992,1.01924253511394e-08,218
1993,1.06491060166453e-08,228
1994,1.23764300871291e-08,268
1995,1.43403033892042e-08,321
1996,1.61553138981553e-08,357
1997,1.85129320821677e-08,405
1998,2.1147364928642e-08,471
1999,2.27824578195868e-08,514
2000,2.42813900915414e-08,600
2001,2.47619679993673e-08,610
2002,2.55425337453351e-08,670
2003,2.63070167222577e-08,721
2004,2.53848951110461e-08,712
2005,2.28557209358945e-08,606
2006,2.12169684871739e-08,585
2007,1.87420497569011e-08,528
2008,1.60995195493515e-08,461
2009,1.30497361879827e-08,360
2010,1.01417998756015e-08,269
2011,7.42812477747783e-09,200
2012,6.31568157989846e-09,216
2013,5.738369602905e-09,199
2014,5.41501082664185e-09,166
2015,5.16010204406773e-09,137
2016,4.92217407210045e-09,131
2017,4.86848955478606e-09,133
2018,5.13375766481028e-09,134
2019,4.90334742427045e-09,111
