"Year","Freq","Count"
1800,3.75091140369932e-08,0
1801,3.00072912295946e-08,0
1802,2.50060760246621e-08,0
1803,2.14337794497104e-08,0
1804,6.09228538093833e-08,0
1805,6.09228538093833e-08,0
1806,7.19204941950531e-08,1
1807,5.04867147453427e-08,0
1808,5.04867147453427e-08,0
1809,5.48118619698406e-08,1
1810,7.02243439271959e-08,2
1811,3.07352695675231e-08,0
1812,3.9508301138572e-08,1
1813,2.85106607529022e-08,1
1814,2.85106607529022e-08,0
1815,2.85106607529022e-08,0
1816,2.41855135284043e-08,0
1817,1.34076871509998e-08,0
1818,1.86877429086962e-08,0
1819,1.33341591736423e-08,0
1820,1.33341591736423e-08,0
1821,1.33341591736423e-08,0
1822,1.33341591736423e-08,1
1823,1.33341591736423e-08,0
1824,8.69950359369146e-09,0
1825,3.41944783599502e-09,0
1826,0,0
1827,3.05525712665907e-09,0
1828,3.05525712665907e-09,0
1829,3.05525712665907e-09,0
1830,3.05525712665907e-09,0
1831,1.03410725062401e-08,0
1832,1.03410725062401e-08,1
1833,1.23221741381891e-08,1
1834,1.12739417801322e-08,1
1835,1.8723816402095e-08,1
1836,2.82426206865694e-08,2
1837,2.82426206865694e-08,2
1838,2.09568053069883e-08,1
1839,2.24220173856387e-08,2
1840,3.01432022199931e-08,3
1841,5.2480047609192e-08,5
1842,4.63789795140152e-08,5
1843,3.68601752295409e-08,3
1844,3.84629778186049e-08,3
1845,3.84629778186049e-08,4
1846,5.96361831028958e-08,5
1847,5.73199015870988e-08,5
1848,3.29760314292977e-08,3
1849,5.06190679213806e-08,4
1850,5.70966840791292e-08,6
1851,8.29443074223946e-08,6
1852,9.54977298509415e-08,9
1853,7.92593536199807e-08,7
1854,8.27713872045674e-08,8
1855,1.02368467480574e-07,9
1856,8.62188659514881e-08,10
1857,7.97412497937395e-08,8
1858,5.41176041122883e-08,5
1859,4.34286019209854e-08,4
1860,4.04249629326614e-08,4
1861,3.92760498410131e-08,3
1862,3.70736558912605e-08,3
1863,5.18920017432224e-08,4
1864,5.28803036279969e-08,5
1865,6.8930007162444e-08,8
1866,8.79164761943433e-08,12
1867,9.24377277579578e-08,13
1868,8.92443479116878e-08,14
1869,9.27001341720159e-08,12
1870,1.28576258148375e-07,18
1871,1.62927769624994e-07,25
1872,1.65803604052733e-07,20
1873,1.481391386068e-07,18
1874,1.52425351768975e-07,18
1875,1.82338019730618e-07,25
1876,1.78880311705955e-07,24
1877,1.41407441946382e-07,18
1878,1.32505680840365e-07,15
1879,1.34644590841861e-07,18
1880,1.53023993476609e-07,23
1881,1.49447735456728e-07,26
1882,1.2174441569154e-07,17
1883,1.231228486149e-07,26
1884,1.45104762047258e-07,24
1885,1.30286076847698e-07,23
1886,1.20049852408195e-07,20
1887,1.14462861221045e-07,21
1888,1.32776833781735e-07,26
1889,1.44665341483829e-07,29
1890,1.42961192471448e-07,32
1891,1.48137853602951e-07,34
1892,1.52050751798884e-07,40
1893,2.10033190839454e-07,58
1894,2.10218653659159e-07,52
1895,2.0327373232273e-07,69
1896,2.14896165624217e-07,71
1897,2.17631785989373e-07,71
1898,1.96114079008071e-07,64
1899,1.94660268348912e-07,110
1900,1.44392720002884e-07,73
1901,1.56286351733164e-07,68
1902,1.57035208455828e-07,54
1903,1.53462814900251e-07,55
1904,1.91277513447322e-07,66
1905,1.99105987728844e-07,61
1906,2.0643761903091e-07,77
1907,2.18166395203413e-07,72
1908,2.18335831477948e-07,72
1909,2.33710614575397e-07,84
1910,2.45685209985881e-07,99
1911,2.06590287385059e-07,70
1912,2.03678026317838e-07,69
1913,2.10682118608117e-07,62
1914,2.01781997586993e-07,57
1915,1.93839729664294e-07,60
1916,1.84937081394919e-07,47
1917,1.91689561874447e-07,65
1918,2.10928826468607e-07,44
1919,2.05333635110756e-07,55
1920,2.04839807655637e-07,64
1921,1.96095656347848e-07,54
