"Year","Freq","Count"
1800,2.53284876405857e-08,6
1801,2.15629433419906e-08,5
1802,2.05015258103458e-08,5
1803,1.93277362368706e-08,7
1804,2.25082062194864e-08,7
1805,2.42073453980497e-08,8
1806,2.2846009338297e-08,9
1807,1.54360590975955e-08,7
1808,1.52134678188531e-08,8
1809,1.39474578711837e-08,8
1810,1.52435851243281e-08,10
1811,1.08311122927672e-08,7
1812,9.16820105548563e-09,7
1813,6.51812936958152e-09,4
1814,6.51812936958152e-09,4
1815,7.16402473851677e-09,4
1816,6.25940066445452e-09,5
1817,4.40770645379221e-09,3
1818,6.98253118816946e-09,5
1819,6.54047717572683e-09,5
1820,7.2308793555972e-09,6
1821,7.74509638169972e-09,6
1822,8.01510718113312e-09,8
1823,8.57695827059603e-09,8
1824,8.18224550019104e-09,9
1825,5.89835372607642e-09,7
1826,5.7393576716588e-09,6
1827,7.57381184752453e-09,8
1828,7.94222929486768e-09,9
1829,1.01853187312833e-08,12
1830,1.06718175883559e-08,15
1831,1.12605174074076e-08,15
1832,1.18632078605074e-08,24
1833,1.18480644660325e-08,18
1834,9.46146948090286e-09,14
1835,9.50045242475994e-09,16
1836,7.51189670784263e-09,13
1837,7.70260935193231e-09,13
1838,7.07244682659639e-09,12
1839,7.52880991677125e-09,14
1840,9.74814280883609e-09,18
1841,1.52940221201777e-08,29
1842,1.55887135025853e-08,29
1843,1.45646528250585e-08,27
1844,1.39266359476333e-08,28
1845,1.45648926253017e-08,34
1846,1.46375327493762e-08,32
1847,1.28711448324889e-08,27
1848,9.34459482808998e-09,20
1849,1.2212491085866e-08,27
1850,1.31164088677606e-08,31
1851,1.51617930234581e-08,39
1852,1.56310570717125e-08,41
1853,1.542873944081e-08,46
1854,1.71760489997563e-08,53
1855,1.67145417229175e-08,47
1856,1.62086506914706e-08,48
1857,1.57518881271912e-08,44
1858,1.44303391934132e-08,39
1859,1.39609369461827e-08,40
1860,1.33087786584924e-08,39
1861,1.51065978496298e-08,37
1862,1.66153495129162e-08,39
1863,1.55671429754748e-08,36
1864,1.73287017473418e-08,44
1865,1.87016404545088e-08,48
1866,2.03085586323949e-08,61
1867,2.13458378076467e-08,65
1868,2.38506639834871e-08,77
1869,2.40145792735585e-08,77
1870,2.83267785696127e-08,93
1871,3.04593316243932e-08,97
1872,3.43956898875484e-08,124
1873,3.62634898181431e-08,122
1874,3.94748071492439e-08,138
1875,3.6967672419262e-08,128
1876,3.7506465021066e-08,137
1877,3.67107975011002e-08,131
1878,3.58350194200925e-08,127
1879,3.47172242937915e-08,129
1880,3.78654810046746e-08,154
1881,4.04713650172171e-08,159
1882,4.16023381022423e-08,170
1883,4.54672273204298e-08,197
1884,4.94586764797157e-08,223
1885,5.29770032326698e-08,233
1886,5.88823078589191e-08,261
1887,5.96731933667969e-08,278
1888,6.09897634538749e-08,299
1889,6.67223595025262e-08,344
1890,7.11255402907618e-08,366
1891,7.37363463065854e-08,389
1892,7.59673306879475e-08,413
1893,8.12422931230548e-08,457
1894,8.6256507095658e-08,479
1895,8.5792246608461e-08,543
1896,8.92784919722825e-08,551
1897,9.30149458804636e-08,599
1898,9.24696625698956e-08,621
1899,9.70281604189311e-08,712
1900,9.42097343549696e-08,721
1901,9.28215190820758e-08,732
1902,9.61478318945679e-08,751
1903,9.31792630038635e-08,734
1904,9.14842659167319e-08,759
1905,9.13341950562315e-08,755
1906,8.91979921273973e-08,796
1907,8.70252577223063e-08,781
1908,8.80477130173394e-08,822
1909,8.73056801694741e-08,801
1910,9.14254511382876e-08,888
1911,9.06848196059938e-08,940
1912,9.18625316132753e-08,948
1913,9.35993974390418e-08,967
1914,1.02576240454003e-07,1044
1915,1.14598567873309e-07,1131
1916,1.22807897597253e-07,1222
1917,1.23352991503773e-07,1201
1918,1.2665125557833e-07,1131
1919,1.32186354877868e-07,1250
1920,1.37286903464532e-07,1399
1921,1.336120940871e-07,1322
1922,1.24814622256711e-07,1250
1923,1.19297320530113e-07,731
1924,1.21311723079641e-07,614
1925,1.25208734206136e-07,737
1926,1.29671654588595e-07,751
1927,1.47590139760417e-07,860
1928,1.62447467890102e-07,1005
1929,1.74913445219868e-07,1086
1930,1.81559020294232e-07,1136
1931,1.85931743906005e-07,1160
1932,1.84737232114937e-07,1039
1933,1.91377759163812e-07,1000
1934,1.71814511633934e-07,932
1935,1.6974980874908e-07,1021
1936,1.78052352417524e-07,1093
1937,1.90803519587287e-07,1208
1938,2.06668441090788e-07,1323
1939,2.2132612143011e-07,1504
1940,2.41930562821275e-07,1534
1941,2.83762904031347e-07,1856
1942,2.90926295181444e-07,1663
1943,2.88223617734522e-07,1590
1944,2.93432471463819e-07,1514
1945,3.01353365626613e-07,1722
1946,3.61381792681113e-07,2397
1947,3.83593335000804e-07,2877
1948,3.98173075336469e-07,3018
1949,4.31359963367787e-07,3709
1950,4.65199143714504e-07,3998
1951,5.00713491240796e-07,4167
1952,5.25079398120251e-07,4394
1953,5.00052844084767e-07,4205
1954,5.01237146011135e-07,4310
1955,5.00991057908859e-07,4545
1956,4.91769891855906e-07,4460
1957,4.97026204320556e-07,4872
1958,4.80050629343103e-07,4712
1959,4.62809820943124e-07,4889
1960,4.60775530746511e-07,5144
1961,4.44476383064187e-07,5313
1962,4.27564173272848e-07,5386
1963,4.20650544999798e-07,5652
1964,3.98305349845275e-07,5034
1965,3.95794472244201e-07,5520
1966,3.97124074830962e-07,5705
1967,3.80578399017395e-07,6021
