"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,2.88149440815947e-09,1
1892,3.30128537205456e-09,1
1893,3.30128537205456e-09,1
1894,3.30128537205456e-09,1
1895,3.30128537205456e-09,1
1896,9.35304180136955e-09,3
1897,9.35304180136955e-09,3
1898,6.80040661877561e-09,2
1899,6.38061565488053e-09,4
1900,6.38061565488053e-09,3
1901,6.79323226242851e-09,3
1902,6.79323226242851e-09,2
1903,7.41475833113522e-10,0
1904,7.41475833113522e-10,0
1905,2.12468518969087e-09,1
1906,2.12468518969087e-09,1
1907,2.12468518969087e-09,1
1908,1.71206858214288e-09,1
1909,1.71206858214288e-09,1
1910,2.19633330570243e-09,1
1911,2.69693990949195e-09,1
1912,9.84871327349067e-10,0
1913,9.84871327349067e-10,0
1914,9.84871327349067e-10,0
1915,9.84871327349067e-10,0
1916,9.84871327349067e-10,0
1917,5.00606603789525e-10,0
1918,0,0
1919,2.77698321480914e-09,1
1920,3.3839473445596e-09,1
1921,3.3839473445596e-09,1
1922,3.3839473445596e-09,1
1923,3.3839473445596e-09,1
1924,3.3839473445596e-09,1
1925,3.3839473445596e-09,1
1926,1.19224801459999e-09,0
1927,5.85283884849527e-10,0
1928,5.85283884849527e-10,0
1929,5.85283884849527e-10,0
1930,5.85283884849527e-10,0
1931,5.85283884849527e-10,0
1932,2.63953436885345e-09,1
1933,2.05425048400392e-09,0
1934,2.05425048400392e-09,0
1935,2.05425048400392e-09,0
1936,3.6954358303579e-09,1
1937,3.6954358303579e-09,1
1938,3.6954358303579e-09,1
1939,1.64118534635398e-09,0
1940,1.64118534635398e-09,0
1941,1.64118534635398e-09,0
1942,1.64118534635398e-09,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,4.73841093346599e-10,0
1953,4.73841093346599e-10,0
1954,4.73841093346599e-10,0
1955,4.73841093346599e-10,0
1956,4.73841093346599e-10,0
1957,4.73841093346599e-10,0
1958,4.73841093346599e-10,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,1.8936421954306e-09,1
1964,1.8936421954306e-09,1
1965,2.8235992591671e-09,1
1966,3.77469788759299e-09,1
1967,3.77469788759299e-09,2
1968,4.83188828630838e-09,2
1969,4.83188828630838e-09,2
1970,2.93824609087778e-09,1
1971,2.93824609087778e-09,1
1972,2.36734711199306e-09,1
1973,1.41624848356717e-09,1
1974,1.72699162906805e-09,1
1975,1.26465802909235e-09,1
1976,1.54898763656977e-09,1
1977,1.81394445495999e-09,1
1978,2.54925410939474e-09,1
1979,2.89300951448825e-09,1
1980,3.33764733311576e-09,2
1981,3.02690418761488e-09,2
1982,3.02093125118371e-09,2
1983,2.91529881188016e-09,2
1984,3.31348581905644e-09,2
1985,3.70802932803116e-09,3
1986,3.90455688416478e-09,3
1987,3.73183105052886e-09,3
1988,3.9998555737394e-09,4
1989,3.80460689936817e-09,4
1990,3.87861553985402e-09,4
1991,3.93083802016240e-09,4
1992,3.39880836173835e-09,4
1993,5.19195786363724e-09,6
1994,6.26447736541889e-09,8
1995,6.94248250951038e-09,8
1996,7.11091669674297e-09,9
1997,7.25112823753347e-09,9
1998,6.98214657519307e-09,9
1999,6.8531264155577e-09,10
2000,5.05097401999015e-09,11
2001,4.37808091367588e-09,10
2002,4.29417920270022e-09,10
2003,4.14165171999262e-09,11
2004,3.99078941321867e-09,12
2005,4.12441027362677e-09,12
2006,4.20023856964999e-09,13
2007,4.05331140080583e-09,14
2008,4.22867036624958e-09,18
2009,4.16130545894638e-09,20
2010,4.31857175417097e-09,22
2011,4.66729524869639e-09,29
2012,4.90996684579922e-09,38
2013,5.14797506210942e-09,40
2014,5.10351481710001e-09,47
2015,5.23201437729881e-09,39
2016,4.94350976027696e-09,33
2017,5.10615183468843e-09,42
2018,5.30029224954376e-09,41
2019,5.18568038510026e-09,40
