"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,3.24095789887886e-11,0
1883,3.24095789887886e-11,0
1884,3.24095789887886e-11,0
1885,3.24095789887886e-11,0
1886,5.99981949043839e-11,0
1887,5.99981949043839e-11,0
1888,8.70010373267758e-11,0
1889,5.45914583379873e-11,0
1890,5.45914583379873e-11,0
1891,3.87457098151499e-10,2
1892,4.09928680286268e-10,2
1893,3.82340064370672e-10,2
1894,3.82340064370672e-10,2
1895,5.67049298389704e-10,4
1896,1.12908162383122e-09,7
1897,1.12908162383122e-09,7
1898,8.14254152199061e-10,5
1899,7.91782570064292e-10,6
1900,7.91782570064292e-10,6
1901,8.26055943885835e-10,7
1902,7.69308480015012e-10,6
1903,3.02911019679973e-10,2
1904,3.02911019679973e-10,3
1905,3.45860300716388e-10,3
1906,3.45860300716388e-10,3
1907,3.45860300716388e-10,3
1908,3.11586926894845e-10,3
1909,1.56622314324244e-10,1
1910,7.47613389846207e-11,1
1911,8.87392708917975e-11,1
1912,2.77518216740269e-11,0
1913,4.20497406735823e-11,0
1914,4.20497406735823e-11,0
1915,4.20497406735823e-11,0
1916,4.20497406735823e-11,0
1917,2.82758509067322e-11,0
1918,1.42979189995554e-11,0
1919,2.13178370789269e-10,2
1920,2.45283761555827e-10,3
1921,2.45283761555827e-10,2
1922,2.45283761555827e-10,2
1923,2.69837206150798e-10,2
1924,2.69837206150798e-10,1
1925,2.69837206150798e-10,2
1926,1.39725649701233e-10,1
1927,9.33223399351186e-11,1
1928,1.16131824395056e-10,1
1929,1.16131824395056e-10,1
1930,9.15783798000851e-11,1
1931,9.15783798000851e-11,1
1932,1.6250811807339e-10,1
1933,9.3739222733242e-11,0
1934,1.16207095533584e-10,1
1935,1.15619944174306e-10,1
1936,2.20307107874034e-10,1
1937,2.20307107874034e-10,1
1938,2.20307107874034e-10,1
1939,1.49377369600729e-10,1
1940,1.49377369600729e-10,1
1941,2.09645203974596e-10,1
1942,1.87422870873937e-10,1
1943,8.27357071742085e-11,0
1944,8.27357071742085e-11,0
1945,8.27357071742085e-11,0
1946,1.32380019644631e-10,1
1947,1.48936995672929e-10,1
1948,6.62012884987208e-11,1
1949,6.62012884987208e-11,1
1950,6.62012884987208e-11,1
1951,6.62012884987208e-11,1
1952,8.18852366865233e-11,1
1953,1.10687110271052e-10,1
1954,1.23162044055444e-10,1
1955,1.23162044055444e-10,1
1956,1.3663005052741e-10,1
1957,1.3663005052741e-10,1
1958,1.72335473272841e-10,2
1959,1.67945464083338e-10,2
1960,1.42438581762772e-10,2
1961,1.35917809745185e-10,2
1962,1.35917809745185e-10,2
1963,1.71969084805657e-10,2
1964,1.89955704935471e-10,2
1965,2.15955851415714e-10,3
1966,2.39834198136256e-10,3
1967,2.22273610231813e-10,4
1968,2.26332095922187e-10,4
1969,2.26332095922187e-10,4
1970,1.76812814389748e-10,3
1971,1.67777093805301e-10,3
1972,1.32157860052321e-10,2
1973,1.2174786575717e-10,2
1974,1.0266415693762e-10,2
1975,1.0853253216782e-10,2
1976,1.32641826094166e-10,2
1977,1.40668236979304e-10,2
1978,1.72516978877039e-10,3
1979,1.95196848763933e-10,3
1980,1.86108211183303e-10,3
1981,1.92702600900128e-10,3
1982,1.97322078319763e-10,3
1983,2.02822809142982e-10,4
1984,2.31549364007996e-10,4
1985,2.99260843288669e-10,6
1986,2.98854525452149e-10,6
1987,3.2999314392157e-10,6
1988,3.20966565825476e-10,6
1989,3.30473167680407e-10,7
1990,3.34150452347653e-10,7
1991,3.56520903077584e-10,7
1992,3.30720279535195e-10,7
1993,4.94925230758765e-10,11
1994,5.91181816793946e-10,13
1995,6.60351705856448e-10,15
1996,6.76808026289777e-10,15
1997,6.9529344186898e-10,15
1998,6.88170112165106e-10,15
1999,6.92231514173461e-10,16
2000,5.9390010766412e-10,15
2001,5.31962930055181e-10,13
2002,5.6166984951922e-10,15
2003,6.0181219928092e-10,17
2004,6.10598024522854e-10,17
2005,6.82812774575682e-10,18
2006,7.45291471395047e-10,21
2007,8.02807193738581e-10,23
2008,9.91520579926178e-10,29
2009,1.11110700005769e-09,31
2010,1.22901465195367e-09,33
2011,1.41450314160098e-09,38
2012,1.57864059919482e-09,54
2013,1.67553704244483e-09,58
2014,1.81553286690165e-09,56
2015,2.05617091607126e-09,55
2016,2.0491503414734e-09,55
2017,2.13275993162417e-09,59
2018,2.21484606210964e-09,58
2019,2.26394106239702e-09,52
