"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,4.1979096389509e-10,0
1893,4.1979096389509e-10,0
1894,4.1979096389509e-10,0
1895,4.1979096389509e-10,0
1896,4.1979096389509e-10,0
1897,4.1979096389509e-10,0
1898,4.1979096389509e-10,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,1.79949807436027e-09,0
1945,1.79949807436027e-09,0
1946,3.6324770493122e-09,1
1947,3.6324770493122e-09,1
1948,4.70144393257702e-09,1
1949,4.70144393257702e-09,1
1950,4.70144393257702e-09,1
1951,2.90194585821674e-09,1
1952,2.90194585821674e-09,1
1953,2.15987913268886e-09,1
1954,2.15987913268886e-09,1
1955,3.15906995800625e-09,1
1956,3.15906995800625e-09,1
1957,3.15906995800625e-09,1
1958,5.99111718965365e-09,2
1959,5.99111718965365e-09,2
1960,6.11685102569481e-09,2
1961,6.11685102569481e-09,2
1962,4.0486933171126e-09,1
1963,4.42742176254285e-09,2
1964,4.75475287713729e-09,1
1965,1.92270564548989e-09,1
1966,1.92270564548989e-09,1
1967,7.0605956002469e-10,0
1968,3.1728373262041e-09,1
1969,3.53680595921446e-09,2
1970,3.15807751378421e-09,1
1971,2.83074639918977e-09,1
1972,2.83074639918977e-09,1
1973,2.83074639918977e-09,1
1974,2.83074639918977e-09,1
1975,3.63968633010359e-10,0
1976,0,0
1977,2.64956818390211e-10,0
1978,7.551632652536e-10,0
1979,1.22370558131024e-09,1
1980,1.66834339993776e-09,1
1981,1.66834339993776e-09,1
1982,1.66834339993776e-09,1
1983,2.0257377362855e-09,1
1984,1.76078091789529e-09,1
1985,1.43198207260196e-09,1
1986,1.41311027958478e-09,1
1987,1.37634042258432e-09,1
1988,1.37634042258432e-09,1
1989,1.63876388649596e-09,2
1990,1.28136955014822e-09,1
1991,1.51982499601339e-09,2
1992,1.47798209385438e-09,2
1993,1.02831157081492e-09,1
1994,6.20443609187861e-10,1
1995,6.20443609187861e-10,1
1996,4.51698377114594e-10,1
1997,7.79129506943223e-10,1
1998,5.4067406107805e-10,1
1999,4.21109361666997e-10,1
2000,7.35346347305718e-10,2
2001,7.83313374481358e-10,2
2002,1.03688041486194e-09,3
2003,1.07971615775122e-09,3
2004,7.52285027922588e-10,2
2005,1.09346474731962e-09,3
2006,1.12372206183066e-09,4
2007,8.0948507619194e-10,3
2008,8.07296283394139e-10,3
2009,6.09177829212295e-10,3
2010,4.7266385448465e-10,2
2011,5.03757462331857e-10,3
2012,3.15633945567408e-10,2
2013,4.12291205144553e-10,3
2014,4.29764973608471e-10,4
2015,4.02390454290469e-10,3
2016,4.03192808505283e-10,3
2017,4.7039160992283e-10,4
2018,5.20938880921307e-10,4
2019,3.83325246544608e-10,3
