"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,2.62714137745844e-09,5
1837,2.62714137745844e-09,5
1838,2.62714137745844e-09,4
1839,2.62714137745844e-09,5
1840,2.62714137745844e-09,5
1841,2.62714137745844e-09,5
1842,2.62714137745844e-09,5
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,7.94814293745917e-11,0
1875,7.94814293745917e-11,0
1876,7.94814293745917e-11,0
1877,7.94814293745917e-11,0
1878,7.94814293745917e-11,0
1879,7.94814293745917e-11,0
1880,7.94814293745917e-11,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,1.26478450728535e-10,1
1891,1.26478450728535e-10,1
1892,1.48950032863304e-10,1
1893,1.48950032863304e-10,1
1894,1.71041805718808e-10,1
1895,2.7689784393952e-10,2
1896,3.35039121446279e-10,2
1897,1.3231659676657e-09,9
1898,2.38741789234823e-09,16
1899,3.6763476152224e-09,27
1900,4.38110117232223e-09,34
1901,4.63319639003907e-09,37
1902,5.06110735067265e-09,40
1903,5.25799239069004e-09,41
1904,4.85680537057728e-09,40
1905,3.96026893818251e-09,33
1906,2.88159242499221e-09,26
1907,2.39659148082438e-09,22
1908,2.86352505199769e-09,27
1909,2.68806426324224e-09,25
1910,2.52945517705986e-09,25
1911,1.92786035548208e-09,20
1912,2.0051846928913e-09,21
1913,2.55884546091727e-09,26
1914,2.85066997784966e-09,29
1915,2.44426259391314e-09,24
1916,2.31173433570423e-09,23
1917,2.56446045351514e-09,25
1918,3.08536753289092e-09,28
1919,2.88294494229672e-09,27
1920,2.42138253495458e-09,25
1921,2.10658666304526e-09,21
1922,2.18244550606198e-09,22
1923,3.33166051096662e-09,20
1924,3.10462480327242e-09,16
1925,3.59914782104604e-09,21
1926,3.96914395398415e-09,23
1927,4.03087324233172e-09,23
1928,4.51837651817476e-09,28
1929,5.62495236500205e-09,35
1930,4.95787160532351e-09,31
1931,5.64898729381115e-09,35
1932,4.92366892495306e-09,28
1933,5.02073305946078e-09,26
1934,5.64523490652137e-09,31
