"Year","Freq","Count"
1800,0,0
1801,9.42215990562545e-08,0
1802,1.07136448453578e-07,0
1803,9.18312415316385e-08,1
1804,1.31320315891311e-07,1
1805,1.31320315891311e-07,1
1806,1.86308519849782e-07,2
1807,1.86308519849782e-07,1
1808,1.19007377666743e-07,1
1809,9.44772783181439e-08,1
1810,1.25302242232855e-07,3
1811,9.76446798972574e-08,1
1812,9.76446798972574e-08,3
1813,4.26564759387864e-08,1
1814,4.26564759387864e-08,1
1815,5.56473703941914e-08,1
1816,6.22087793341767e-08,1
1817,5.45570933192201e-08,1
1818,4.27255812951444e-08,1
1819,4.61450291311394e-08,1
1820,6.43879235643193e-08,2
1821,6.72542527066103e-08,2
1822,1.05714937248536e-07,4
1823,1.03210172598876e-07,3
1824,1.08119640732493e-07,5
1825,1.08119640732493e-07,4
1826,1.04700192896498e-07,4
1827,8.64572984633177e-08,3
1828,8.6960907554255e-08,3
1829,5.35838690244158e-08,2
1830,5.89926134608731e-08,3
1831,3.33384725540295e-08,1
1832,3.98933442470804e-08,2
1833,4.97988520261775e-08,3
1834,6.98690999659643e-08,4
1835,1.06231826383204e-07,7
1836,9.00610467472315e-08,6
1837,8.23032116110361e-08,6
1838,9.57552437341747e-08,5
1839,1.05317704779395e-07,8
1840,1.3810225623396e-07,12
1841,1.29392480603079e-07,12
1842,1.01799074693685e-07,10
1843,1.11293372993617e-07,8
1844,1.14394227170221e-07,10
1845,1.06788724402967e-07,11
1846,9.93784757343162e-08,9
1847,6.70288233806104e-08,6
1848,6.5403906163957e-08,6
1849,7.37174020873762e-08,6
1850,8.49909995080468e-08,8
1851,1.07633017673184e-07,8
1852,9.93578831907728e-08,10
1853,9.57708320267362e-08,8
1854,8.81549347805536e-08,8
1855,9.14841005490124e-08,8
1856,7.10313458845186e-08,8
1857,5.22456726770315e-08,5
1858,2.66220269955803e-08,2
1859,3.78085479115141e-08,4
1860,3.43867160777579e-08,4
1861,4.14113318874294e-08,3
1862,3.45589990910103e-08,3
1863,4.91030120690945e-08,4
1864,6.1029858373323e-08,6
1865,6.0096902311711e-08,7
1866,6.64690249507771e-08,9
1867,7.36781844423717e-08,11
1868,7.32944101601772e-08,12
1869,7.51905393820656e-08,10
1870,6.40637631832419e-08,9
1871,5.556261926744e-08,8
1872,6.08944908466112e-08,7
1873,5.18329771484868e-08,6
1874,4.95822712411252e-08,6
1875,7.29127389575979e-08,10
1876,6.69783172416568e-08,9
1877,7.6790126511485e-08,10
1878,7.36093865226297e-08,8
