"Year","Freq","Count"
1800,2.2282167866372e-07,56
1801,2.51716002175328e-07,62
1802,2.59904979464191e-07,61
1803,2.52961692735555e-07,87
1804,2.68030358415875e-07,82
1805,2.54909132215074e-07,83
1806,2.35067943269282e-07,95
1807,2.33322351407748e-07,109
1808,2.02740658547132e-07,111
1809,1.78216437036432e-07,98
1810,1.93579408486982e-07,132
1811,1.84843274512022e-07,112
1812,1.82486673439008e-07,143
1813,1.94583848288156e-07,127
1814,1.88274848489378e-07,114
1815,1.91494362763603e-07,114
1816,1.98713351218238e-07,146
1817,1.87433894881041e-07,128
1818,1.98975635523624e-07,146
1819,2.0937262926576e-07,157
1820,2.11275657508685e-07,175
1821,2.27611048707134e-07,181
1822,2.3169867948068e-07,219
1823,2.38191334529197e-07,230
1824,2.27124586249516e-07,251
1825,2.08768952030575e-07,238
1826,2.11354085661546e-07,214
1827,2.05645070623055e-07,218
1828,1.88431923524896e-07,212
1829,1.77366764037805e-07,213
1830,1.6006829852065e-07,218
1831,1.60739464151659e-07,207
1832,1.87413016312326e-07,379
1833,1.7621080245738e-07,263
1834,1.75201314154906e-07,268
1835,1.75177105456368e-07,293
1836,1.74535596816508e-07,301
1837,1.89250706550403e-07,324
1838,1.88732454791436e-07,321
1839,1.80658688596149e-07,342
1840,1.90835696879864e-07,351
1841,1.82563182428628e-07,340
1842,1.76555267310847e-07,332
1843,1.82017096284071e-07,343
1844,1.77210917670248e-07,360
1845,1.72074923484747e-07,403
1846,1.57578530002311e-07,342
1847,1.53689859093222e-07,328
1848,1.82664123446078e-07,390
1849,1.91386796989855e-07,418
1850,1.99575973469646e-07,469
1851,1.97781687813084e-07,515
1852,1.99382141281251e-07,528
1853,1.97778771399942e-07,593
1854,1.98160884217519e-07,607
1855,1.80515079257442e-07,508
1856,1.76259476339765e-07,520
1857,1.68993790635888e-07,476
1858,1.82705077535404e-07,495
1859,1.93532424903291e-07,554
1860,1.95653427673533e-07,578
1861,1.88694759428731e-07,466
1862,1.90301985415951e-07,445
1863,1.89432008904486e-07,442
1864,1.85196099884115e-07,467
1865,1.66193278821376e-07,424
1866,1.51472058610277e-07,452
1867,1.53049276046297e-07,463
1868,1.46866158869306e-07,473
1869,1.37789716620722e-07,443
1870,1.35378497586761e-07,446
1871,1.32660049580378e-07,421
1872,1.33807218622677e-07,481
1873,1.41871337423969e-07,478
1874,1.33800518395003e-07,469
1875,1.3150953948049e-07,457
1876,1.33071273762069e-07,485
1877,1.3497317588992e-07,483
1878,1.37901049785632e-07,489
1879,1.45911982797818e-07,542
1880,1.42804644569822e-07,581
1881,1.38505646999195e-07,543
1882,1.35812616470459e-07,554
1883,1.3079862399528e-07,566
1884,1.2771359455702e-07,576
1885,1.25888957956479e-07,553
1886,1.16145177507322e-07,515
1887,1.12699168219876e-07,526
1888,1.1868125160408e-07,582
1889,1.20397761712735e-07,621
1890,1.21958704722504e-07,628
1891,1.18270965529125e-07,623
1892,1.14584379873328e-07,623
1893,1.11985229066049e-07,630
1894,1.07935809314151e-07,600
1895,1.1180098406584e-07,708
1896,1.09804224038676e-07,677
1897,1.15428064860281e-07,743
1898,1.22886833558195e-07,826
1899,1.36344386376346e-07,1001
1900,1.41933107616105e-07,1087
1901,1.53119501363922e-07,1208
1902,1.53511825743255e-07,1199
1903,1.58309236941712e-07,1246
1904,1.57414836324651e-07,1307
1905,1.52154276781121e-07,1257
1906,1.47601304210733e-07,1317
1907,1.49086498273705e-07,1338
1908,1.40528928573223e-07,1311
1909,1.37269179213893e-07,1259
1910,1.37013634707702e-07,1331
1911,1.31218930308842e-07,1361
1912,1.23383810850847e-07,1274
1913,1.11037375516432e-07,1147
1914,9.96453628181777e-08,1014
1915,9.13592045665672e-08,902
1916,8.27446749213883e-08,824
1917,7.49714494771173e-08,730
1918,7.67612108321103e-08,685
1919,8.0843424177246e-08,764
1920,1.0087621455617e-07,1028
1921,1.06149906166562e-07,1051
1922,1.16412341211181e-07,1166
1923,1.22913206565148e-07,754
1924,1.380429749398e-07,699
1925,1.4240275116238e-07,839
1926,1.5340096488308e-07,889
1927,1.64357253870254e-07,957
1928,1.68101454946422e-07,1040
1929,1.73700388168234e-07,1078
1930,1.78496431841551e-07,1117
1931,1.69104741114851e-07,1055
1932,1.61960356856053e-07,911
1933,1.53626871636701e-07,803
1934,1.32300881646888e-07,717
1935,1.28673151070632e-07,774
1936,1.16429590682873e-07,715
1937,1.13103899991783e-07,716
1938,1.07753931238059e-07,690
1939,1.03532211327893e-07,704
1940,9.77872652058969e-08,620
1941,9.0439297067186e-08,592
1942,8.74898209276712e-08,500
1943,9.21459151362721e-08,508
1944,9.93796742200713e-08,513
1945,1.03454701329473e-07,591
1946,1.07409591062638e-07,712
1947,1.14984629849348e-07,862
1948,1.28279493694095e-07,972
1949,1.38932552890785e-07,1195
1950,1.47885331282436e-07,1271
1951,1.42888192008631e-07,1189
1952,1.49134173835616e-07,1248
1953,1.60977516332801e-07,1354
1954,1.70728466665691e-07,1468
1955,1.68428866187398e-07,1528
1956,1.68271994592319e-07,1526
1957,1.72383469149955e-07,1690
1958,1.9109343513917e-07,1876
1959,1.97754675079764e-07,2089
1960,1.99741426922172e-07,2230
1961,2.05203578986156e-07,2453
1962,2.13429562816764e-07,2689
1963,2.21660606219182e-07,2979
1964,2.32648373708701e-07,2941
1965,2.26927145519085e-07,3165
1966,2.29956509072744e-07,3303
1967,2.41798244157313e-07,3825
1968,2.40386161071931e-07,3880
1969,2.40504966608768e-07,3891
1970,2.47165178165635e-07,3976
1971,2.37944823780875e-07,3822
1972,2.36817023832206e-07,3753
1973,2.41432483909827e-07,3917
1974,2.27802550347077e-07,3621
1975,2.36493815514954e-07,3869
1976,2.45226775901537e-07,4227
1977,2.46259442679023e-07,4300
1978,2.52657348439759e-07,4433
1979,2.59014104196455e-07,4586
1980,2.58157668956268e-07,4576
1981,2.6896143312527e-07,4690
1982,2.63478416798587e-07,4613
1983,2.68631188975783e-07,4877
1984,2.77560023155741e-07,5176
1985,2.80381342968436e-07,5383
1986,2.86814477247686e-07,5513
1987,3.00034773216749e-07,5808
1988,3.01561060567224e-07,5931
1989,3.10301533039998e-07,6391
1990,3.07884748172528e-07,6551
1991,2.99145666206511e-07,6141
1992,3.04473208486858e-07,6513
1993,3.14956707508125e-07,6732
1994,3.16395703224361e-07,6853
1995,3.18352440409342e-07,7120
1996,3.21272616066182e-07,7097
1997,3.3092453710637e-07,7240
1998,3.44651273361965e-07,7677
1999,3.46591881797817e-07,7824
2000,3.34358898219327e-07,8269
2001,3.23455472374588e-07,7964
2002,3.30970288762801e-07,8681
2003,3.31063364912763e-07,9069
