"Year","Freq","Count"
1800,4.17967633836724e-08,0
1801,3.3437410706938e-08,0
1802,2.78645089224483e-08,0
1803,2.388386479067e-08,0
1804,0,0
1805,1.64657275750609e-08,0
1806,1.64657275750609e-08,0
1807,2.95635658176252e-08,0
1808,2.95635658176252e-08,0
1809,2.95635658176252e-08,0
1810,2.95635658176252e-08,1
1811,2.95635658176252e-08,0
1812,1.30978382425643e-08,0
1813,1.30978382425643e-08,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,3.88091438350914e-09,0
1841,3.88091438350914e-09,0
1842,3.88091438350914e-09,0
1843,3.88091438350914e-09,0
1844,3.88091438350914e-09,0
1845,3.88091438350914e-09,0
1846,1.08465815376998e-08,1
1847,9.92006908364017e-09,1
1848,9.92006908364017e-09,1
1849,1.13809800948518e-08,1
1850,1.3000384134289e-08,1
1851,2.06255024488249e-08,2
1852,3.47481026809403e-08,3
1853,2.90624437531457e-08,3
1854,3.83683349219106e-08,4
1855,3.83683349219106e-08,3
1856,3.83285446555906e-08,4
1857,5.74343851208628e-08,6
1858,6.99038498197524e-08,6
1859,7.81542914195045e-08,8
1860,9.2158092966445e-08,10
1861,9.24323908841578e-08,7
1862,1.01129734427933e-07,8
1863,1.28796639639209e-07,11
1864,1.32778941365684e-07,13
1865,1.3145466632685e-07,15
1866,1.540756510313e-07,21
1867,1.64524215457667e-07,24
1868,1.82895283679889e-07,29
1869,2.20532326368682e-07,28
1870,2.47259166030744e-07,35
1871,2.87138176093192e-07,43
1872,3.08834888837087e-07,38
1873,3.05264370987451e-07,38
1874,3.69396837689757e-07,43
1875,4.02625285492572e-07,55
1876,4.2586195750768e-07,57
1877,4.06899435542333e-07,52
1878,4.10886579110021e-07,46
1879,4.2660712194577e-07,56
1880,4.3707638448203e-07,65
1881,4.36938669119107e-07,75
1882,4.5328405917644e-07,62
1883,5.27056690608723e-07,111
1884,5.61730372185463e-07,92
1885,5.74492247551461e-07,102
1886,6.02671377691877e-07,100
1887,6.49847387584097e-07,121
1888,6.78537909542294e-07,132
1889,6.99695874573081e-07,141
1890,6.396186904567e-07,142
1891,7.11014787871786e-07,160
1892,7.4470193567322e-07,194
1893,7.69502199610932e-07,210
1894,7.81399137395056e-07,192
1895,7.70354859014333e-07,259
1896,7.65797657160354e-07,253
1897,7.93143198864397e-07,257
1898,7.80120469049247e-07,254
1899,8.05882296260409e-07,452
1900,8.20132933248325e-07,410
1901,8.60184895503023e-07,370
1902,8.63915293588694e-07,295
1903,8.78970597893515e-07,311
1904,9.06986802614743e-07,310
1905,9.57282622948696e-07,293
1906,9.58042522013005e-07,354
1907,9.48557572298471e-07,309
1908,9.41625858428909e-07,311
1909,9.78783321313261e-07,349
1910,1.00805305334818e-06,404
1911,1.02761649551602e-06,345
1912,9.80525896920881e-07,330
1913,9.85509456898269e-07,287
1914,1.02089110701594e-06,288
1915,1.04179059690068e-06,321
1916,1.08138453924767e-06,274
1917,1.07504385076546e-06,360
1918,1.07927923766381e-06,226
1919,1.13024894484884e-06,299
1920,1.16641714547378e-06,365
1921,1.17381895441732e-06,321
1922,1.18847162866587e-06,423
1923,1.18022655572401e-06,275
1924,1.22345160694489e-06,227
1925,1.26424444195956e-06,288
1926,1.25926698858945e-06,272
1927,1.30203243640738e-06,318
1928,1.2904060245741e-06,293
1929,1.34314419548381e-06,324
1930,1.35512160730806e-06,324
1931,1.3741470833598e-06,350
1932,1.34279946450988e-06,265
1933,1.36600741435749e-06,228
1934,1.32585427893771e-06,257
1935,1.4363715601056e-06,297
1936,1.37796090322289e-06,264
1937,1.34355712231939e-06,272
1938,1.2960011710155e-06,232
1939,1.30951225076257e-06,226
1940,1.30709619432829e-06,229
1941,1.34297790412217e-06,228
1942,1.29291366387666e-06,189
1943,1.38273475970761e-06,181
1944,1.44209062520011e-06,209
1945,1.4948373551046e-06,236
1946,1.50008379153275e-06,341
1947,1.46454229772124e-06,346
1948,1.45607647742249e-06,349
1949,1.36830038854896e-06,317
1950,1.33185883604321e-06,369
1951,1.2974391552234e-06,343
1952,1.3062663697383e-06,645
1953,1.3234553323725e-06,349
1954,1.37202899200669e-06,365
1955,1.35060917370668e-06,404
1956,1.45815848944559e-06,378
1957,1.49645146458559e-06,409
1958,1.55465098876968e-06,425
1959,1.56615656773543e-06,459
1960,1.58301176205506e-06,498
1961,1.59652914330114e-06,559
1962,1.62564148402972e-06,564
1963,1.62604767085993e-06,567
1964,1.59412391959839e-06,487
1965,1.57699417156566e-06,568
1966,1.57290815293111e-06,588
1967,1.54365063411076e-06,667
1968,1.58432910016667e-06,723
1969,1.57756176122348e-06,704
1970,1.56822159169678e-06,725
1971,1.54225673603443e-06,619
1972,1.52588449964242e-06,593
1973,1.54708206017468e-06,602
1974,1.56701061574235e-06,617
1975,1.51642171074075e-06,597
1976,1.50208716474611e-06,705
1977,1.48574758895847e-06,676
1978,1.45496255754551e-06,692
1979,1.42431701988244e-06,709
1980,1.37267089225393e-06,733
1981,1.33824007012403e-06,772
1982,1.28895521811501e-06,778
1983,1.24224754927127e-06,790
1984,1.19738079514978e-06,803
1985,1.18892580758256e-06,857
1986,1.17148759467714e-06,927
1987,1.11791586375278e-06,954
1988,1.08642535678882e-06,952
1989,1.06981340357899e-06,1009
1990,1.05379351517903e-06,1096
1991,1.03191445889804e-06,1089
1992,1.00329561649102e-06,1081
1993,9.77615822453767e-07,1094
1994,9.74413645898104e-07,1155
1995,9.43979476427817e-07,1116
1996,9.09603094052207e-07,1146
1997,8.78186475412284e-07,1108
1998,8.50874357638531e-07,1144
1999,8.03748126340257e-07,1213
2000,7.62870399739768e-07,1647
2001,7.28953084814878e-07,1616
2002,7.08905442284699e-07,1709
2003,6.90076230317313e-07,1862
2004,6.83018332178368e-07,2012
2005,6.66422944764885e-07,1857
2006,6.59740538009958e-07,2048
2007,6.46709029946838e-07,2265
2008,6.32526962363045e-07,2618
2009,6.14521549583255e-07,2869
2010,5.97692551959231e-07,2955
2011,5.8143349893466e-07,3592
2012,5.71499713584801e-07,4373
2013,5.70006217718141e-07,4410
2014,5.81375664816213e-07,5290
2015,5.82362677700335e-07,4305
2016,5.83908851175303e-07,3904
2017,5.87197774848391e-07,4753
2018,5.9004183867728e-07,4530
2019,5.98505522475534e-07,4507
