"Year","Freq","Count"
1800,1.36384568083514e-08,3
1801,1.09107654466811e-08,3
1802,9.09230453890094e-09,2
1803,8.49540380899936e-09,3
1804,1.99739805647628e-09,1
1805,1.93809638179435e-09,1
1806,3.23084692332998e-09,1
1807,3.86528919982254e-09,2
1808,4.57137879931021e-09,2
1809,5.47600285751214e-09,3
1810,4.9919405910513e-09,3
1811,4.68686304052771e-09,3
1812,4.40621629658823e-09,3
1813,3.11346575505261e-09,2
1814,2.48527584226618e-09,1
1815,1.97232695255321e-09,1
1816,1.06770289435129e-09,1
1817,8.49765242299278e-10,1
1818,1.74493958964612e-09,1
1819,1.50623133013791e-09,1
1820,1.50623133013791e-09,1
1821,1.08831505712154e-09,1
1822,8.9517434734684e-10,1
1823,2.86165313667652e-09,3
1824,2.9957731533565e-09,3
1825,2.35383243055561e-09,3
1826,2.35383243055561e-09,2
1827,2.66754424898303e-09,3
1828,2.88820286734445e-09,3
1829,3.0084348203095e-08,36
1830,2.82131739558013e-08,38
1831,2.83577379356359e-08,36
1832,2.95520450650193e-08,59
1833,3.01293928853649e-08,45
1834,2.98987412605811e-08,45
1835,3.13537506275401e-08,52
1836,4.90821705501077e-09,8
1837,5.12267815468346e-09,9
1838,4.92031989754845e-09,8
1839,3.47277914361907e-09,7
1840,3.19777518750389e-09,6
1841,3.67453594536065e-09,7
1842,2.60702237575572e-09,5
1843,2.77445396419067e-09,5
1844,2.5314711795042e-09,5
1845,3.92339826103618e-09,9
1846,5.2278083013351e-09,11
1847,5.2890972117898e-09,11
1848,5.60427906066379e-09,12
1849,5.85595729447291e-09,13
1850,6.17213162325468e-09,14
1851,7.17320644153371e-09,19
1852,1.01038105184058e-08,27
1853,1.04402181185951e-08,31
1854,1.18946523107257e-08,36
1855,1.47472734183093e-08,41
1856,1.84100320861041e-08,54
1857,2.35776659783328e-08,66
1858,2.98254551294492e-08,80
1859,3.43832188197192e-08,98
1860,4.19526784185236e-08,123
1861,4.91159942320582e-08,120
1862,5.17959713135825e-08,120
1863,5.86349948832649e-08,136
1864,6.36301625120009e-08,159
1865,6.63097166302735e-08,168
1866,7.41641518753333e-08,219
1867,7.82633104751922e-08,235
1868,8.66240528910441e-08,277
1869,9.53382602784737e-08,304
1870,1.02433979132233e-07,335
1871,1.12095936255496e-07,353
1872,1.24747033698945e-07,445
1873,1.2903971207044e-07,431
1874,1.46648552916208e-07,510
1875,1.56183496231271e-07,539
1876,1.68814044164213e-07,611
1877,1.76815125913737e-07,628
1878,1.83841018908115e-07,647
1879,1.9296629134659e-07,711
1880,2.04288828028635e-07,825
1881,2.09102806062297e-07,814
1882,2.18070731460613e-07,882
1883,2.36960430511595e-07,1017
1884,2.5364443844473e-07,1135
1885,2.66453366014132e-07,1161
1886,2.7667167060549e-07,1217
1887,2.91471853656823e-07,1349
1888,3.03210596658277e-07,1476
1889,3.20126129299547e-07,1639
1890,3.26529135821366e-07,1669
1891,3.52417925968724e-07,1843
1892,3.74242313567435e-07,2019
1893,4.01645009489344e-07,2242
1894,4.17821943805257e-07,2304
1895,4.34838442951526e-07,2732
1896,4.50025687556302e-07,2754
1897,4.72309370122151e-07,3018
1898,4.78425166943503e-07,3189
1899,4.9107613147343e-07,3575
1900,5.01862830689806e-07,3811
1901,5.1631141257629e-07,4039
1902,5.31992273947576e-07,4121
1903,5.43979316924847e-07,4248
1904,5.54086380174671e-07,4562
1905,5.67859070591378e-07,4654
1906,5.7687593295925e-07,5107
1907,5.94398671172058e-07,5291
1908,6.13811910822802e-07,5682
1909,6.35306051702652e-07,5779
1910,6.84446357051322e-07,6595
1911,7.18843357791091e-07,7395
1912,7.45005889931808e-07,7630
1913,7.86184201803256e-07,8057
1914,8.28917423970462e-07,8371
1915,8.7800155799757e-07,8599
1916,9.38161651539307e-07,9264
1917,9.6967851392904e-07,9366
1918,1.02097054842178e-06,9046
1919,1.07434005729751e-06,10079
1920,1.11592046206762e-06,11281
1921,1.15680509844245e-06,11361
1922,1.18765382036859e-06,11807
1923,1.22365833732374e-06,7441
1924,1.265838303764e-06,6352
1925,1.30118491486237e-06,7599
1926,1.34692535423499e-06,7740
1927,1.40095684285159e-06,8090
1928,1.44214350277545e-06,8844
1929,1.51173481275992e-06,9303
1930,1.58070892654548e-06,9806
