"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,3.34972621069645e-10,0
1804,3.34972621069645e-10,0
1805,3.34972621069645e-10,0
1806,3.34972621069645e-10,0
1807,3.34972621069645e-10,0
1808,7.84332852634049e-10,0
1809,7.84332852634049e-10,0
1810,4.49360231564404e-10,0
1811,6.73424585936492e-10,0
1812,6.73424585936492e-10,1
1813,6.73424585936492e-10,0
1814,6.73424585936492e-10,0
1815,2.24064354372087e-10,0
1816,2.24064354372087e-10,0
1817,2.24064354372087e-10,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,2.56127658764577e-10,0
1825,3.77074086240928e-10,0
1826,3.77074086240928e-10,0
1827,4.7703844842571e-10,1
1828,4.7703844842571e-10,1
1829,5.44287678419916e-10,1
1830,6.35414419493584e-10,1
1831,3.79286760729006e-10,0
1832,2.58340333252655e-10,1
1833,2.58340333252655e-10,0
1834,1.58375971067873e-10,0
1835,2.38489561432687e-10,0
1836,1.71240331438481e-10,0
1837,8.01135903648133e-11,0
1838,2.26087585161342e-10,0
1839,2.26087585161342e-10,0
1840,2.26087585161342e-10,0
1841,2.26087585161342e-10,0
1842,1.45973994796529e-10,0
1843,1.45973994796529e-10,0
1844,1.45973994796529e-10,0
1845,0,0
1846,0,0
1847,0,0
1848,5.22313501973213e-11,0
1849,5.22313501973213e-11,0
1850,9.7565991000589e-11,0
1851,9.7565991000589e-11,0
1852,9.7565991000589e-11,0
1853,1.43622256944452e-10,0
1854,1.43622256944452e-10,0
1855,9.13909067471305e-11,0
1856,9.13909067471305e-11,0
1857,4.60562659438628e-11,0
1858,4.60562659438628e-11,0
1859,4.60562659438628e-11,0
1860,0,0
1861,0,0
1862,5.31416149180635e-10,1
1863,5.31416149180635e-10,1
1864,5.31416149180635e-10,1
1865,5.73575381634939e-10,1
1866,5.73575381634939e-10,2
1867,6.14763335476149e-10,2
1868,7.0017415674885e-10,2
1869,1.68758007568215e-10,1
1870,2.0899927820141e-10,1
1871,2.0899927820141e-10,1
1872,1.66840045747106e-10,1
1873,1.66840045747106e-10,1
1874,1.25652091905896e-10,0
1875,4.02412706331948e-11,0
1876,4.02412706331948e-11,0
1877,0,0
1878,0,0
1879,0,0
1880,9.38810457944734e-11,0
1881,9.38810457944734e-11,0
1882,1.55567558834946e-10,1
1883,1.55567558834946e-10,1
1884,1.84587008376726e-10,1
1885,1.84587008376726e-10,1
1886,1.84587008376726e-10,1
1887,1.17003101651747e-10,1
1888,1.17003101651747e-10,1
1889,1.05088648101009e-10,1
1890,1.05088648101009e-10,1
1891,7.60691985592286e-11,0
1892,9.74291005016527e-11,1
1893,9.74291005016527e-11,1
1894,1.3410538156146e-10,1
1895,1.54226617588016e-10,1
1896,1.22880824563306e-10,1
1897,1.40528455935421e-10,1
1898,1.7478884807774e-10,1
1899,2.22609837309738e-10,2
1900,2.22609837309738e-10,2
