"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,1.23563857558549e-10,0
1868,1.23563857558549e-10,0
1869,1.23563857558549e-10,0
1870,1.23563857558549e-10,0
1871,1.23563857558549e-10,0
1872,1.23563857558549e-10,0
1873,1.23563857558549e-10,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,1.5052320501141e-11,0
1905,1.5052320501141e-11,0
1906,1.5052320501141e-11,0
1907,1.5052320501141e-11,0
1908,1.5052320501141e-11,0
1909,1.5052320501141e-11,0
1910,1.5052320501141e-11,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,7.71105302626347e-12,0
1976,7.71105302626347e-12,0
1977,7.71105302626347e-12,0
1978,7.71105302626347e-12,0
1979,7.71105302626347e-12,0
1980,7.71105302626347e-12,0
1981,7.71105302626347e-12,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,6.59426332982882e-12,0
1989,1.29240745090036e-11,0
1990,1.29240745090036e-11,0
1991,1.91776262529039e-11,0
1992,2.52338581577646e-11,1
1993,2.52338581577646e-11,1
1994,5.00021943493158e-11,1
1995,4.3407931019487e-11,1
1996,4.90826233823238e-11,1
1997,6.55130488548737e-11,1
1998,7.57612752295372e-11,2
1999,8.00303870792821e-11,2
2000,1.49256829118372e-10,4
2001,1.72791604437426e-10,4
2002,2.03480159309345e-10,5
2003,2.40625554204232e-10,7
2004,2.7227819800389e-10,8
2005,3.31510521415065e-10,9
2006,3.75091323080921e-10,10
2007,4.0293505833487e-10,11
2008,4.80419287685052e-10,14
2009,5.24721896885286e-10,14
2010,6.00291312689651e-10,16
2011,6.62445023439215e-10,18
2012,6.98362348109224e-10,24
2013,7.41179776283677e-10,26
2014,7.3795834522526e-10,23
2015,6.79327673479081e-10,18
2016,7.11421477284091e-10,19
2017,6.84485856883299e-10,19
2018,6.67051536229479e-10,17
2019,6.38424424437289e-10,14
