"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,7.68428495437742e-10,0
1961,7.68428495437742e-10,0
1962,7.68428495437742e-10,0
1963,7.68428495437742e-10,0
1964,7.68428495437742e-10,0
1965,7.68428495437742e-10,0
1966,7.68428495437742e-10,0
1967,2.89683705594663e-10,0
1968,2.89683705594663e-10,0
1969,2.89683705594663e-10,0
1970,2.89683705594663e-10,0
1971,6.30092327520109e-10,0
1972,6.30092327520109e-10,0
1973,9.14980155134312e-10,0
1974,6.25296449539649e-10,0
1975,3.15549726031301e-09,1
1976,3.69271768718704e-09,2
1977,3.69271768718704e-09,2
1978,3.58353529390192e-09,2
1979,3.58353529390192e-09,2
1980,3.92767491546359e-09,2
1981,3.92767491546359e-09,2
1982,1.76765062904443e-09,1
1983,1.2304302021704e-09,1
1984,1.38666938249392e-09,1
1985,1.30748071100076e-09,1
1986,1.44853313471011e-09,1
1987,1.0755167550209e-09,1
1988,2.4626840884017e-09,2
1989,2.46279187519706e-09,2
1990,2.70046155278639e-09,3
1991,2.88072864768856e-09,3
1992,2.84114777736124e-09,3
1993,4.17766453177291e-09,5
1994,4.76362241716036e-09,6
1995,4.16725699979383e-09,5
1996,4.67723223643698e-09,6
1997,4.86990401179658e-09,6
1998,5.072148685186e-09,7
1999,5.94967288135097e-09,9
2000,5.84907894340958e-09,13
2001,7.03614153449042e-09,16
2002,7.57839827400123e-09,18
2003,8.10916787687331e-09,22
2004,9.04171884189405e-09,27
2005,1.12264394050828e-08,31
2006,1.29889288848416e-08,40
2007,1.40231152959533e-08,49
2008,1.46943415768597e-08,61
2009,1.58532904581676e-08,74
2010,1.67719488932048e-08,83
2011,1.84480757337013e-08,114
2012,1.82137352184546e-08,139
2013,1.809533965526e-08,140
2014,1.8501155322045e-08,168
2015,1.77204669826736e-08,131
2016,1.71320747747014e-08,115
2017,1.72694517204993e-08,140
2018,1.64687151027465e-08,126
2019,1.6229914634458e-08,122
