"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,1.02680538674857e-10,0
1850,1.02680538674857e-10,0
1851,1.02680538674857e-10,0
1852,1.02680538674857e-10,0
1853,1.02680538674857e-10,0
1854,1.02680538674857e-10,0
1855,1.52767401903223e-10,0
1856,5.00868632283665e-11,0
1857,5.00868632283665e-11,0
1858,5.00868632283665e-11,0
1859,5.00868632283665e-11,0
1860,5.00868632283665e-11,0
1861,5.00868632283665e-11,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,4.21614092844485e-11,0
1867,4.21614092844485e-11,0
1868,4.21614092844485e-11,0
1869,4.21614092844485e-11,0
1870,4.21614092844485e-11,0
1871,4.21614092844485e-11,0
1872,8.1183210947395e-11,0
1873,2.99125406983641e-10,1
1874,2.99125406983641e-10,1
1875,2.99125406983641e-10,1
1876,2.99125406983641e-10,1
1877,3.65653182335787e-10,1
1878,4.00192799533881e-10,1
1879,3.9439038344659e-10,1
1880,1.34286778125896e-10,1
1881,1.34286778125896e-10,1
1882,1.34286778125896e-10,1
1883,1.34286778125896e-10,1
1884,6.77590027737501e-11,0
1885,3.32193855756557e-11,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,2.13599019424241e-11,0
1893,2.13599019424241e-11,0
1894,2.13599019424241e-11,0
1895,4.14811379689795e-11,0
1896,4.14811379689795e-11,0
1897,4.14811379689795e-11,0
1898,4.14811379689795e-11,0
1899,2.01212360265554e-11,0
1900,2.01212360265554e-11,0
1901,2.01212360265554e-11,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,2.78250398912304e-11,0
1908,7.99528142105186e-11,1
1909,1.32278521469686e-10,1
1910,1.32278521469686e-10,1
1911,1.45547061506221e-10,2
1912,1.45547061506221e-10,1
1913,1.59123522889905e-10,2
1914,1.31298482998675e-10,1
1915,7.91707086793864e-11,1
1916,2.68450014202186e-11,0
1917,5.33893098381937e-11,1
1918,4.01207698016596e-11,0
1919,1.21111164747794e-10,1
1920,2.39681568243404e-10,2
1921,2.39681568243404e-10,2
1922,2.39681568243404e-10,2
1923,2.39681568243404e-10,1
1924,2.13137259825429e-10,1
1925,2.13137259825429e-10,1
1926,1.32146864879295e-10,1
1927,0,0
1928,0,0
