"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,2.62226074188021e-11,0
1942,2.62226074188021e-11,0
1943,2.62226074188021e-11,0
1944,9.84262393810553e-11,1
1945,9.84262393810553e-11,1
1946,1.14160196177223e-10,1
1947,1.14160196177223e-10,1
1948,8.79375887584212e-11,1
1949,8.79375887584212e-11,1
1950,8.79375887584212e-11,1
1951,3.1470163776502e-11,0
1952,6.12924136048473e-11,1
1953,7.5389560665646e-11,1
1954,7.5389560665646e-11,1
1955,1.16740869947142e-10,1
1956,1.16740869947142e-10,1
1957,1.28863467515775e-10,1
1958,1.24449479491481e-10,1
1959,1.16123276669037e-10,1
1960,1.06436281415474e-10,1
1961,1.06436281415474e-10,1
1962,1.42732374530663e-10,2
1963,2.27562200234248e-10,3
1964,4.12349027938725e-10,5
1965,4.93300703856876e-10,7
1966,7.22937547127854e-10,10
1967,7.28047075008017e-10,11
1968,9.89424550227166e-10,16
1969,9.1177714783048e-10,15
1970,9.60481458256446e-10,15
1971,1.18112383167596e-09,19
1972,1.13024449571334e-09,18
1973,9.57685878020888e-10,15
1974,1.11077334532686e-09,18
1975,9.80483772545464e-10,16
1976,1.63788338943181e-09,28
1977,1.55780183792269e-09,27
1978,1.20234418750563e-09,21
1979,1.29236710073667e-09,23
1980,1.27342964050576e-09,22
1981,1.28378479771366e-09,22
1982,1.27252490192012e-09,22
1983,7.48877874395022e-10,14
1984,8.14287018765672e-10,15
1985,8.48548144943839e-10,16
1986,9.14239467365257e-10,18
1987,1.18544416544924e-09,23
1988,1.55066603208758e-09,30
1989,1.69036028428517e-09,35
1990,1.79101461538529e-09,38
1991,2.08488728959637e-09,43
1992,2.41246825046543e-09,51
1993,2.86527067994543e-09,61
1994,3.02360381276052e-09,65
1995,3.26670098412172e-09,73
1996,4.01555699505332e-09,88
1997,5.97735029627439e-09,130
1998,6.90676044729737e-09,153
1999,1.18055390205659e-08,265
2000,1.36873377810336e-08,337
2001,1.53428213507072e-08,376
2002,1.61825289993597e-08,423
2003,1.75972408549591e-08,480
2004,1.70550982701658e-08,476
2005,1.91351884020514e-08,505
2006,1.58756087323805e-08,436
2007,1.55152054061501e-08,435
2008,1.5368050118195e-08,438
2009,1.67191329352485e-08,460
2010,1.67631468071607e-08,442
2011,1.94171426397866e-08,519
2012,2.12882005515677e-08,726
2013,2.55884587487186e-08,884
2014,2.94728654814946e-08,898
2015,3.4748946260115e-08,920
2016,4.1535618357434e-08,1098
2017,4.55799334201738e-08,1241
2018,4.86646452468875e-08,1267
2019,5.15675445122987e-08,1165
