"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,1.85767552134714e-11,0
1898,1.85767552134714e-11,0
1899,1.85767552134714e-11,0
1900,1.85767552134714e-11,0
1901,1.85767552134714e-11,0
1902,1.85767552134714e-11,0
1903,1.77968203666065e-10,1
1904,1.59391448452593e-10,1
1905,1.59391448452593e-10,1
1906,1.59391448452593e-10,1
1907,1.59391448452593e-10,1
1908,1.59391448452593e-10,1
1909,1.59391448452593e-10,1
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,9.09535145611682e-11,1
1928,1.13762999021105e-10,1
1929,1.39048796286646e-10,1
1930,1.39048796286646e-10,1
1931,1.39048796286646e-10,1
1932,1.62692042377748e-10,1
1933,2.55360677048344e-10,1
1934,3.66618017690255e-10,2
1935,6.10476522508055e-10,4
1936,7.317527575942e-10,4
1937,8.88849680366225e-10,6
1938,9.54106432748958e-10,6
1939,1.17940343998971e-09,8
1940,1.24149437952248e-09,8
1941,1.14959780583845e-09,8
1942,1.13201027321771e-09,6
1943,1.02835489528592e-09,6
1944,9.8508590372161e-10,5
1945,1.68937541931781e-09,10
1946,1.67210862418126e-09,11
1947,1.60013393210193e-09,12
1948,1.60951965049489e-09,12
1949,1.80259947048432e-09,16
1950,1.96273249637129e-09,17
1951,2.01439555115788e-09,17
1952,1.60558009348095e-09,13
1953,1.4523528213406e-09,12
1954,1.57279131385302e-09,14
1955,1.74297632279544e-09,16
1956,2.01462041295373e-09,18
1957,2.20663621303923e-09,22
1958,2.31488679613978e-09,23
1959,2.06709537383823e-09,22
1960,2.15805496290538e-09,24
1961,2.50635448010929e-09,30
1962,2.56332916698243e-09,32
1963,2.70125643777755e-09,36
1964,3.00767911469237e-09,38
1965,3.4215138985938e-09,48
1966,4.34615692740392e-09,62
1967,5.01699566910327e-09,79
1968,5.66996238452308e-09,92
1969,6.52600536705477e-09,106
1970,7.89295947251872e-09,127
1971,8.64152708121172e-09,139
1972,1.15103878729959e-08,182
1973,1.19833051497637e-08,194
1974,1.37747041709499e-08,219
1975,1.39082820181459e-08,228
1976,1.6506611597419e-08,285
1977,1.57808382353749e-08,276
1978,1.52691842304962e-08,268
1979,1.34033088160036e-08,237
1980,1.39695683076813e-08,248
1981,1.24518754097374e-08,217
1982,1.24552885168359e-08,218
1983,1.06305253667298e-08,193
1984,1.10046636585061e-08,205
1985,1.21424513682887e-08,233
1986,1.22964738555133e-08,236
1987,1.17845820408627e-08,228
1988,1.17449998204249e-08,231
1989,1.19268298714408e-08,246
1990,1.27464946915853e-08,271
1991,1.20750509160058e-08,248
1992,1.12522536328224e-08,241
1993,1.09535955960289e-08,234
1994,1.10990513268223e-08,240
1995,1.14554002851002e-08,256
1996,1.16084322650454e-08,256
1997,1.0233172037918e-08,224
1998,1.06322345372334e-08,237
1999,1.10763275783442e-08,250
2000,1.23550828070346e-08,306
2001,1.20341397135047e-08,296
2002,1.20958803578478e-08,317
2003,1.27045925535759e-08,348
2004,1.2691705223484e-08,356
2005,1.19864140389019e-08,318
2006,1.11484163904464e-08,307
2007,9.75139983245515e-09,275
2008,9.27737659909119e-09,265
2009,8.3159495361291e-09,230
2010,6.78826556275793e-09,180
2011,6.13698991426746e-09,165
2012,5.9578127510816e-09,204
2013,6.23275200895002e-09,216
2014,5.58964535570171e-09,171
2015,5.59750271927102e-09,149
2016,5.98646910020064e-09,159
2017,6.1006146662157e-09,167
2018,6.26134258885358e-09,164
2019,6.58382640073008e-09,149
