"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,3.30981968023534e-11,0
1952,3.30981968023534e-11,0
1953,3.30981968023534e-11,0
1954,3.30981968023534e-11,0
1955,3.30981968023534e-11,0
1956,3.30981968023534e-11,0
1957,3.30981968023534e-11,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,8.10949967891946e-12,0
1976,8.10949967891946e-12,0
1977,8.10949967891946e-12,0
1978,8.10949967891946e-12,0
1979,8.10949967891946e-12,0
1980,8.10949967891946e-12,0
1981,8.10949967891946e-12,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,6.68746754401666e-12,0
1988,2.74816949950653e-11,1
1989,4.07857175612124e-11,1
1990,4.07857175612124e-11,1
1991,4.07857175612124e-11,1
1992,4.07857175612124e-11,1
1993,5.36684352712781e-11,1
1994,7.29934872466055e-11,2
1995,5.21992597955569e-11,1
1996,9.56135964053877e-11,2
1997,1.07118646294361e-10,2
1998,1.41785371142257e-10,3
1999,1.47208614841616e-10,3
2000,1.65480470100597e-10,4
2001,5.19772700574572e-10,13
2002,1.2337903719517e-09,32
2003,1.77541592687379e-09,49
2004,4.61520935010618e-09,129
2005,5.04262182555805e-09,134
2006,7.73400243351898e-09,213
2007,8.33080572086388e-09,235
2008,1.18606087005329e-08,339
2009,1.51293233952814e-08,418
2010,1.57878056957138e-08,418
2011,1.48723868359513e-08,400
2012,1.52433254292848e-08,522
2013,1.60674945233673e-08,558
2014,1.64215333434533e-08,503
2015,1.31956901868695e-08,351
2016,1.00578533230152e-08,267
2017,1.0267864959899e-08,281
2018,9.61120649317637e-09,252
2019,1.05562269776122e-08,240
