"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,6.62889552773192e-10,0
1980,6.62889552773192e-10,0
1981,6.62889552773192e-10,0
1982,6.62889552773192e-10,0
1983,8.31272986953227e-10,1
1984,8.31272986953227e-10,1
1985,8.31272986953227e-10,1
1986,3.09435857889387e-10,0
1987,3.09435857889387e-10,0
1988,5.61648093113019e-10,0
1989,5.61648093113019e-10,1
1990,3.93264658932984e-10,0
1991,3.93264658932984e-10,0
1992,3.93264658932984e-10,0
1993,3.57752890803706e-10,0
1994,3.57752890803706e-10,0
1995,3.03241130618557e-10,0
1996,7.43370904514912e-10,1
1997,7.43370904514912e-10,1
1998,8.63093342827272e-10,1
1999,9.18092280770872e-10,1
2000,8.12551625190799e-10,2
2001,1.89470180418055e-09,4
2002,1.93504751904478e-09,5
2003,1.58043466409146e-09,4
2004,2.45117146421439e-09,7
2005,2.78002080879501e-09,8
2006,2.81014981721014e-09,9
2007,2.86373118671016e-09,10
2008,2.10304026375991e-09,9
2009,1.86499407385719e-09,9
2010,1.86512743146786e-09,9
2011,1.05255368111821e-09,7
2012,8.3677832718454e-10,6
2013,9.10090974803879e-10,7
2014,9.87531806329045e-10,9
2015,7.6983306435923e-10,6
2016,1.17523260369433e-09,8
2017,1.27117938166406e-09,10
2018,1.44398698831427e-09,11
2019,1.39758998471406e-09,11
