"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,1.3661026674962e-11,0
1919,1.3661026674962e-11,0
1920,1.3661026674962e-11,0
1921,1.3661026674962e-11,0
1922,1.3661026674962e-11,0
1923,1.3661026674962e-11,0
1924,1.3661026674962e-11,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,1.80509079905633e-11,0
1945,3.58928938158444e-11,0
1946,3.58928938158444e-11,0
1947,3.58928938158444e-11,0
1948,3.58928938158444e-11,0
1949,3.58928938158444e-11,0
1950,3.58928938158444e-11,0
1951,1.78419858252811e-11,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,3.63677927058984e-11,0
1958,7.03344495740182e-11,1
1959,7.03344495740182e-11,1
1960,8.04065038757200e-11,1
1961,9.11128107485202e-11,1
1962,9.11128107485202e-11,1
1963,9.11128107485202e-11,1
1964,1.06112696010971e-10,1
1965,1.05700182733466e-10,1
1966,1.55926759599317e-10,2
1967,1.45854705297615e-10,2
1968,1.35148398424815e-10,2
1969,1.9497311899906e-10,3
1970,2.86777833623044e-10,5
1971,4.14360922557882e-10,7
1972,4.71874805103261e-10,7
1973,5.00222502308745e-10,8
1974,5.70008155755174e-10,9
1975,5.854302618077e-10,10
1976,7.77863541436195e-10,13
1977,7.62419658160786e-10,13
1978,2.46181682876458e-09,43
1979,2.74180988924748e-09,48
1980,3.40124114487996e-09,60
1981,3.74513573228993e-09,65
1982,4.09624635451324e-09,71
1983,4.18188963567061e-09,76
1984,4.36422786451174e-09,81
1985,2.83688843795228e-09,54
1986,2.88632610223208e-09,55
1987,2.77182957638043e-09,53
1988,2.84612481300993e-09,56
1989,2.95432793011109e-09,61
1990,3.09157581876044e-09,66
1991,3.57704937793096e-09,73
1992,4.09208206803806e-09,87
1993,4.22952596160605e-09,90
1994,4.91254668095425e-09,106
1995,5.03297981465803e-09,112
1996,5.65665606072233e-09,124
1997,6.12899474872594e-09,134
1998,6.35842698978872e-09,141
1999,6.35971466412097e-09,143
2000,6.88961616774976e-09,170
2001,6.86311892436223e-09,168
2002,8.3466469093439e-09,218
2003,8.40325747082054e-09,229
2004,9.38870909588425e-09,262
2005,1.03747241393075e-08,274
2006,1.11147784770592e-08,305
2007,1.16107109229626e-08,326
2008,1.15030164312453e-08,328
2009,1.1191133229441e-08,308
2010,1.18133608708762e-08,311
2011,1.21953938614361e-08,326
2012,1.29560086815718e-08,442
2013,1.42656049587274e-08,493
2014,1.4869985886968e-08,453
2015,1.67145320243264e-08,443
2016,1.86646050599164e-08,493
2017,1.97019138931572e-08,536
2018,2.04013352086974e-08,531
2019,2.07412582439032e-08,468
