"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,6.40223707382148e-11,0
1935,6.40223707382148e-11,0
1936,6.40223707382148e-11,0
1937,6.40223707382148e-11,0
1938,6.40223707382148e-11,0
1939,6.40223707382148e-11,0
1940,6.40223707382148e-11,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,1.61689804402597e-10,1
1950,1.61689804402597e-10,1
1951,1.61689804402597e-10,1
1952,1.61689804402597e-10,1
1953,1.61689804402597e-10,1
1954,1.61689804402597e-10,1
1955,1.61689804402597e-10,1
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,8.56127966139145e-12,0
1965,8.56127966139145e-12,0
1966,8.56127966139145e-12,0
1967,2.53970366562558e-11,0
1968,3.38285679230792e-11,1
1969,3.38285679230792e-11,1
1970,6.72121019554669e-11,1
1971,6.71722875735169e-11,1
1972,1.08566845989446e-10,2
1973,1.16424273495706e-10,2
1974,1.07342477664466e-10,2
1975,1.3746621252023e-10,2
1976,1.83331304006876e-10,3
1977,1.72856019676442e-10,3
1978,2.72999314127054e-10,5
1979,2.70256952233927e-10,5
1980,3.22036336089912e-10,6
1981,3.72342762772997e-10,6
1982,3.6903102845368e-10,6
1983,4.42839305404246e-10,8
1984,4.75865985009673e-10,9
1985,5.11734140181844e-10,10
1986,5.58495755595015e-10,11
1987,6.57917359481175e-10,13
1988,6.46016815934538e-10,13
1989,7.12050262998064e-10,15
1990,7.25418659665498e-10,15
1991,7.75794110004423e-10,16
1992,8.97735394950987e-10,19
1993,9.6560253196043e-10,21
1994,1.32048709020854e-09,28
1995,1.40817714037019e-09,31
1996,1.40293618983949e-09,31
1997,1.5327812303131e-09,33
1998,1.59148862788735e-09,35
1999,1.63993741255403e-09,37
2000,1.63005409467961e-09,40
2001,1.36245698949068e-09,33
2002,1.57641072219748e-09,41
2003,1.64256936623681e-09,45
2004,1.82204680510001e-09,51
2005,1.87949795211433e-09,50
2006,1.8047023458978e-09,50
2007,1.82990028487127e-09,51
2008,1.74456221096226e-09,50
2009,2.03615694741429e-09,56
2010,2.24812021379758e-09,59
2011,2.26434100091187e-09,61
2012,2.71178062594532e-09,92
2013,2.95018040205597e-09,102
2014,3.21131329415152e-09,98
2015,5.51960459431654e-09,146
2016,6.10573420146778e-09,161
2017,6.68683897316058e-09,182
2018,7.38218772361465e-09,192
2019,8.05539469329875e-09,182
