"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,1.56917780356837e-09,0
1853,1.56917780356837e-09,0
1854,1.56917780356837e-09,0
1855,1.56917780356837e-09,0
1856,1.56917780356837e-09,0
1857,1.56917780356837e-09,0
1858,1.56917780356837e-09,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,1.13907892642016e-09,0
1871,1.13907892642016e-09,0
1872,1.13907892642016e-09,0
1873,1.13907892642016e-09,0
1874,1.13907892642016e-09,0
1875,1.13907892642016e-09,0
1876,3.31317449666e-09,0
1877,2.17409557023984e-09,0
1878,2.17409557023984e-09,0
1879,3.21460597823326e-09,0
1880,3.21460597823326e-09,0
1881,3.21460597823326e-09,1
1882,3.21460597823326e-09,0
1883,1.04051040799342e-09,0
1884,1.04051040799342e-09,0
1885,1.04051040799342e-09,0
1886,0,0
1887,6.39153428595916e-10,0
1888,6.39153428595916e-10,0
1889,6.39153428595916e-10,0
1890,6.39153428595916e-10,0
1891,6.39153428595916e-10,0
1892,6.39153428595916e-10,0
1893,6.39153428595916e-10,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,3.28859225565533e-10,0
1899,3.28859225565533e-10,0
1900,3.28859225565533e-10,0
1901,3.28859225565533e-10,0
1902,3.28859225565533e-10,0
1903,3.28859225565533e-10,0
1904,3.28859225565533e-10,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,1.69546472099975e-09,0
1931,1.69546472099975e-09,0
1932,1.69546472099975e-09,0
1933,1.69546472099975e-09,0
1934,1.69546472099975e-09,0
1935,1.69546472099975e-09,0
1936,1.69546472099975e-09,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,1.07238294434962e-09,0
1951,1.07238294434962e-09,0
1952,5.81079400469824e-09,3
1953,5.81079400469824e-09,2
1954,5.81079400469824e-09,2
1955,5.81079400469824e-09,2
1956,5.81079400469824e-09,2
1957,4.73841106034862e-09,1
1958,4.73841106034862e-09,1
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,3.09985687912168e-10,0
1966,3.09985687912168e-10,0
1967,6.15801727071081e-10,0
1968,6.15801727071081e-10,0
1969,6.15801727071081e-10,0
1970,6.15801727071081e-10,0
1971,9.75230023720591e-10,0
1972,1.38336050551199e-09,1
1973,1.68480553318164e-09,1
1974,2.62196207602626e-09,1
1975,2.9193904753961e-09,1
1976,4.05670890530579e-09,2
1977,4.85157936047642e-09,2
1978,4.9823575106903e-09,2
1979,8.01257980599855e-09,4
1980,8.82272927731671e-09,5
1981,8.63403520107957e-09,5
1982,1.20662047655072e-08,7
1983,1.43241325626217e-08,9
1984,1.65134092273383e-08,11
1985,2.29637294100828e-08,17
1986,2.67098998315721e-08,21
1987,4.12332444854613e-08,35
1988,5.31781548795962e-08,47
1989,5.62715671202442e-08,53
1990,5.9067613387777e-08,62
1991,6.86023770013477e-08,73
1992,7.42161439764339e-08,80
1993,9.3309980329716e-08,105
1994,8.82064216270858e-08,105
1995,9.42329402128398e-08,112
1996,9.85576398747158e-08,125
1997,9.93733734030603e-08,126
1998,9.58459247207039e-08,130
1999,9.14956897547979e-08,139
2000,7.38630984629753e-08,160
2001,7.21096841127533e-08,161
2002,6.1958823452787e-08,150
2003,6.15502123157974e-08,167
2004,6.18855224288062e-08,183
2005,5.98882443398579e-08,168
2006,5.62227827429128e-08,176
2007,5.19562362220695e-08,183
2008,4.72754221979883e-08,197
2009,4.47956454727568e-08,210
2010,4.18090203271485e-08,208
2011,4.25510219936071e-08,264
2012,4.87388038995189e-08,375
2013,6.3195088779008e-08,491
2014,7.91249276317828e-08,724
2015,9.8750164561385e-08,734
2016,1.31224493842603e-07,882
2017,1.44050690302026e-07,1172
2018,1.61542755439115e-07,1247
2019,1.78860004029779e-07,1355
