"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,2.59677501723843e-10,0
1806,7.76777705649831e-10,0
1807,7.76777705649831e-10,0
1808,1.01214091076583e-09,1
1809,1.01214091076583e-09,1
1810,1.23007856281784e-09,1
1811,1.23007856281784e-09,1
1812,1.20910932060221e-09,1
1813,8.85988520644381e-10,1
1814,1.30390479366075e-09,1
1815,1.06854158854475e-09,1
1816,1.06854158854475e-09,1
1817,8.50603936492738e-10,1
1818,8.50603936492738e-10,1
1819,9.12490591023892e-10,1
1820,8.65908122982262e-10,1
1821,4.47991849965896e-10,0
1822,5.72760751525538e-10,1
1823,8.53686288326827e-10,1
1824,8.53686288326827e-10,1
1825,8.53686288326827e-10,1
1826,5.53091374287464e-10,1
1827,5.10265044503403e-10,1
1828,5.10265044503403e-10,1
1829,3.85496142943761e-10,0
1830,1.04570606142472e-10,0
1831,4.76149247014795e-10,1
1832,5.6129870592717e-10,1
1833,7.26255230557423e-10,1
1834,6.21684624414952e-10,1
1835,7.05468025267005e-10,1
1836,7.05468025267005e-10,1
1837,7.82909435694177e-10,1
1838,4.87656534201416e-10,1
1839,4.02507075289041e-10,1
1840,2.37550550658787e-10,0
1841,3.07528169596338e-10,1
1842,3.45375648715317e-10,1
1843,5.42099222654104e-10,1
1844,4.64657812226932e-10,1
1845,4.55070838155182e-10,1
1846,6.50732341027955e-10,1
1847,7.71943263279594e-10,2
1848,7.01965644342043e-10,1
1849,6.34074304966299e-10,1
1850,6.27230374781819e-10,1
1851,1.37008789630982e-09,4
1852,1.50559541421482e-09,4
1853,1.3581932523099e-09,4
1854,1.38848791591301e-09,4
1855,1.44098966092798e-09,4
1856,1.43694892492821e-09,4
1857,1.34333772677004e-09,4
1858,6.58083722436333e-10,2
1859,5.16766827742186e-10,1
1860,6.51493129285744e-10,2
1861,6.69447592598666e-10,2
1862,8.39818932650362e-10,2
1863,8.85595882341558e-10,2
1864,9.30612801105671e-10,2
1865,9.61462385897148e-10,2
1866,1.03325185709023e-09,3
1867,8.9347866803559e-10,3
1868,8.13642006943941e-10,3
1869,6.69940694189971e-10,2
1870,7.43410781346908e-10,2
1871,7.23853600075637e-10,2
1872,7.58255640815569e-10,3
1873,6.25536781103822e-10,2
1874,1.33739791067075e-09,5
1875,1.32800457535482e-09,5
1876,1.51715670582142e-09,6
1877,1.59287257590306e-09,6
1878,1.58000047172686e-09,6
1879,1.66662820449177e-09,6
1880,1.86394830720931e-09,8
1881,1.17200591493687e-09,5
1882,1.18900459517806e-09,5
1883,9.52803320369051e-10,4
1884,8.91207044669987e-10,4
1885,7.82350965757215e-10,3
1886,6.00456706182203e-10,3
1887,6.79476284761092e-10,3
1888,7.51359306121786e-10,4
1889,7.0647236671828e-10,4
1890,7.50236809185115e-10,4
1891,6.43986522838194e-10,3
1892,8.46230762051116e-10,5
1893,8.41703817755501e-10,5
1894,6.97914773592093e-10,4
