"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,6.9604964649171e-11,1
1921,6.9604964649171e-11,1
1922,6.9604964649171e-11,1
1923,6.9604964649171e-11,0
1924,6.9604964649171e-11,0
1925,6.9604964649171e-11,0
1926,6.9604964649171e-11,0
1927,0,0
1928,2.28094844599371e-11,0
1929,9.86668762565606e-11,1
1930,1.25894269215847e-10,1
1931,1.25894269215847e-10,1
1932,1.25894269215847e-10,1
1933,2.18562903886443e-10,1
1934,2.18562903886443e-10,1
1935,2.40198085627823e-10,1
1936,2.06215558518075e-10,1
1937,1.78988165558788e-10,1
1938,2.44244917941521e-10,2
1939,2.44244917941521e-10,2
1940,1.51576283270925e-10,1
1941,1.51576283270925e-10,1
1942,1.32039662933562e-10,1
1943,9.01647982466867e-11,0
1944,1.09136120775487e-10,1
1945,6.26487889343608e-11,0
1946,6.26487889343608e-11,0
1947,6.26487889343608e-11,0
1948,6.26487889343608e-11,0
1949,7.17530717382025e-11,1
1950,7.17530717382025e-11,1
1951,8.58799460117560e-11,1
1952,6.71105254701487e-11,1
1953,6.71105254701487e-11,1
1954,6.71105254701487e-11,1
1955,1.10593278582602e-10,1
1956,7.65809499148062e-11,1
1957,8.93246746410828e-11,1
1958,5.62264778387294e-11,1
1959,6.75204168370287e-11,1
1960,8.86961387272908e-11,1
1961,1.11207276522394e-10,1
1962,6.77245234099415e-11,1
1963,7.76283799146833e-11,1
1964,7.38779652533138e-11,1
1965,7.38779652533138e-11,1
1966,1.15342452850736e-10,2
1967,1.11856088875444e-10,2
1968,2.3104961396506e-10,4
1969,2.93887812895046e-10,5
1970,4.24296099247165e-10,7
1971,4.77959085999822e-10,8
1972,5.99695318205727e-10,10
1973,6.8725654036753e-10,11
1974,7.91779737013038e-10,13
1975,7.63608066659379e-10,12
1976,8.45425639217634e-10,15
1977,7.8537760521215e-10,14
1978,8.45120236193336e-10,15
1979,8.53427214314584e-10,15
1980,9.32538723324994e-10,17
1981,9.85811538055976e-10,17
1982,1.20579581289986e-09,21
1983,1.33503275944112e-09,24
1984,1.5193900071629e-09,28
1985,1.64294963447434e-09,32
1986,1.7961571803306e-09,35
1987,1.7706625793566e-09,34
1988,1.86550218031093e-09,37
1989,1.68498117542049e-09,35
1990,1.64409961934358e-09,35
1991,1.55684850725432e-09,32
1992,1.53993441807744e-09,33
1993,1.52077938238491e-09,33
1994,1.63248991755238e-09,35
1995,1.57932741983486e-09,35
1996,1.75403721160745e-09,39
1997,1.75112705090376e-09,38
1998,1.86264618709123e-09,41
1999,1.9210336297894e-09,43
2000,1.90617448908581e-09,47
2001,1.94533704224652e-09,48
2002,2.02881358538473e-09,53
2003,1.95901439514756e-09,54
2004,2.12759052488949e-09,60
2005,2.16165973662696e-09,57
2006,2.06979757490035e-09,57
2007,2.04598176644802e-09,58
2008,1.85461343257016e-09,53
2009,1.78215178675952e-09,49
2010,1.88450780575738e-09,50
2011,1.77365928888396e-09,48
2012,1.68031457200727e-09,58
2013,1.93958175512662e-09,67
2014,2.1246252019618e-09,65
2015,2.30788550571935e-09,61
2016,2.44895876395328e-09,65
2017,2.43681186109142e-09,67
2018,2.52121417354534e-09,66
2019,2.7496934347504e-09,62
