"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,7.96826668140024e-10,0
1883,7.96826668140024e-10,0
1884,7.96826668140024e-10,0
1885,7.96826668140024e-10,0
1886,7.96826668140024e-10,0
1887,7.96826668140024e-10,0
1888,7.96826668140024e-10,0
1889,0,0
1890,0,0
1891,5.76298881631893e-10,0
1892,5.76298881631893e-10,0
1893,1.43251030085675e-09,0
1894,1.43251030085675e-09,0
1895,1.43251030085675e-09,0
1896,1.43251030085675e-09,0
1897,1.43251030085675e-09,0
1898,1.18507064479039e-09,0
1899,1.18507064479039e-09,1
1900,3.28859225565533e-10,0
1901,3.28859225565533e-10,0
1902,3.28859225565533e-10,0
1903,3.28859225565533e-10,0
1904,7.62072500342421e-10,0
1905,4.33213274776888e-10,0
1906,4.33213274776888e-10,0
1907,4.33213274776888e-10,0
1908,4.33213274776888e-10,0
1909,4.63324813436218e-09,2
1910,9.9601601252378e-09,4
1911,2.9050604715459e-08,10
1912,2.9050604715459e-08,10
1913,3.35077306853496e-08,10
1914,3.51948979166699e-08,10
1915,4.19565971806638e-08,13
1916,3.77565623210785e-08,10
1917,3.24296503302029e-08,11
1918,1.29059924652048e-08,3
1919,1.29059924652048e-08,3
1920,8.44886649531418e-09,3
1921,8.28321487590853e-09,2
1922,4.61872470428456e-09,2
1923,4.61872470428456e-09,1
1924,5.77644979468265e-09,1
1925,5.77644979468265e-09,1
1926,5.77644979468265e-09,1
1927,5.77644979468265e-09,1
1928,4.81083338245623e-09,1
1929,2.42862828260724e-09,1
1930,3.27636064310712e-09,1
1931,2.11863555270903e-09,1
1932,2.11863555270903e-09,0
1933,2.11863555270903e-09,0
1934,2.11863555270903e-09,0
1935,1.56273635302081e-09,0
1936,8.47732360499874e-10,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,7.46566237402086e-09,1
1944,7.46566237402086e-09,1
1945,8.05605861385418e-09,1
1946,8.05605861385418e-09,2
1947,1.00976394864663e-08,2
1948,1.11666063697312e-08,3
1949,1.11666063697312e-08,3
1950,5.84570988440955e-09,2
1951,6.91073858456142e-09,2
1952,1.34279586814858e-08,7
1953,1.34279586814858e-08,4
1954,1.19044335976172e-08,3
1955,1.08354667143524e-08,3
1956,1.27695092277946e-08,3
1957,1.06247433390954e-08,3
1958,9.96429281942466e-09,3
1959,3.67293547956901e-09,1
1960,4.88958156503421e-09,2
1961,9.00216628225386e-09,3
1962,1.01808664673289e-08,4
1963,9.76173773560772e-09,3
1964,1.72903531809559e-08,5
1965,1.87456891279477e-08,7
1966,1.79294301310457e-08,7
1967,1.67127840455805e-08,7
1968,1.2786937159908e-08,6
1969,1.16082369748329e-08,5
1970,1.00933231931119e-08,5
1971,2.56470774776371e-09,1
1972,7.04793620290697e-10,0
1973,7.04793620290697e-10,0
1974,7.04793620290697e-10,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,2.34271158028321e-10,0
1980,6.78908976655837e-10,0
1981,6.78908976655837e-10,0
1982,8.75203607998896e-10,1
1983,1.05390077617277e-09,1
1984,1.05390077617277e-09,1
1985,1.3767159793129e-09,1
1986,1.14244482128458e-09,1
1987,1.10567496428412e-09,1
1988,1.10567496428412e-09,1
1989,1.04059206489688e-09,1
1990,9.88247801052872e-10,1
1991,1.10747552398546e-09,1
1992,9.0422502025638e-10,1
1993,1.24078633875361e-09,1
1994,8.32918377126544e-10,1
1995,8.32918377126544e-10,1
1996,7.01706645170727e-10,1
1997,7.71812415565977e-10,1
1998,8.4389239247378e-10,1
1999,7.24327693062727e-10,1
2000,3.87766374565501e-10,1
2001,3.87766374565501e-10,1
2002,4.891931938898e-10,1
2003,5.3469784948896e-10,1
2004,3.7858168187656e-10,1
2005,1.8727398203617e-10,1
2006,1.8727398203617e-10,1
2007,2.15866711410812e-10,1
2008,2.15866711410812e-10,1
2009,1.14439892086514e-10,1
2010,6.89352364873536e-11,0
2011,4.41395332982454e-11,0
2012,1.78063706636676e-10,1
2013,1.99216135651373e-10,2
2014,1.70623406276731e-10,2
2015,1.70623406276731e-10,1
2016,2.26874346690284e-10,2
2017,2.64686737805331e-10,2
2018,2.95858559873352e-10,2
2019,1.35455896499437e-10,1
