"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,1.89925218409469e-09,2
1826,1.89925218409469e-09,2
1827,3.78152303121786e-09,4
1828,3.78152303121786e-09,4
1829,3.78152303121786e-09,5
1830,3.87682757325385e-09,5
1831,3.87682757325385e-09,5
1832,2.31817322480867e-09,5
1833,2.56560801175405e-09,4
1834,1.34781871378006e-09,2
1835,1.85051911889238e-09,3
1836,1.85051911889238e-09,3
1837,1.75521457685639e-09,3
1838,3.66335806134543e-09,6
1839,4.45948173626627e-09,8
1840,4.21204694932088e-09,8
1841,3.5475654001717e-09,7
1842,3.40975761911214e-09,6
1843,4.19665191486729e-09,8
1844,4.19665191486729e-09,9
1845,2.28850843037825e-09,5
1846,1.54310992555346e-09,3
1847,1.54310992555346e-09,3
1848,1.59779760057686e-09,3
1849,1.39412360227504e-09,3
1850,1.36674784981646e-09,3
1851,1.45960504000746e-09,4
1852,3.38094479397049e-09,9
1853,2.98962178822494e-09,9
1854,5.16120184685625e-09,16
1855,5.36902290087277e-09,15
1856,5.20780427512183e-09,15
1857,4.44828573182526e-09,13
1858,4.52823909321712e-09,12
1859,9.55284944005795e-09,27
1860,1.02847920101036e-08,30
1861,8.62159209897533e-09,21
1862,8.8048295242084e-09,21
1863,9.28220829564199e-09,22
1864,9.6118741458159e-09,24
1865,1.3596359435145e-08,35
1866,9.65870345608672e-09,29
1867,1.48036543975597e-08,45
1868,1.51018847744615e-08,49
1869,1.56061999117314e-08,50
1870,1.53400034500325e-08,51
1871,1.79723900444501e-08,57
1872,1.47979353770644e-08,53
1873,1.35060263211401e-08,46
1874,8.7021321497944e-09,31
1875,8.45713200264037e-09,29
1876,8.19704640672317e-09,30
1877,8.68489753130015e-09,31
1878,6.15826939442954e-09,22
1879,6.22284262214683e-09,23
1880,5.0984178624956e-09,21
1881,5.06708314989319e-09,20
1882,4.95920687055522e-09,20
1883,5.00805160833348e-09,22
1884,5.34638902990484e-09,24
1885,5.23022075649138e-09,23
1886,4.73457869735025e-09,21
1887,4.69529775377302e-09,22
1888,6.16489746553737e-09,30
1889,7.35992991948312e-09,38
1890,7.91118965575472e-09,41
1891,7.5139450376024e-09,40
1892,7.98119440774998e-09,43
1893,7.93677884921732e-09,45
1894,7.73756786817284e-09,43
1895,6.00963819581095e-09,38
1896,5.07794740779919e-09,31
1897,6.38861295214938e-09,41
1898,1.02399905182222e-08,69
1899,1.05463195081741e-08,77
1900,1.07437163292851e-08,82
1901,1.25666071675618e-08,99
1902,1.26614053051556e-08,99
1903,1.30600696606515e-08,103
1904,1.07763987416171e-08,89
1905,6.92526316451289e-09,57
