"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,2.51643034029517e-08,0
1817,2.51643034029517e-08,0
1818,2.51643034029517e-08,1
1819,3.82891036971549e-08,1
1820,3.82891036971549e-08,1
1821,3.82891036971549e-08,1
1822,3.82891036971549e-08,2
1823,1.31248002942032e-08,0
1824,1.31248002942032e-08,1
1825,1.31248002942032e-08,1
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,4.19743452693768e-09,0
1833,6.09830218069517e-09,0
1834,6.09830218069517e-09,0
1835,6.09830218069517e-09,0
1836,6.09830218069517e-09,0
1837,7.7361767785484e-09,1
1838,1.07823625583592e-08,1
1839,6.58492803142151e-09,0
1840,4.68406037766402e-09,0
1841,4.68406037766402e-09,0
1842,1.50447316826785e-08,1
1843,1.81698815993059e-08,1
1844,1.80666879551999e-08,2
1845,1.97717222911414e-08,2
1846,2.14384781673159e-08,2
1847,2.28505276922419e-08,2
1848,2.28505276922419e-08,2
1849,1.52888448567978e-08,1
1850,2.29965229081586e-08,2
1851,2.43765707302097e-08,2
1852,2.11241839258897e-08,2
1853,2.19030265670637e-08,2
1854,2.30918370139729e-08,2
1855,2.4652075301747e-08,2
1856,2.59272396568073e-08,3
1857,1.75713149427484e-08,2
1858,1.6400928361447e-08,1
1859,2.20209760267867e-08,2
1860,1.95753775094382e-08,2
1861,1.96325041303323e-08,2
1862,1.80722658425582e-08,1
1863,1.59787109258299e-08,1
1864,1.53886907026747e-08,2
1865,1.36443485081778e-08,2
1866,6.52546753140574e-09,1
1867,6.52546753140574e-09,1
1868,3.86748093867644e-09,1
1869,3.86748093867644e-09,0
1870,2.97304948913636e-09,0
1871,9.21471495932532e-09,1
1872,1.21850490332674e-08,1
1873,1.21850490332674e-08,2
1874,1.21850490332674e-08,1
1875,1.21850490332674e-08,2
1876,1.21850490332674e-08,2
1877,1.29013488146614e-08,2
1878,4.77280031369836e-09,1
1879,1.80246623975628e-09,0
1880,3.08802761139759e-09,0
1881,4.73202886398992e-09,1
1882,4.73202886398992e-09,1
1883,4.73202886398992e-09,1
1884,5.09988648137291e-09,1
1885,5.79085839597886e-09,1
1886,6.46099903737049e-09,1
1887,9.43767597405554e-09,2
1888,9.58228004880165e-09,2
1889,1.11339460191167e-08,2
1890,1.16262012398291e-08,3
1891,9.45587738268979e-09,2
1892,1.31581627815791e-08,3
1893,1.53423387962347e-08,4
1894,1.52307937373308e-08,4
1895,1.46827353767317e-08,5
1896,1.74527151778189e-08,6
1897,1.85772887866571e-08,6
1898,2.04544517514092e-08,7
1899,1.60611944379139e-08,9
1900,1.47261224484449e-08,7
1901,1.13594633699421e-08,5
1902,1.23103322139225e-08,4
1903,1.05336645120754e-08,4
