"Year","Freq","Count"
1800,1.30158656075352e-08,3
1801,1.04126924860282e-08,3
1802,8.6772437383568e-09,2
1803,7.43763749002012e-09,3
1804,5.27452970189302e-09,2
1805,4.96998056994816e-09,2
1806,5.21696809561791e-09,2
1807,4.94717822263624e-10,0
1808,4.94717822263624e-10,0
1809,1.70470612229475e-09,1
1810,2.95194881237494e-09,2
1811,3.62414190721186e-09,2
1812,3.37641161061798e-09,3
1813,3.12942408494824e-09,2
1814,4.72730261285343e-09,3
1815,6.56884272373251e-09,4
1816,9.89759130209933e-09,7
1817,1.0122779043569e-08,7
1818,1.23550791026566e-08,9
1819,1.55125868817052e-08,12
1820,1.55125868817052e-08,13
1821,1.41599901486751e-08,11
1822,1.27947018059769e-08,12
1823,8.25596492757898e-09,8
1824,7.29578981355823e-09,8
1825,5.47981450692094e-09,6
1826,3.11514629964498e-09,3
1827,3.51500374838411e-09,4
1828,3.26972195350907e-09,4
1829,3.19696558115368e-09,4
1830,3.37921906330101e-09,5
1831,3.84436076623323e-09,5
1832,3.40710469361381e-09,7
1833,3.63997911177551e-09,5
1834,3.24012166303638e-09,5
1835,3.72080321315542e-09,6
1836,3.60441523453555e-09,6
1837,4.08818251473875e-09,7
1838,4.71649940531853e-09,8
1839,4.35504254087909e-09,8
1840,4.41334675947504e-09,8
1841,5.68449743625672e-09,11
1842,7.75966754343723e-09,15
1843,8.72616960436088e-09,16
1844,8.76246081249477e-09,18
1845,9.1984947912595e-09,21
1846,9.53226167840374e-09,21
1847,9.43217145657879e-09,20
1848,9.88465533630872e-09,21
1849,8.4582896440834e-09,18
1850,8.88206193911627e-09,21
1851,9.95264050539037e-09,26
1852,9.89122292801728e-09,26
1853,1.16165205748293e-08,35
1854,1.18852189082538e-08,36
1855,1.12634952951853e-08,32
1856,1.0844705974503e-08,32
1857,1.00389488785372e-08,28
1858,9.2001867989046e-09,25
1859,8.78793066491238e-09,25
1860,7.1374219550486e-09,21
1861,6.85430899340288e-09,17
1862,6.54952225787042e-09,15
1863,6.11197971598999e-09,14
1864,6.04844438026727e-09,15
1865,5.70454518543175e-09,15
1866,4.76889217004839e-09,14
1867,5.30617007475444e-09,16
1868,5.44699736109473e-09,17
1869,5.29056135408926e-09,17
1870,5.78199139360842e-09,19
1871,5.86274774759334e-09,19
1872,6.0139327168989e-09,22
1873,6.38476833308183e-09,21
