"Year","Freq","Count"
1800,5.38726780519028e-07,6
1801,4.30981424415222e-07,2
1802,3.59151187012685e-07,1
1803,3.07843874582302e-07,2
1804,2.45490208986407e-07,1
1805,2.76927167419672e-07,2
1806,2.40628413702585e-07,3
1807,2.36149619224437e-07,2
1808,2.36149619224437e-07,2
1809,2.48543259877871e-07,3
1810,2.99650649943877e-07,6
1811,2.25120230774272e-07,2
1812,2.19020089429835e-07,7
1813,1.5590832853312e-07,3
1814,1.83020605147379e-07,2
1815,2.51210124702084e-07,4
1816,3.2060046807812e-07,4
1817,4.07043400128617e-07,6
1818,5.1371917056794e-07,11
1819,5.37600353567314e-07,12
1820,6.44695347265919e-07,20
1821,7.06785316241719e-07,19
1822,6.98560544520888e-07,29
1823,7.8721879097949e-07,24
1824,7.22910645630951e-07,36
1825,6.70702028011354e-07,26
1826,7.98975703121739e-07,28
1827,7.81039627132226e-07,28
1828,6.96887907127218e-07,26
1829,7.2855922488608e-07,30
1830,6.48941961247017e-07,30
1831,7.50934792189842e-07,32
1832,8.28686829760069e-07,45
1833,7.36734195047209e-07,44
1834,7.5435116426397e-07,44
1835,8.76349524884087e-07,57
1836,8.99691438428972e-07,64
1837,8.76019331107005e-07,62
1838,8.28724128685922e-07,47
1839,8.70548245427268e-07,65
1840,9.43310753065418e-07,78
1841,9.61172051537419e-07,86
1842,9.6538606531027e-07,93
1843,9.92602400020002e-07,73
1844,1.10807658007924e-06,97
1845,1.12742460193057e-06,119
1846,1.10172256041961e-06,96
1847,1.05779702394163e-06,94
1848,1.06613099999058e-06,91
1849,9.83305893978833e-07,80
1850,1.02062701096932e-06,98
1851,9.48759665370907e-07,69
1852,9.40863334924253e-07,91
1853,9.61268368269787e-07,84
1854,1.02635169112781e-06,95
1855,1.00765338156046e-06,91
1856,1.07516378238565e-06,119
1857,1.0219704174982e-06,106
1858,1.05250243961511e-06,91
1859,1.13023680560685e-06,113
1860,1.08307760017721e-06,118
1861,1.04316255747757e-06,81
1862,1.05224460091234e-06,80
1863,9.78802026731427e-07,82
1864,9.75127359557705e-07,99
1865,9.73874066976878e-07,111
1866,8.61592690907084e-07,117
1867,8.26978195954199e-07,119
1868,8.10116716376541e-07,128
1869,8.01188033313796e-07,103
1870,8.50962952738042e-07,122
1871,9.22239492202286e-07,139
1872,9.51510106832793e-07,116
1873,1.02816556170536e-06,128
1874,1.12747297282516e-06,131
1875,1.18553716653226e-06,162
1876,1.19936321115891e-06,160
1877,1.2109778899015e-06,154
1878,1.15790268598711e-06,130
1879,1.13436225942668e-06,148
1880,1.12448476828421e-06,168
1881,1.09520687845739e-06,188
1882,1.04881584877299e-06,143
1883,1.05534014904762e-06,221
1884,1.10471863485578e-06,181
1885,1.20156424575159e-06,213
1886,1.23807388303326e-06,205
1887,1.22963427364096e-06,229
1888,1.24076105478821e-06,242
1889,1.29467389114219e-06,261
1890,1.31179535494448e-06,290
1891,1.28374315653902e-06,290
1892,1.18623365168753e-06,309
1893,1.17521440826504e-06,321
1894,1.16934283811432e-06,287
1895,1.1579363674257e-06,390
1896,1.13196937138024e-06,373
1897,1.11342289413737e-06,360
1898,1.0680843011939e-06,347
1899,1.0786783917511e-06,605
1900,1.08858931729167e-06,544
1901,1.14061517621421e-06,490
1902,1.13597700065629e-06,388
1903,1.14637011267809e-06,405
1904,1.16995219099993e-06,400
1905,1.18233940726853e-06,362
1906,1.16956641736467e-06,432
1907,1.17478770914456e-06,383
1908,1.13496175733831e-06,375
1909,1.1558020842628e-06,412
1910,1.17659926040276e-06,471
1911,1.19708214372873e-06,401
1912,1.21903671147981e-06,410
1913,1.23116539721809e-06,359
1914,1.15706934620898e-06,327
1915,1.12871922573556e-06,348
1916,1.13663524291065e-06,288
1917,1.14044641365472e-06,382
1918,1.1271356232166e-06,236
1919,1.14053277860166e-06,302
1920,1.22362296729937e-06,383
1921,1.31132661557969e-06,358
1922,1.37873274260894e-06,491
1923,1.4469982016723e-06,337
1924,1.43793939688663e-06,267
1925,1.53437106360193e-06,350
1926,1.5710580997411e-06,340
1927,1.5259948102602e-06,373
1928,1.5034451079643e-06,342
1929,1.53060064254719e-06,370
1930,1.49594486994634e-06,358
1931,1.59180911804161e-06,405
1932,1.57613964115098e-06,312
1933,1.56924057697389e-06,262
