"Year","Freq","Count"
1800,1.15354163487957e-06,288
1801,1.18676276357199e-06,290
1802,1.09144655987177e-06,257
1803,1.0772190337833e-06,370
1804,1.05602764266521e-06,321
1805,8.81568719547841e-07,287
1806,9.09992589662575e-07,366
1807,9.75610276692557e-07,452
1808,8.71793639405689e-07,475
1809,8.86804712203164e-07,485
1810,8.33873407911158e-07,564
1811,8.50913382168171e-07,512
1812,9.12544962895977e-07,715
1813,8.49068131485759e-07,552
1814,7.83055836363543e-07,473
1815,8.50646803329802e-07,504
1816,9.70377456911896e-07,709
1817,1.05094485969293e-06,712
1818,1.12744525377589e-06,826
1819,1.2167945323549e-06,906
1820,1.25431700584829e-06,1036
1821,1.36297365536743e-06,1077
1822,1.38677237044542e-06,1305
1823,1.32121127295802e-06,1269
1824,1.28122622822247e-06,1411
1825,1.19821092654198e-06,1359
1826,1.16767955216091e-06,1177
1827,1.19914452077565e-06,1266
1828,1.15535937759782e-06,1292
1829,1.11295676620747e-06,1330
1830,1.14156336748574e-06,1546
1831,1.18743953295538e-06,1525
1832,1.20260742427928e-06,2423
1833,1.17520324122949e-06,1748
1834,1.17131869885918e-06,1787
1835,1.20295030665256e-06,2002
1836,1.25595043458977e-06,2158
1837,1.2349063926363e-06,2108
1838,1.24507273120094e-06,2107
1839,1.30512605763958e-06,2465
1840,1.35469817211639e-06,2480
1841,1.39084529950294e-06,2584
1842,1.38054895791408e-06,2583
1843,1.40277137677154e-06,2632
1844,1.43994533224096e-06,2918
1845,1.46913330535879e-06,3427
1846,1.49158487225013e-06,3225
1847,1.50253801521418e-06,3190
1848,1.49910254264109e-06,3185
1849,1.51507340495627e-06,3294
1850,1.485457891613e-06,3475
1851,1.45882007134596e-06,3782
1852,1.47391514269758e-06,3889
1853,1.4286841314437e-06,4267
1854,1.43244649421424e-06,4374
1855,1.44198515398105e-06,4043
1856,1.42436666756523e-06,4184
1857,1.45852446098438e-06,4094
1858,1.50116902993983e-06,4054
1859,1.51245974560383e-06,4314
1860,1.51954510679048e-06,4475
1861,1.4885813293754e-06,3664
1862,1.48676063295637e-06,3460
1863,1.45822341528807e-06,3390
1864,1.44355707844466e-06,3622
1865,1.44932350781042e-06,3687
1866,1.41634500356551e-06,4207
1867,1.4130947147655e-06,4255
1868,1.43080310976984e-06,4587
1869,1.43826780168205e-06,4609
1870,1.55257742529002e-06,5095
1871,1.59327340124423e-06,5040
1872,1.60457835136312e-06,5748
1873,1.62868285845187e-06,5467
1874,1.65249408534685e-06,5774
1875,1.68813381277008e-06,5844
1876,1.72548579015418e-06,6271
1877,1.69753333481967e-06,6057
1878,1.73211925018941e-06,6122
1879,1.73158237104509e-06,6405
1880,1.7417713295474e-06,7065
1881,1.7829973072901e-06,6966
1882,1.78973936448834e-06,7268
1883,1.76317780747099e-06,7600
1884,1.76234801764684e-06,7915
1885,1.74037453746857e-06,7613
1886,1.78671246058621e-06,7887
1887,1.82010967129744e-06,8457
1888,1.82287969798166e-06,8905
1889,1.85579718919066e-06,9537
1890,1.89466425228245e-06,9720
1891,1.90652248959517e-06,10009
1892,1.90382233038784e-06,10310
1893,1.9219447279387e-06,10769
1894,1.93110059346476e-06,10690
1895,1.9186706223806e-06,12102
1896,1.89993758846287e-06,11674
1897,1.93034521903509e-06,12383
1898,1.89175132600131e-06,12663
1899,1.91859241078467e-06,14026
1900,1.87290672520086e-06,14283
1901,1.84134562886129e-06,14465
1902,1.89742594182616e-06,14760
1903,1.90888784880526e-06,14968
1904,1.94455840889824e-06,16076
1905,1.98707601915617e-06,16353
1906,1.99798415932508e-06,17760
1907,2.03050941013519e-06,18148
1908,2.04912718336305e-06,19046
1909,2.01309074654432e-06,18386
1910,2.01398005650333e-06,19483
1911,1.975718562213e-06,20405
1912,1.9841810772192e-06,20403
1913,1.94837466287774e-06,20047
1914,1.8994527921328e-06,19259
1915,1.86587066356278e-06,18347
1916,1.81552044686839e-06,17998
1917,1.76950690189415e-06,17160
1918,1.72078816237534e-06,15305
1919,1.7081853978291e-06,16087
1920,1.73490340468366e-06,17607
1921,1.77264036439949e-06,17476
1922,1.83740450257882e-06,18336
1923,1.90131718293328e-06,11610
1924,1.98464094707569e-06,10001
1925,2.13122335753927e-06,12499
1926,2.13397242454505e-06,12314
1927,2.15858781236834e-06,12519
1928,2.19028540345992e-06,13489
1929,2.15807652611691e-06,13337
1930,2.16665891551924e-06,13498
1931,2.14765181943173e-06,13338
1932,2.13389316984701e-06,11956
1933,2.13488894473812e-06,11108
1934,2.15008560035455e-06,11612
