"Year","Freq","Count"
1800,9.2016806263473e-07,11
1801,7.36134450107784e-07,3
1802,6.40737193672673e-07,2
1803,6.00182001367752e-07,4
1804,5.61779568134365e-07,2
1805,3.18205648243618e-07,2
1806,2.13686947501758e-07,2
1807,2.95333115169732e-07,2
1808,3.0754724024616e-07,3
1809,3.04810320983506e-07,4
1810,2.68433739490449e-07,6
1811,2.49801134698048e-07,3
1812,2.21882375837725e-07,7
1813,1.90338315267776e-07,3
1814,1.17985097501462e-07,1
1815,1.42965257664075e-07,2
1816,1.41182416614681e-07,2
1817,2.15322448379344e-07,3
1818,2.15322448379344e-07,5
1819,2.26991614584092e-07,5
1820,3.34086604222453e-07,10
1821,3.99031687184756e-07,11
1822,4.00638122804204e-07,17
1823,5.09596568625576e-07,16
1824,4.94096602616472e-07,24
1825,5.15883462932314e-07,20
1826,5.17169756416739e-07,18
1827,4.34718604732812e-07,15
1828,4.73907830057994e-07,18
1829,4.87116770792844e-07,20
1830,4.41027566466801e-07,20
1831,4.56571123257683e-07,19
1832,4.93548347841559e-07,27
1833,5.95294738202158e-07,36
1834,6.10110829159437e-07,36
1835,5.77741847759431e-07,37
1836,5.7135836836356e-07,41
1837,5.58406635978567e-07,39
1838,5.47298636125301e-07,31
1839,5.755562061235e-07,43
1840,4.99574533867937e-07,41
1841,5.31921500623866e-07,47
1842,5.27273170648966e-07,51
1843,5.31649387117536e-07,39
1844,5.4266205852725e-07,47
1845,5.12496525217898e-07,54
1846,5.33814001002497e-07,46
1847,5.12198568257207e-07,45
1848,5.30494012401001e-07,45
1849,5.52048663290553e-07,45
1850,5.91803980043437e-07,57
1851,6.34419184614948e-07,46
1852,6.63347480310352e-07,64
1853,6.61391888050795e-07,58
1854,7.08051349868859e-07,66
1855,6.69812331314087e-07,60
1856,6.49256635501924e-07,72
1857,6.59813505927381e-07,69
1858,6.05424237473276e-07,52
1859,6.58903321745389e-07,66
1860,6.61137584805666e-07,72
1861,6.59664171160606e-07,51
1862,7.00346644677552e-07,53
1863,7.02161658086961e-07,59
1864,6.64114210481768e-07,68
1865,6.99405901067556e-07,80
1866,6.36586793945071e-07,87
1867,6.06433398482003e-07,87
1868,5.83913964037817e-07,93
1869,5.62662304811771e-07,73
1870,5.82279537094824e-07,83
1871,6.07103987399731e-07,92
1872,5.73090745145269e-07,70
1873,5.82037728236173e-07,72
1874,6.16823099010487e-07,72
1875,5.76652110696939e-07,79
1876,5.82855571045522e-07,78
1877,5.78643904093821e-07,74
1878,5.71025619170281e-07,64
1879,5.68156581591341e-07,74
1880,5.66028908061915e-07,85
1881,5.20183184400074e-07,89
1882,5.51130020604822e-07,75
1883,5.32906093602443e-07,112
1884,5.01216005334624e-07,82
1885,4.86694062828974e-07,86
1886,4.91960357911531e-07,82
1887,4.89889738933666e-07,91
1888,4.7316283615016e-07,92
1889,4.59698079412009e-07,93
1890,4.5387138130388e-07,100
1891,4.73294121672296e-07,107
1892,4.81031197541171e-07,125
1893,4.66004722365909e-07,127
1894,4.73018729265005e-07,116
1895,4.84782438256052e-07,163
1896,4.99137624946197e-07,165
1897,4.94697639455818e-07,160
1898,4.59890300857119e-07,149
1899,4.60032418603262e-07,258
1900,4.64123632637481e-07,232
1901,4.49943282536986e-07,193
1902,4.38343270411526e-07,150
1903,4.15130062230468e-07,147
1904,4.12363642089884e-07,141
1905,4.18065857170952e-07,128
1906,3.95762064041096e-07,146
1907,3.79243427550691e-07,124
1908,3.60936308777379e-07,119
1909,3.56713378708256e-07,127
1910,3.77785924353193e-07,151
1911,3.74634975898656e-07,126
1912,3.55353527841424e-07,120
1913,3.61920214940272e-07,106
1914,3.58175533105814e-07,101
1915,3.48373378240246e-07,107
