"Year","Freq","Count"
1800,2.7852856898658e-07,69
1801,2.77963046269036e-07,68
1802,2.73206970454372e-07,64
1803,2.72364280145305e-07,94
1804,2.69664022857695e-07,82
1805,2.71704960498807e-07,88
1806,2.77004813499713e-07,112
1807,2.70058068606106e-07,125
1808,2.74934202642336e-07,150
1809,2.74391494161007e-07,150
1810,2.63020335670002e-07,178
1811,2.51509269284205e-07,151
1812,2.70660990508986e-07,212
1813,2.51785034980198e-07,164
1814,2.62951624157332e-07,159
1815,2.56257056971013e-07,152
1816,2.63468423649422e-07,192
1817,2.8148003439199e-07,191
1818,2.99697381768636e-07,220
1819,2.85554418396775e-07,213
1820,3.13530063308523e-07,259
1821,3.1275445232039e-07,247
1822,3.14954057136139e-07,296
1823,3.23784715309091e-07,311
1824,3.27109385372155e-07,360
1825,3.31592349721101e-07,376
1826,3.31274391997459e-07,334
1827,3.07159090654327e-07,324
1828,3.12518094228561e-07,350
1829,3.09738148217077e-07,370
1830,3.18294475340089e-07,431
1831,3.30563380216261e-07,425
1832,3.30959688123387e-07,667
1833,3.47347650602498e-07,517
1834,3.62263661378228e-07,553
1835,3.74469106540725e-07,623
1836,3.80476364493708e-07,654
1837,3.69407862775363e-07,631
1838,3.55114739392093e-07,601
1839,3.60193330875954e-07,680
1840,3.57993238910202e-07,655
1841,3.6612347725784e-07,680
1842,3.53518032601498e-07,662
1843,3.6593323710881e-07,687
1844,3.72668678139121e-07,755
1845,3.82752767044295e-07,893
1846,3.86929153289068e-07,837
1847,3.93818434101562e-07,836
1848,4.04001553029015e-07,858
1849,4.10701580656956e-07,893
1850,4.13592391715741e-07,968
1851,4.30704341969346e-07,1117
1852,4.30328127631885e-07,1135
1853,4.3298842854002e-07,1293
1854,4.46333148916369e-07,1363
1855,4.49437643926639e-07,1260
1856,4.59298993235205e-07,1349
1857,4.60177371303898e-07,1292
1858,4.43263634242186e-07,1197
1859,4.54971322235867e-07,1298
1860,4.57670069112634e-07,1348
1861,4.46828953805577e-07,1100
1862,4.33149851621271e-07,1008
1863,4.20176118692035e-07,977
1864,4.1882067055735e-07,1051
1865,4.16936207321099e-07,1061
1866,4.01968140947443e-07,1194
1867,3.86053934582036e-07,1162
1868,3.74491749689985e-07,1201
1869,3.67282059020115e-07,1177
1870,3.78840412389765e-07,1243
1871,3.80260628493215e-07,1203
