"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,3.77065394780678e-10,0
1907,3.77065394780678e-10,0
1908,3.77065394780678e-10,0
1909,3.77065394780678e-10,0
1910,3.77065394780678e-10,0
1911,8.51718727292093e-10,0
1912,8.51718727292093e-10,0
1913,4.74653332511415e-10,0
1914,8.75707506509116e-10,0
1915,8.75707506509116e-10,0
1916,8.75707506509116e-10,0
1917,8.75707506509116e-10,0
1918,4.01054173997701e-10,0
1919,4.01054173997701e-10,0
1920,4.01054173997701e-10,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,5.54857176077966e-10,0
1927,5.54857176077966e-10,0
1928,5.54857176077966e-10,0
1929,5.54857176077966e-10,0
1930,5.54857176077966e-10,0
1931,5.54857176077966e-10,0
1932,5.54857176077966e-10,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,5.78400819303429e-10,0
1947,5.78400819303429e-10,0
1948,5.78400819303429e-10,0
1949,5.78400819303429e-10,0
1950,1.08521772520679e-09,0
1951,1.08521772520679e-09,0
1952,1.53341323765639e-09,1
1953,9.55012418352957e-10,0
1954,9.55012418352957e-10,0
1955,9.55012418352957e-10,0
1956,9.55012418352957e-10,0
1957,8.73745171452762e-10,0
1958,8.73745171452762e-10,0
1959,4.25549659003163e-10,0
1960,4.25549659003163e-10,0
1961,4.25549659003163e-10,0
1962,4.25549659003163e-10,0
1963,4.25549659003163e-10,0
1964,0,0
1965,0,0
1966,0,0
1967,2.89683705594663e-10,0
1968,2.89683705594663e-10,0
1969,2.89683705594663e-10,0
1970,6.34143309292361e-10,0
1971,6.34143309292361e-10,0
1972,6.34143309292361e-10,0
1973,6.34143309292361e-10,0
1974,3.44459603697698e-10,0
1975,3.44459603697698e-10,0
1976,3.44459603697698e-10,0
1977,2.50020956319271e-10,0
1978,4.81247184959597e-10,0
1979,4.81247184959597e-10,0
1980,4.81247184959597e-10,0
1981,4.81247184959597e-10,0
1982,1.59177675802218e-09,1
1983,1.59177675802218e-09,1
1984,2.12295173504121e-09,1
1985,2.19580062069521e-09,2
1986,4.45263940004484e-09,4
1987,5.47668364627084e-09,5
1988,5.72889588149447e-09,5
1989,5.11207872858474e-09,5
1990,5.58741807583323e-09,6
1991,5.81574099196252e-09,6
1992,6.18640599065705e-09,7
1993,4.45727048920779e-09,5
1994,4.06470297103263e-09,5
1995,4.50444240637385e-09,5
1996,4.36283379264982e-09,5
1997,5.48590556315176e-09,7
1998,5.31444376601036e-09,7
1999,5.79468132208153e-09,9
2000,6.6931309859543e-09,14
2001,7.27907318547644e-09,16
2002,7.63452472669306e-09,18
2003,8.26586551586469e-09,22
2004,8.06820486611213e-09,24
2005,7.74280128901239e-09,22
2006,7.46747907953704e-09,23
2007,6.57713982483393e-09,23
2008,6.79557223588161e-09,28
2009,7.56525777340882e-09,35
2010,8.53463945944226e-09,42
2011,9.67852244777261e-09,60
2012,1.16729074858427e-08,89
2013,1.42591400472839e-08,110
2014,1.63110147729676e-08,148
2015,1.62759302860646e-08,120
2016,1.61156918762221e-08,108
2017,1.65233431936862e-08,134
2018,1.62655249935639e-08,125
2019,1.5944588843686e-08,120
