"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,1.36577051255772e-10,0
1864,1.81470901797606e-10,0
1865,1.81470901797606e-10,0
1866,1.81470901797606e-10,1
1867,1.81470901797606e-10,1
1868,1.81470901797606e-10,1
1869,1.81470901797606e-10,1
1870,4.48938505418336e-11,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,3.64975311877609e-11,0
1877,1.36289198181063e-10,0
1878,1.70828815379157e-10,1
1879,2.70486970123583e-10,1
1880,3.64368015918056e-10,1
1881,3.64368015918056e-10,1
1882,3.95211272438293e-10,2
1883,3.89274511434858e-10,2
1884,2.89482844441556e-10,1
1885,3.10149265397059e-10,1
1886,2.10491110652633e-10,1
1887,1.1661006485816e-10,1
1888,2.96327321807383e-10,1
1889,3.40142154521748e-10,2
1890,4.77997205309119e-10,2
1891,5.51038635356247e-10,3
1892,4.9583259720265e-10,3
1893,5.83515228199819e-10,3
1894,7.51444343257849e-10,4
1895,5.71727086308625e-10,4
1896,4.97068997074024e-10,3
1897,3.28653176102327e-10,2
1898,3.41262724428455e-10,2
1899,3.41262724428455e-10,2
1900,4.42374977919055e-10,3
1901,2.74445862861025e-10,2
1902,2.74445862861025e-10,2
1903,2.74445862861025e-10,2
1904,2.74445862861025e-10,2
1905,2.03266352162755e-10,2
1906,2.17998661781024e-10,2
1907,5.70288171844854e-11,1
1908,5.70288171844854e-11,1
1909,7.01102439992773e-11,1
1910,7.01102439992773e-11,1
1911,8.33787840358115e-11,1
1912,6.89073163608254e-11,1
1913,6.7751468126241e-11,1
1914,6.77002174558667e-11,1
1915,6.77002174558667e-11,1
1916,5.46187906410748e-11,1
1917,5.46187906410748e-11,1
1918,4.13502506045406e-11,0
1919,4.13502506045406e-11,0
1920,2.77737892208561e-11,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,6.5284460377362e-11,0
1927,8.68747613529714e-11,1
1928,1.08520135338226e-10,1
1929,1.08520135338226e-10,1
1930,1.08520135338226e-10,1
1931,1.08520135338226e-10,1
1932,1.08520135338226e-10,1
