"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,9.34586706437455e-09,0
1832,1.77407361182499e-08,1
1833,2.15424714257649e-08,1
1834,2.15424714257649e-08,1
1835,3.5846874167435e-08,2
1836,3.94969687432324e-08,3
1837,3.94969687432324e-08,3
1838,3.01511016788579e-08,2
1839,2.73705327608858e-08,2
1840,2.91559107016123e-08,2
1841,2.91559107016123e-08,3
1842,2.13269275255763e-08,2
1843,1.76768329497788e-08,1
1844,1.76768329497788e-08,2
1845,1.76768329497788e-08,2
1846,1.70628006961644e-08,1
1847,1.99479848512445e-08,2
1848,2.55395704584771e-08,2
1849,2.18631393624134e-08,2
1850,2.34106862149831e-08,2
1851,3.06975080275963e-08,2
1852,4.2688174519055e-08,4
1853,4.01335051541147e-08,4
1854,3.1661207750793e-08,3
1855,2.76298604313346e-08,2
1856,2.61889229033078e-08,3
1857,2.4641376050738e-08,3
1858,1.73545542381248e-08,2
1859,5.36388774666615e-09,1
1860,6.16061170331607e-09,1
1861,6.16061170331607e-09,0
1862,4.60037341554198e-09,0
1863,1.1164714105608e-08,1
1864,1.3051597136382e-08,1
1865,1.39054899658423e-08,2
1866,1.49539348523068e-08,2
1867,1.17116123783083e-08,2
1868,1.17116123783083e-08,2
1869,1.17116123783083e-08,2
1870,5.9615536634234e-09,1
1871,8.7195554903425e-09,1
1872,1.08359967348244e-08,1
1873,9.78755184835986e-09,1
1874,1.40211881470366e-08,2
1875,1.88091884924445e-08,3
1876,2.08808074323282e-08,3
1877,1.87084745156036e-08,2
1878,1.48504540728059e-08,2
1879,1.18801199988638e-08,2
1880,1.18801199988638e-08,2
1881,1.09344862053717e-08,2
1882,9.9418524206791e-09,1
1883,7.87023348079531e-09,2
1884,7.87023348079531e-09,1
1885,1.12292006804182e-08,2
1886,1.25694819632015e-08,2
1887,1.62228293021371e-08,3
1888,1.83006425252025e-08,4
1889,2.07119398457475e-08,4
1890,2.2188705476164e-08,5
1891,2.38359481993403e-08,5
1892,2.08882776472511e-08,5
1893,1.99557559048864e-08,5
1894,2.08681709373033e-08,5
1895,1.75699333812166e-08,6
1896,1.2803818132718e-08,4
1897,1.24049383463744e-08,4
1898,1.10705561226102e-08,4
1899,1.14471097680178e-08,6
1900,1.25585948941774e-08,6
1901,9.95291795012422e-09,4
1902,1.05150386493185e-08,4
1903,1.23466045324047e-08,4
1904,1.12687186883319e-08,4
1905,1.13624002587695e-08,3
1906,1.09188817669954e-08,4
1907,1.47634130634852e-08,5
1908,1.44024897087901e-08,5
